TAIR, phase
At1g44110, Mphase
At5g11300, Mphase
At5g06150, Mphase
At3g11520, Mphase
At2g26760, Mphase
At1g34460, Mphase
At2g17620, Mphase
At4g35620, Mphase
At1g76310, Mphase
At1g20590, Mphase
At1g16330, Mphase
At1g76540, Mphase
At1g20930, Mphase
At2g25880, Mphase
At4g32830, Mphase
At5g55830, Mphase
At5g11510, Mphase
At1g08560, Mphase
At1g18370, Mphase
At5g23910, Mphase
At5g02370, Mphase
At3g20150, Mphase
At5g60930, Mphase
At2g28620, Mphase
At2g22610, Mphase
At2g47500, Mphase
At1g59540, Mphase
At1g72250, Mphase
At3g23670, Mphase
At4g05190, Mphase
At4g26660, Mphase
At5g55520, Mphase
At5g67270, Mphase
At5g51600, Mphase
At3g60840, Mphase
At4g11080, Mphase
At4g23800, Mphase
At4g33260, Mphase
At5g13840, Mphase
At1g50490, Mphase
At3g25980, Mphase
At3g19590, Mphase
At2g33560, Mphase
At1g69400, Mphase
At4g33400, Mphase
At3g23890, Mphase
At3g51280, Mphase
At1g02730, Mphase
At2g25060, Mphase
At1g75920, Mphase
At3g03090, Mphase
At3g14190, Mphase
At4g15830, Mphase
At4g02800, Mphase
At4g28430, Mphase
At3g26050, Mphase
At1g33940, Mphase
At4g22860, Mphase
At2g38160, Mphase
At2g44190, Mphase
At1g03780, Mphase
At1g34355, Mphase
At3g27330, Mphase
At2g20590, Mphase
At1g23790, Mphase
At3g03130, Mphase
At3g12870, Mphase
At4g01730, Mphase
At5g33300, Mphase
At4g28230, Mphase
At3g55660, Mphase
At5g15510, Mphase
At5g36710, Mphase
At5g48310, Mphase
At5g66230, Mphase
At5g17160, Mphase
At5g62550, Mphase
At1g61450, Mphase
At4g05520, Mphase
At2g16270, Mphase
At5g45700, Mphase
At3g02640, Mphase
At4g39830, Sphase
At5g38690, Sphase
At5g63540, Sphase
At3g27640, Sphase
At3g12170, Sphase
At5g43080, Sphase
At3g51030, Sphase
At3g59550, Sphase
At4g28310, Sphase
At3g14740, Sphase
At5g02520, Sphase
At2g24490, Sphase
At5g08020, Sphase
At1g47210, Sphase
At1g04020, Sphase
At5g43530, Sphase
At5g52220, Sphase
At5g23420, Sphase
