optimal_clusters_res_1.2_czesubtypes,level_1_annotation,level_2_annotation,level_3_annotation_abbr,level_3_annotation_full,,,,,,,,,,,,
0,Seed coat,oi1,oi1 flav synth,oi1 flavinol synthesizing (MYB11),,,,,,,,,,,,
1,Endosperm,PEN,PEN gen I,PEN general I (IMK2),,,,,,,,,,,,
2,Seed coat,oi1,oi1 basal,oi1 basal (MYB11 and PIN3),,,,,,,,,,,,
3,Seed coat,oi1,oi1 flav synth,oi1 flavinol synthesizing (MYB11),,,,,,,,,,,,
4,Seed coat,oi2,oi2 LTP,oi2 LTP-enriched (LTP1),,,,,,,,,,,,
5,Seed coat,oi2,oi2 gen,oi2 general (GLABRA2),,,,,,,,,,,,
6,Endosperm,PEN,PEN g2/m-phase,PEN G2M-phase (MAD2) ,,,,,,,,,,,,
7,Endosperm,PEN,PEN gen,PEN general II (NAC075),,,,,,,,,,,,
8,Seed coat,ii2,ii2 gen,ii2 general (DELTAVPE and STK),,,,,,,,,,,,
9,Endosperm,PEN,PEN gen,PEN general V (PTR3),,,,,,,,,,,,
10,Seed coat,oi1,oi1 flav synth high PCD,"oi1 flavinol synthesizing high PCD (MYB11, SCOOP15, BAP1)",,,,,,,,,,,,
11,Seed coat,CZSC,CZSC plac phos,"CZSC placentochalazal phosphate transport (ARR22, SWEET10, and UMAMIT14)",,,,,,,,,,,,
12,Endosperm,PEN,PEN s-phase,PEN S-phase (HMGB6),,,,,,,,,,,,
13,Endosperm,MCE,MCE,MCE (ALE1),,,,,,,,,,,,
14,Embryo,EMB,EMB,EMB (PDF1),,,,,,,,,,,,
15,Seed coat,oi1,oi1 flav synth,oi1 flavinol synthesizing (MYB11),,,,,,,,,,,,
16,Seed coat,ii1,ii1 basal cont PS,ii1 basal (contains pigment strand) (BAN and ARR22),,,,,,,,,,,,
17,Endosperm,CZE,CZE nod-like,CZE nodule-like (MEA),,,,,,,,,,,,
18,Seed coat,ii1',ii1',ii1' (DELTAVPE and UMAMIT29),,,,,,,,,,,,
19,Seed coat,CPT,CPT pers nuc,CPT persistent nucellus (AGO3),,,,,,,,,,,,
20,Seed coat,oi1,oi micr,oi micropylar (SWEET12),,,,,,,,,,,,
21,Endosperm,CZE,CZE apical cyst,CZE apical cyst (MEE56),,,,,,,,,,,,
22,Endosperm,PEN,PEN gen,PEN general IV (TGA9),,,,,,,,,,,,
23,Seed coat,oi2,oi2 VLCFA synth,oi2 very long chain fatty acid-synthesizing (KCS6 and WRI4),,,,,,,,,,,,
24,Seed coat,ii1,ii1 endothel,ii1 endothelium (BAN and TT1),,,,,,,,,,,,
25,Seed coat,oi1,oi1 flav synth s-phase,oi1 S-phase (MYB11 and TSO2),,,,,,,,,,,,
26,Seed coat,CZSC,CZSC plac call,"CZSC placentochalazal callose-synthesizing (ARR22, TET5, and CALS8)",,,,,,,,,,,,
27,Funiculus,FUN,FUN epid,FUN epidermal (CER3),,,,,,,,,,,,
28,Seed coat,oi2,oi2 s-phase,"oi2  S-phase (GLABRA2, TSO2)",,,,,,,,,,,,
29,Endosperm,CZE,CZE basal cyst,CZE basal cyst (RALFL3),,,,,,,,,,,,
30,Endosperm,CZE,CZE nod-like,CZE nodule-like (MEA),,,,,,,,,,,,
31,Endosperm,CZE,CZE nodule,CZE nodule (CYCD4;2),,,,,,,,,,,,
32,Endosperm,CZE,CZE apical cyst,CZE apical cyst (MEE56),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
