optimal_clusters_res_1,level_1_annotation,level_2_annotation,level_3_annotation_abbr,level_3_annotation_full,,,,,,,,,,,,
0,Endosperm,CZE,CZE photo,CZE photosynthetic (GA3OX4),,,,,,,,,,,,
1,Embryo,EMB,EMB inn cotyl,EMB inner cotyledon (XYL4),,,,,,,,,,,,
2,Embryo,EMB,EMB proto,EMB protoderm (PDF1),,,,,,,,,,,,
3,Seed coat,oi1,oi1 flav synth,oi1 flavinol synthesizing (MYB11),,,,,,,,,,,,
4,Endosperm,PEN,PEN,PEN (ABS6),,,,,,,,,,,,
5,Endosperm,MCE,MCE_ESR high pcd,MCE_ESR high PCD (ZOU and NAC074),,,,,,,,,,,,
6,Seed coat,oi1,oi1 flav synth polyester,oi1 polyester monomer biosynthesis (MYB11 and CYP86B1),,,,,,,,,,,,
7,Endosperm,MCE,MCE_ESR shea promo,"MCE_ESR sheath promoting (ZOU, RGP3 and KRS)",,,,,,,,,,,,
8,Embryo,EMB,EMB dividing,"EMB dividing (MAD2, HMGB6)",,,,,,,,,,,,
9,Embryo,EMB,EMB vasc prim,EMB vascular primordium (SHR),,,,,,,,,,,,
10,Seed coat,oi2,oi2 gen,oi2 general (GLABRA2),,,,,,,,,,,,
11,Seed coat,CZSC,CZSC general,"CZSC general (ARR22, SWEET10, and TET5)",,,,,,,,,,,,
12,Embryo,EMB,EMB gro tiss init,"EMB ground tissue initials (JKD, SCR)",,,,,,,,,,,,
13,Embryo,EMB,EMB cort init,EMB cortical initials (JKD),,,,,,,,,,,,
14,Seed coat,ii1'/ii2,ii1'/ii2,ii1'/ii2 (DELTAVPE),,,,,,,,,,,,
15,Seed coat,ii1,ii1 basal cont PS,ii1 basal (contains pigment strand) (BAN and SWEET4),,,,,,,,,,,,
17,Seed coat,ii1,ii1 endothel,ii1 endothelium (BAN and TT1),,,,,,,,,,,,
16,Endosperm,PEN,PEN dehyd,PEN dehydrin enriched (ERD10),,,,,,,,,,,,
18,Endosperm,CZE,CZE lea,CZE LEA-enriched (ABR),,,,,,,,,,,,
19,Embryo,EMB,EMB hypoph,EMB hypophysis (SMB),,,,,,,,,,,,
20,Endosperm,CZE,CZE disacc,CZE disaccharide metabolic (ARR21),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
