TAIR ID,Gene Symbol,upper protoderm?,lower protoderm?,shoot meristem initials?,upper inner periphery?,vascular initials?,ground tissue initials?,quiescent center initials?,columella initials?,suspensor
AT1G03840,MGP,n,n,n,n,n,s,n,n,n
AT1G04100,IAA10,n,n,n,n,n,n,n,n,s
AT1G04180,YUC9,n,n,n,n,n,n,n,n,s
AT1G04550,BDL,n,n,n,s,s,n,s,n,n
AT1G04610,YUC3,n,n,n,n,n,n,n,n,s
AT1G05577,DUF,n,n,n,n,s,s,n,n,n
AT1G05710,,n,n,n,n,n,s,s,s,w
AT1G07520,SCL31,n,s,n,n,s,s,s,s,NA
AT1G12980,ESR1,s,n,n,n,n,n,n,n,n
AT1G15670,KMD2,n,n,n,n,n,n,n,n,s
AT1G19050,ARR7,n,n,n,n,n,n,w,s,w
AT1G19850,ARF5,n,n,n,s,s,s,s,n,n
AT1G21430,YCU11,s,n,n,n,w,n,n,n,n
AT1G23080,PIN7,n,n,n,n,n,n,n,s,s
AT1G24590,ESR2,w,n,n,w,n,n,n,n,n
AT1G26870,FEZ,n,n,n,n,n,n,n,s,n
AT1G30330,ARF6,n,s,n,n,s,s,s,s,s
AT1G30490,ATHB-9,s,n,s,s,n,n,n,n,n
AT1G30950,UFO,n,n,s,n,n,n,n,n,n
AT1G34170,ARF13,n,n,n,n,n,n,n,n,s
AT1G34770,NSE3,s,s,s,s,s,s,s,s,n
AT1G37140,MCT1,n,n,n,n,s,s,n,n,n
AT1G46264,HSFB4,n,n,n,n,n,n,s,n,n
AT1G50920,NOG1-1,s,s,n,n,n,n,s,s,n
AT1G51190,PLT2,n,s,n,n,s,s,s,s,s
AT1G51950,IAA18,w,n,s,n,n,n,n,n,n
AT1G52150,ATHB-15,n,n,n,n,s,n,n,n,n
AT1G62360,STM,w,n,s,n,n,n,n,n,n
AT1G63100,SCL28,s,s,s,s,s,s,s,s,NA
AT1G63260,TET10,s,s,s,s,s,s,s,s,NA
AT1G65380,CLV2,n,n,s,n,n,n,n,n,n
AT1G65620,LBD6,s,n,n,n,n,n,n,n,n
AT1G67775,CLE8,s,s,s,s,s,s,s,s,n
AT1G68320,MYB62,n,n,n,n,n,n,n,n,s
AT1G68920,BHLH49,n,n,n,n,s,s,n,n,n
AT1G69270,RPK1,w,s,n,n,s,s,s,s,s
AT1G70250,RLK,n,n,n,n,n,s,n,n,n
AT1G70510,KNAT2,n,n,s,n,n,n,n,n,n
AT1G70560,TAA1,s,n,n,n,n,n,n,n,n
AT1G70940,PIN3,n,n,n,n,n,n,w,w,n
AT1G73590,PIN1,s,n,n,s,s,n,s,n,n
AT1G74500,TMO7,n,n,n,n,s,n,n,n,n
AT1G74890,ARR15,n,n,n,n,n,n,s,s,s
AT1G75500,WAT1,n,n,n,n,s,n,n,n,n
AT1G75820,CLV1,n,n,s,n,n,n,n,n,n
AT1G76420,CUC3,s,n,w,w,n,n,n,n,n
AT1G79580,SMB,n,n,n,n,n,n,n,s,n
AT1G80440,KMD1,n,n,n,n,n,n,s,n,n
AT2G01420,PIN4,n,n,n,n,w,w,s,s,n
AT2G03830,RGF8,n,n,n,n,s,s,s,s,n
AT2G14820,NPY2,n,n,n,n,n,n,s,s,n
AT2G17950,WUS,n,n,s,n,n,n,n,n,n
AT2G23050,NPY4,n,n,n,n,s,n,n,n,n
AT2G24310,,s,n,s,s,s,n,n,n,n
AT2G24570,WRKY17,s,s,n,w,n,w,n,s,NA
AT2G26250,FDH,s,s,n,n,n,n,n,n,n
AT2G26700,PID2,n,n,n,n,s,n,n,n,n
AT2G27250,CLV3,n,n,s,n,n,n,n,n,n
AT2G27580,SAP3,s,n,s,s,s,n,n,n,n
AT2G28610,WOX3,s,n,n,s,n,n,n,n,n
AT2G30590,WRKY21,w,s,w,w,s,s,s,s,NA
AT2G31730,,n,n,n,n,n,s,s,s,w
AT2G33880,WOX9,n,s,n,n,n,n,n,n,n
AT2G34650,PID,s,n,n,s,n,n,n,n,n
AT2G34710,ATHB-14,s,n,s,n,n,n,n,n,n
AT2G37210,LOG3,n,n,n,n,s,n,n,n,n
AT2G37630,AS1,n,n,n,s,n,n,n,n,n
AT2G38280,AMPD,s,s,s,s,s,s,s,s,n
AT2G41240,BHLH100,n,s,n,n,n,n,n,s,s
AT2G41800,,n,n,n,n,s,n,s,n,n
AT2G42660,MYB,n,n,n,n,n,s,s,s,s
AT2G42840,PDF1,s,s,n,n,n,n,n,n,n
AT2G44910,ATHB-4,n,n,s,s,n,n,n,n,n
AT2G45190,YAB1,s,n,n,s,n,n,n,n,n
AT2G46990,IAA20,n,n,n,n,s,n,s,n,n
AT2G47260,WRKY23,w,w,s,s,s,s,s,s,n
AT2G47580,U1A,n,n,n,n,s,w,s,n,n
AT3G07090,,s,s,s,s,s,s,s,s,n
AT3G11260,WOX5,n,n,n,n,n,n,s,n,n
AT3G15170,CUC1,n,n,s,n,n,n,n,n,n
AT3G19380,PUB25,n,s,n,n,s,s,n,n,n
AT3G20840,PLT1,n,n,n,n,s,n,s,n,n
AT3G20880,WIP4,n,n,n,n,n,n,s,n,n
AT3G23050,AXR2,n,n,n,n,s,s,n,n,n
AT3G24500,MBF1C,s,s,s,s,s,s,s,s,n
AT3G24650,ABI3,s,s,s,s,s,s,s,s,n
AT3G25710,BHLH32,n,n,n,n,s,n,n,n,n
AT3G26790,FUS3,s,s,n,n,n,n,n,n,s
AT3G27010,TCP20,w,w,n,w,w,w,s,s,n
AT3G46230,HSP17.4A,n,n,n,n,s,n,n,n,n
AT3G49380,iqd15,n,n,n,n,s,n,n,n,n
AT3G49950,SCL32,s,s,s,s,s,s,s,s,NA
AT3G50410,DOF3.4,s,s,s,s,s,s,s,s,n
AT3G50870,GATA18,n,n,n,n,s,n,n,n,n
AT3G51060,SRS1,s,n,n,n,n,n,n,n,n
AT3G52450,PUB22,w,w,n,n,n,n,s,s,n
AT3G52780,PAP20,n,n,n,n,n,n,n,s,s
AT3G52800,SAP6,s,n,n,s,s,n,s,n,n
AT3G53450,LOG4,n,n,n,n,s,n,n,n,n
AT3G54220,SCR,n,n,n,n,n,s,s,n,n
AT3G54720,AMP1,n,s,n,n,n,n,n,s,s
AT3G54810,GATA8,w,w,n,n,n,n,n,w,n
AT3G57670,WIP2,n,n,n,n,n,n,s,s,s
AT3G59420,ACR4,s,w,n,n,n,n,n,n,n
AT3G60390,HAT3,n,n,s,s,s,s,n,n,n
AT3G62100,IAA30,n,s,n,n,s,s,s,s,NA
AT3G62480,,n,n,n,n,n,n,n,n,s
AT4G00220,LBD30,n,n,n,n,s,n,n,n,n
AT4G04090,,n,n,n,n,n,n,s,s,s
AT4G04890,PDF2,s,s,n,n,n,n,n,n,n
AT4G10640,IQD16,w,s,w,w,s,s,s,s,NA
AT4G11280,ACS6,s,s,n,n,n,n,n,n,n
AT4G16780,HAT4,n,n,n,n,s,n,n,n,n
AT4G18710,ASK7,n,n,n,n,n,n,n,s,s
AT4G18740,,n,n,n,n,n,n,n,n,s
AT4G21750,ATML1,s,s,n,n,n,n,n,s,n
AT4G21990,APR3,s,n,n,s,n,n,n,n,n
AT4G23570,SGT1A,n,n,s,n,s,n,n,n,n
AT4G23750,CRF2,w,s,w,w,s,s,n,n,n
AT4G23980,ARF9,n,s,n,n,n,n,s,s,s
AT4G28640,IAA11,n,n,n,n,n,n,s,s,n
AT4G28720,YUC8,n,n,n,n,n,n,s,s,n
AT4G31500,ATR4,n,n,n,n,n,n,s,n,n
AT4G31820,NPY1,s,s,n,n,n,n,n,n,n
AT4G32540,YUC1,s,n,n,n,n,n,n,n,n
AT4G32880,ATHB-8,n,n,n,n,s,n,n,n,n
AT4G36930,SPT,n,s,n,n,s,s,n,n,n
AT4G37590,NPY5,s,s,n,n,n,n,n,n,n
AT4G37650,SHR,n,n,n,n,s,w,n,n,n
AT4G37750,ANT,s,n,n,s,n,n,n,n,n
AT5G03150,JKD,n,n,n,n,n,s,s,n,n
AT5G05940,ROPGEF5,s,s,s,s,s,s,s,s,n
AT5G06300,LOG7,n,n,n,n,n,n,s,s,NA
AT5G06860,PGIP1,n,n,n,n,n,n,s,n,n
AT5G08330,TCP21,n,s,n,n,n,n,s,s,n
AT5G10140,FLC,s,s,s,s,s,s,s,s,n
AT5G10510,AIL6,n,n,n,n,n,n,s,n,n
AT5G11320,YUC4,s,n,n,n,n,n,n,n,n
AT5G12990,CLE40,w,w,w,w,w,w,s,s,n
AT5G13290,CRN,w,w,w,w,s,w,w,w,n
AT5G16560,KAN1,n,s,n,n,n,n,n,n,n
AT5G17430,BBM,s,s,s,s,s,s,s,s,n
AT5G19650,OFP8,n,n,n,n,n,s,s,s,n
AT5G21140,emb1379,s,n,s,s,n,n,n,n,s
AT5G24520,TTG1,n,n,s,s,s,s,s,s,n
AT5G42200,ATL23,n,n,n,n,n,n,n,n,s
