TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2116967	AT4G01450	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT30;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 30	glucosinolate transport;plasma membrane;glucosinolate transmembrane transporter activity;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;endosperm;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2118686	AT4G30420	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT34;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 34	plasma membrane;chloroplast;mitochondrion;transmembrane transporter activity;L mature pollen stage;LP.10 ten leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;hypocotyl;leaf apex;petal;petiole;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;stamen;stem;vascular leaf,
Locus:2125167	AT4G01430	protein_coding	Encodes a plasma membrane-localized amino acid transporter likely involved in glucosinolate and amino acid export in the developing seed. Expressed in ovule funiculus.Glucosinolates are exported from site of biosynthesis the chalazal seed coat.	UMAMIT29;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 29	seed development;glucosinolate transport;plasma membrane;plasma membrane;L-glutamine transmembrane transporter activity;glucosinolate transmembrane transporter activity;transmembrane transporter activity;LP.04 four leaves visible stage;LP.06 six leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;cauline leaf;collective leaf structure;cotyledon;endosperm;flower;flower pedicel;funicle;guard cell;hypocotyl;inflorescence meristem;petal;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;vascular system,
Locus:2125172	AT4G01440	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT31;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 31	glucosinolate transport;plasma membrane;chloroplast;glucosinolate transmembrane transporter activity;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2130344	AT4G15540	protein_coding	nodulin MtN21-like transporter family protein The mRNA is cell-to-cell mobile.	UMAMIT38;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 38	biological_process;plasma membrane;transmembrane transporter activity;guard cell;cell-to-cell mobile RNA,
Locus:2130908	AT4G16620	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT8;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 8	plasma membrane;chloroplast;mitochondrion;transmembrane transporter activity;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;petal;pollen;sepal;stamen,
Locus:2132457	AT4G08300	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT17;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 17	plasma membrane;transmembrane transporter activity;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;endosperm;flower;guard cell;inflorescence meristem;leaf apex;pollen;root;sepal;stamen;stem;vascular leaf,
Locus:2132982	AT4G28040	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT33;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 33	plasma membrane;chloroplast;transmembrane transporter activity;flowering stage;petal differentiation and expansion stage;carpel;petal;pollen;root;sepal;stamen,
Locus:2132447	AT4G08290	protein_coding	Nodulin MtN21-like transporter family protein. Amino acid transporter which confers Botrytis cinerea susceptibility.	UMAMIT20;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 20	amino acid transport;response to fungus;plasma membrane;plasma membrane;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;vascular system,
Locus:2163513	AT5G45370	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT1;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 1	plasma membrane;chloroplast;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
