"","tissue","color"
"4","4","#97576b"
"16","16","#aed6f1"
"23","23","#bb8fce"
"5","5","#ceaab5"
"20","20","#21618c"
"24","24","#bb8fce"
"14","14","#088F8F"
"25","25","#bb8fce"
"26","26","#6c3483"
"15","15","#088F8F"
"17","17","#aed6f1"
"28","28","#6c3483"
"21","21","#21618c"
"27","27","#6c3483"
"11","11","#044747"
"13","13","#088F8F"
"12","12","#044747"
"29","29","#6c3483"
"10","10","#a6acaf"
"8","8","#f1c40f"
"1","1","#57A15D"
"19","19","#5dade2"
"30","30","#6c3483"
"6","6","#ceaab5"
"2","2","#ce0d48"
"3","3","#ce0d48"
"7","7","#f1c40f"
"9","9","#f1c40f"
"18","18","#aed6f1"
"22","22","#21618c"
