"","tissue","color"
"7","7","#ceaab5"
"20","20","#21618c"
"22","22","#bb8fce"
"26","26","#6c3483"
"21","21","#bb8fce"
"23","23","#bb8fce"
"10","10","#ceaab5"
"15","15","#088F8F"
"6","6","#97576b"
"3","3","#ce0d48"
"8","8","#ceaab5"
"17","17","#aed6f1"
"24","24","#bb8fce"
"25","25","#bb8fce"
"5","5","#ce0d48"
"11","11","#ceaab5"
"19","19","#5dade2"
"14","14","#044747"
"9","9","#ceaab5"
"27","27","#6c3483"
"12","12","#ceaab5"
"28","28","#6c3483"
"16","16","#088F8F"
"1","1","#57A15D"
"29","29","#6c3483"
"2","2","#ce0d48"
"13","13","#f1c40f"
"18","18","#aed6f1"
"4","4","#ce0d48"
