Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
O22133	reviewed	BEN1_ARATH	Protein BRI1-5 ENHANCED 1 (EC 1.1.1.-)	BEN1 At2g45400 F4L23.9	Arabidopsis thaliana (Mouse-ear cress)	364		AT2G45400;
O64989	reviewed	C90B1_ARATH	Steroid (22S)-hydroxylase (EC 1.14.14.178) ((22S)-22-hydroxycampesterol synthase) (6-deoxycathasterone synthase) (Cathasterone synthase) (Cytochrome P450 90B1) (AtCYP90B1) (Protein DWARF 4) (Dwarf4) (Steroid 22-alpha-hydroxylase)	CYP90B1 DWF4 At3g50660 T3A5.40	Arabidopsis thaliana (Mouse-ear cress)	513	DWF4	AT3G50660;
Q38944	reviewed	DET2_ARATH	Steroid 5-alpha-reductase DET2 (EC 1.3.1.22) ((22R,23R)-22,23-dihydroxycampest-4-en-3-one synthase) (EC 1.3.1.-) ((22S,24R)-22-hydroxy-5alpha-ergostan-3-one synthase) (EC 1.3.1.22) (Campest-3-one synthase) (EC 1.3.1.22) (Protein COMPACT ROSETTE 1) (Protein DEETIOLATED 2) (AtDET2)	DET2 CRO1 At2g38050 T8P21.4	Arabidopsis thaliana (Mouse-ear cress)	262	CRO1	AT2G38050;
Q39085	reviewed	DIM_ARATH	Delta(24)-sterol reductase (EC 1.3.1.72) (Cell elongation protein DIMINUTO) (Cell elongation protein Dwarf1) (Protein CABBAGE1) (Protein ENHANCED VERY-LOW-FLUENCE RESPONSE 1)	DIM CBB1 DWF1 EVE1 At3g19820 MPN9.6	Arabidopsis thaliana (Mouse-ear cress)	561	CBB1 DWF1 EVE1	AT3G19820;
Q39208	reviewed	SC5D1_ARATH	Delta(7)-sterol-C5(6)-desaturase 1 (EC 1.14.19.20) (Delta(7)-sterol-C5-desaturase 1) (Delta-7-C-5 sterol desaturase 1) (Protein DWARF 7) (Protein STEROL 1)	STE1 DWF7 At3g02580 F16B3.21	Arabidopsis thaliana (Mouse-ear cress)	281	DWF7	AT3G02580;
Q42569	reviewed	C90A1_ARATH	3beta,22alpha-dihydroxysteroid 3-dehydrogenase (EC 1.14.19.79) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22S,24R)-22-hydroxy-5alpha-ergostan-3-one synthase) ((22S,24R)-22-hydroxyergost-4-en-3-one synthase) (3-dehydro-6-deoxoteasterone synthase) (Cytochrome P450 90A1) (AtCYP90A1) (Protein CONSTITUTIVE PHOTOMORPHOGENESIS AND DWARFISM)	CYP90A1 CPD CYP90 At5g05690 MJJ3.9	Arabidopsis thaliana (Mouse-ear cress)	472	CPD CYP90	AT5G05690;
Q940V4	reviewed	C85A2_ARATH	Cytochrome P450 85A2 (AtCYP85A2) (EC 1.14.14.180) (28-norcastasterone synthase) (EC 1.14.14.-) (28-nordeoxoteasterone synthase) (EC 1.14.14.-) (28-norteasterone synthase) (EC 1.14.14.-) (28-nortyphasterol synthase) (EC 1.14.14.-) (3-dehydroteasterone synthase) (EC 1.14.14.179) (Brassinolide synthase) (EC 1.14.14.180) (Brassinosteroid-6-oxidase 2) (BR6ox 2) (C6-oxidase 2) (Castasterone synthase) (EC 1.14.14.179) (Teasterone synthase) (EC 1.14.14.179) (Typhasterol synthase) (EC 1.14.14.179)	CYP85A2 BR6OX2 At3g30180 T20F20.9 T20F20_6	Arabidopsis thaliana (Mouse-ear cress)	465	BR6OX2	AT3G30180;
Q94IA6	reviewed	C90D1_ARATH	3-epi-6-deoxocathasterone 23-monooxygenase CYP90D1 (3-dehydro-6-deoxoteasterone synthase) (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) (EC 1.14.14.-) ((22R,23R)-22,23-dihydroxycampesterol synthase) (EC 1.14.14.-) (6-deoxoteasterone synthase) (EC 1.14.14.-) (Cytochrome P450 90D1) (Teasterone synthase) (EC 1.14.14.-)	CYP90D1 At3g13730 MMM17.15	Arabidopsis thaliana (Mouse-ear cress)	491		AT3G13730;
Q9FMA5	reviewed	C85A1_ARATH	Cytochrome P450 85A1 (AtCYP85A1) (3-dehydroteasterone synthase) (EC 1.14.14.179) (Brassinosteroid-6-oxidase 1) (BR6ox 1) (C6-oxidase 1) (Castasterone synthase) (EC 1.14.14.179) (Teasterone synthase) (EC 1.14.14.179) (Typhasterol synthase) (EC 1.14.14.179)	CYP85A1 BR6OX1 At5g38970 K15E6.150	Arabidopsis thaliana (Mouse-ear cress)	465	BR6OX1	AT5G38970;
Q9M066	reviewed	C90C1_ARATH	3-epi-6-deoxocathasterone 23-monooxygenase CYP90C1 (3-dehydro-6-deoxoteasterone) (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) (EC 1.14.14.-) ((22R,23R)-22,23-dihydroxycampesterol synthase) (EC 1.14.14.-) (6-deoxoteasterone synthase) (EC 1.14.14.-) (Cytochrome P450 90C1) (Protein ROTUNDIFOLIA 3) (Teasterone synthase) (EC 1.14.14.-)	CYP90C1 ROT3 At4g36380 AP22.10 C7A10.980 F23E13.220	Arabidopsis thaliana (Mouse-ear cress)	524	ROT3	AT4G36380;
Q9SZ58	reviewed	BRAT1_ARATH	Brassinosteroid-related acyltransferase 1 (BR-related acyltransferase 1) (EC 2.3.1.-) (Protein DWARF AND ROUND LEAF 1) (Protein PIZZA)	BAT1 DRL1 PIZ At4g31910 F10N7.280 F11C18.110	Arabidopsis thaliana (Mouse-ear cress)	458	DRL1 PIZ	AT4G31910;
Q8L7D5	reviewed	THAH_ARATH	Cytochrome P450 708A2 (EC 1.14.-.-) (Thalianol hydroxylase) (AtTHAH)	CYP708A2 THAH At5g48000 MDN11.7	Arabidopsis thaliana (Mouse-ear cress)	477	THAH	AT5G48000;
Q9LDU6	reviewed	ST7R_ARATH	7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Protein DWARF 5) (Sterol Delta(7)-reductase)	DWF5 ST7R At1g50430 F11F12.21	Arabidopsis thaliana (Mouse-ear cress)	432	ST7R	AT1G50430;
F4K6S3	unreviewed	F4K6S3_ARATH	Cytochrome P450, family 724, subfamily A, polypeptide 1	CYP724A1 cytochrome P450 family 724 polypeptide 1 subfamily A At5g14400 F18O22.190 F18O22_190	Arabidopsis thaliana (Mouse-ear cress)	367	cytochrome P450 family 724 polypeptide 1 subfamily A	AT5G14400;
A0A178VNR4	unreviewed	A0A178VNR4_ARATH	Steroid 5-alpha-reductase DET2 (EC 1.3.1.22)	AXX17_At2g34890 AN1_LOCUS10266 AT9943_LOCUS8810 C24_LOCUS10112	Arabidopsis thaliana (Mouse-ear cress)	262		
A0A1P8AVV5	unreviewed	A0A1P8AVV5_ARATH	Cytochrome P450 family protein	CYP708A1 cytochrome P450 family 708 polypeptide 1 subfamily A At1g55940 F14J16.21 F14J16_21	Arabidopsis thaliana (Mouse-ear cress)	504	cytochrome P450 family 708 polypeptide 1 subfamily A	AT1G55940;
A0A1P8BDE8	unreviewed	A0A1P8BDE8_ARATH	Cytochrome P450, family 724, subfamily A, polypeptide 1	CYP724A1 cytochrome P450 family 724 polypeptide 1 subfamily A At5g14400 F18O22.190 F18O22_190	Arabidopsis thaliana (Mouse-ear cress)	421	cytochrome P450 family 724 polypeptide 1 subfamily A	AT5G14400;
