Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
F4IDH2	unreviewed	F4IDH2_ARATH	histone acetyltransferase (EC 2.3.1.48)	HAC1 ATHAC1 ATHPCAT2 PCAT2 YUP8H12R.38 YUP8H12R_38 At1g79000	Arabidopsis thaliana (Mouse-ear cress)	1741	ATHAC1 ATHPCAT2 PCAT2 YUP8H12R.38 YUP8H12R_38	AT1G79000;
Q7X9V3	reviewed	GNAT2_ARATH	GCN5-related N-acetyltransferase 2, chloroplastic (EC 2.3.1.255) (Acetyltransferase NSI) (AtNSI) (EC 2.3.1.48) (Nuclear shuttle protein-interacting protein) (Serotonin N-acetyl transferase 1) (AtSNAT) (AtSNAT1) (EC 2.3.1.87)	NSI GNAT2 SNAT SNAT1 At1g32070 T12O21.3	Arabidopsis thaliana (Mouse-ear cress)	258	GNAT2 SNAT SNAT1	AT1G32070;
Q8GUT5	reviewed	GNAT6_ARATH	GCN5-related N-acetyltransferase 6, chloroplastic (EC 2.3.1.255) (EC 2.3.1.48)	GNAT6 At2g06025 F5K7.26	Arabidopsis thaliana (Mouse-ear cress)	288		AT2G06025;
Q93V47	reviewed	GG2_ARATH	Guanine nucleotide-binding protein subunit gamma 2 (Ggamma-subunit 2) (Heterotrimeric G protein gamma-subunit 2) (AtAGG2)	GG2 AGG2 At3g22942 F5N5	Arabidopsis thaliana (Mouse-ear cress)	100	AGG2	AT3G22942;
Q940H2	reviewed	GNAT3_ARATH	GCN5-related N-acetyltransferase 3, chloroplastic (EC 2.3.1.48)	GNAT3 At4g19985 F18F4	Arabidopsis thaliana (Mouse-ear cress)	237		AT4G19985;
Q94AC8	reviewed	GNAT7_ARATH	GCN5-related N-acetyltransferase 7, chloroplastic (EC 2.3.1.255) (EC 2.3.1.48)	GNAT7 At4g28030 T13J8.140	Arabidopsis thaliana (Mouse-ear cress)	274		AT4G28030;
Q96262	reviewed	PCAP1_ARATH	Plasma membrane-associated cation-binding protein 1 (AtPCAP1) (Microtubule-destabilizing protein 25)	PCAP1 MDP25 At4g20260 F1C12.180	Arabidopsis thaliana (Mouse-ear cress)	225	MDP25	AT4G20260;
Q9C666	reviewed	GNAT1_ARATH	GCN5-related N-acetyltransferase 1, chloroplastic (EC 2.3.1.48) (Serotonin N-acetyl transferase 2) (AtSNAT2) (EC 2.3.1.87)	SNAT2 GNAT1 At1g26220 F28B23.27	Arabidopsis thaliana (Mouse-ear cress)	197	GNAT1	AT1G26220;
Q9C7G6	reviewed	GNT10_ARATH	GCN5-related N-acetyltransferase 10, chloroplastic (EC 2.3.1.255) (EC 2.3.1.48)	GNAT10 At1g72030 F28P5.8	Arabidopsis thaliana (Mouse-ear cress)	256		AT1G72030;
Q9FDX9	reviewed	GG1_ARATH	Guanine nucleotide-binding protein subunit gamma 1 (Ggamma-subunit 1) (Heterotrimeric G protein gamma-subunit 1) (AtAGG1)	GG1 AGG1 At3g63420 MAA21.50	Arabidopsis thaliana (Mouse-ear cress)	98	AGG1	AT3G63420;
Q9FWQ5	reviewed	HAC12_ARATH	Histone acetyltransferase HAC12 (EC 2.3.1.48)	HAC12 At1g16710 F17F16.8 F17F16_21	Arabidopsis thaliana (Mouse-ear cress)	1706		AT1G16710;
Q9LE42	reviewed	HAC5_ARATH	Histone acetyltransferase HAC5 (EC 2.3.1.48)	HAC5 PCAT4 At3g12980 MGH6.20 MGH6_9	Arabidopsis thaliana (Mouse-ear cress)	1670	PCAT4	AT3G12980;
Q9LR91	reviewed	GNAT5_ARATH	GCN5-related N-acetyltransferase 5, chloroplastic (EC 2.3.1.255) (EC 2.3.1.48)	GNAT5 At1g24040 T23E23.19	Arabidopsis thaliana (Mouse-ear cress)	319		AT1G24040;
Q9LTR9	reviewed	NMT1_ARATH	Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (NMT 1) (Type I N-myristoyltransferase 1) (Peptide N-myristoyltransferase 1)	NMT1 At5g57020 MHM17.15	Arabidopsis thaliana (Mouse-ear cress)	434		AT5G57020;
Q9ZV08	reviewed	GNAT4_ARATH	GCN5-related N-acetyltransferase 4, chloroplastic (EC 2.3.1.255) (EC 2.3.1.48) (N-alpha-acetyltransferase 70) (AtNAA70)	GNAT4 NAA70 At2g39000 T7F6.17	Arabidopsis thaliana (Mouse-ear cress)	291	NAA70	AT2G39000;
Q6DR03	reviewed	ZDHC3_ARATH	Protein S-acyltransferase 21 (EC 2.3.1.225) (Probable palmitoyltransferase At2g33640) (Zinc finger DHHC domain-containing protein At2g33640)	PAT21 At2g33640 F4P9.41	Arabidopsis thaliana (Mouse-ear cress)	565		AT2G33640;
Q9LFD8	unreviewed	Q9LFD8_ARATH	N-alpha-acetyltransferase 60 (EC 2.3.1.259) (EC 2.3.1.48)	At5g16800 F5E19.140 F5E19_140	Arabidopsis thaliana (Mouse-ear cress)	273		AT5G16800;
