Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
A9LNK9	reviewed	CPSF_ARATH	30-kDa cleavage and polyadenylation specificity factor 30 (EC 3.1.21.-) (Protein OXIDATIVE STRESS TOLERANT 6) (Zinc finger CCCH domain-containing protein 11) (AtC3H11)	CPSF30 OXT6 At1g30460 F26G16.5 F26G16.6	Arabidopsis thaliana (Mouse-ear cress)	631	OXT6	AT1G30460;
A9QM73	reviewed	SMG7_ARATH	Nonsense-mediated mRNA decay factor SMG7 (Protein SMG7) (SMG7 homolog)	SMG7 At5g19400 F7K24	Arabidopsis thaliana (Mouse-ear cress)	1059		AT5G19400;
B3GS44	reviewed	LRE_ARATH	GPI-anchored protein LORELEI	LRE At4g26466 M3E9	Arabidopsis thaliana (Mouse-ear cress)	165		AT4G26466;
C0LGT6	reviewed	EFR_ARATH	LRR receptor-like serine/threonine-protein kinase EFR (EC 2.7.11.1) (Elongation factor Tu receptor) (EF-Tu receptor)	EFR At5g20480 F7C8.70	Arabidopsis thaliana (Mouse-ear cress)	1031		AT5G20480;
F4HVW5	reviewed	VAD1_ARATH	Protein VASCULAR ASSOCIATED DEATH 1, chloroplastic	VAD1 At1g02120 T7I23.28	Arabidopsis thaliana (Mouse-ear cress)	598		AT1G02120;
F4JIX9	unreviewed	F4JIX9_ARATH	BRI1-associated receptor kinase	BAK1 ATBAK1 ATSERK3 ELG ELONGATED RECEPTOR KINASES LIKE SERK 10 RKS10 SERK3 At4g33430 F17M5.190 F17M5_190	Arabidopsis thaliana (Mouse-ear cress)	662	ATBAK1 ATSERK3 ELG ELONGATED RECEPTOR KINASES LIKE SERK 10 RKS10 SERK3	AT4G33430;
F4JRE7	unreviewed	F4JRE7_ARATH	Nudix hydrolase (AtNUDT) (EC 3.6.1.13) (EC 3.6.1.22) (ADP-ribose pyrophosphatase) (NADH pyrophosphatase)	NUDT7 AtNUDT7 ATNUDX7 GFG1 GROWTH FACTOR GENE 1 At4g12720 T20K18.70 T20K18_70	Arabidopsis thaliana (Mouse-ear cress)	322	AtNUDT7 ATNUDX7 GFG1 GROWTH FACTOR GENE 1	AT4G12720;
F4JSE7	reviewed	EDR2_ARATH	Protein ENHANCED DISEASE RESISTANCE 2	EDR2 At4g19040 F13C5.210	Arabidopsis thaliana (Mouse-ear cress)	718		AT4G19040;
F4JTN2	reviewed	LAZ1_ARATH	Protein LAZ1 (Lazarus1)	LAZ1 At4g38360 F22I13.130	Arabidopsis thaliana (Mouse-ear cress)	485		AT4G38360;
F4K2R6	reviewed	CB60G_ARATH	Calmodulin-binding protein 60 G	CBP60G At5g26920 F2P16.9	Arabidopsis thaliana (Mouse-ear cress)	563		AT5G26920;
