Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
F4HQ17	reviewed	LRL14_ARATH	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.4 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-1.4)	LRK10L-1.4 At1g66880 F4N21.1 T4O24.5	Arabidopsis thaliana (Mouse-ear cress)	663		AT1G66880;
F4I7I0	reviewed	ALAT1_ARATH	Alanine aminotransferase 1, mitochondrial (AtAlaAT1) (AtAlaATc) (EC 2.6.1.2) (Alanine-2-oxoglutarate aminotransferase 4) (EC 2.6.1.-)	ALAAT1 AOAT4 At1g17290 T13M22.3	Arabidopsis thaliana (Mouse-ear cress)	543	AOAT4	AT1G17290;
F4JRE7	unreviewed	F4JRE7_ARATH	Nudix hydrolase (AtNUDT) (EC 3.6.1.13) (EC 3.6.1.22) (ADP-ribose pyrophosphatase) (NADH pyrophosphatase)	NUDT7 AtNUDT7 ATNUDX7 GFG1 GROWTH FACTOR GENE 1 At4g12720 T20K18.70 T20K18_70	Arabidopsis thaliana (Mouse-ear cress)	322	AtNUDT7 ATNUDX7 GFG1 GROWTH FACTOR GENE 1	AT4G12720;
F4JTP5	reviewed	STY46_ARATH	Serine/threonine-protein kinase STY46 (EC 2.7.11.1) (Serine/threonine/tyrosine-protein kinase 46)	STY46 At4g38470 F20M13.30	Arabidopsis thaliana (Mouse-ear cress)	575		AT4G38470;
F4K2R6	reviewed	CB60G_ARATH	Calmodulin-binding protein 60 G	CBP60G At5g26920 F2P16.9	Arabidopsis thaliana (Mouse-ear cress)	563		AT5G26920;
O04023	reviewed	SRC2_ARATH	Protein SRC2 homolog (AtSRC2)	SRC2 At1g09070 F7G19.6	Arabidopsis thaliana (Mouse-ear cress)	324		AT1G09070;
O22259	reviewed	ERF71_ARATH	Ethylene-responsive transcription factor ERF071 (AtERF71) (Protein HYPOXIA RESPONSIVE ERF 2)	ERF071 ERF71 HRE2 At2g47520 T30B22.18	Arabidopsis thaliana (Mouse-ear cress)	171	ERF71 HRE2	AT2G47520;
O22975	reviewed	LPAAT_ARATH	1-acylglycerol-3-phosphate O-acyltransferase (EC 2.3.1.51) (Lipid droplet-binding protein CGI-58 homolog)	At4g24160 T19F6.4	Arabidopsis thaliana (Mouse-ear cress)	418		AT4G24160;
O24520	reviewed	HBL1_ARATH	Anaerobic nitrite reductase AHB1 (EC 1.7.2.-) (ARAth GLB1) (Hb1) (Non-symbiotic hemoglobin 1)	AHB1 GLB1 At2g16060 F7H1.8	Arabidopsis thaliana (Mouse-ear cress)	160	GLB1	AT2G16060;
O48723	reviewed	PLP2_ARATH	Patatin-like protein 2 (AtPLP2) (EC 3.1.1.-) (Patatin-related phospholipase A IIalpha) (pPLAIIa) (Phospholipase A IIA) (AtPLAIIA)	PLP2 At2g26560 T9J22.23	Arabidopsis thaliana (Mouse-ear cress)	407		AT2G26560;
