Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
F4HQ17	reviewed	LRL14_ARATH	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.4 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-1.4)	LRK10L-1.4 At1g66880 F4N21.1 T4O24.5	Arabidopsis thaliana (Mouse-ear cress)	663		AT1G66880;
F4HQ20	reviewed	LRL25_ARATH	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.5 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.5)	LRK10L-2.5 At1g66910 T4O24.8	Arabidopsis thaliana (Mouse-ear cress)	666		AT1G66910;
F4HQ22	reviewed	LRL24_ARATH	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.4 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.4)	LRK10L-2.4 At1g66920 T4O24.7	Arabidopsis thaliana (Mouse-ear cress)	617		AT1G66920;
F4HQ23	reviewed	LRL27_ARATH	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.7 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.7)	LRK10L-2.7 LRK10L2 At1g66930 F1O19.1 T4O24.2	Arabidopsis thaliana (Mouse-ear cress)	883	LRK10L2	AT1G66930;
F4I3V3	reviewed	LRL15_ARATH	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.5 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-1.5)	LRK10L-1.5 At1g69910 T17F3.6	Arabidopsis thaliana (Mouse-ear cress)	636		AT1G69910;
F4I9G2	reviewed	ESV1_ARATH	Protein EARLY STARVATION 1, chloroplastic (AtESV1) (Protein REDUCED GRAVITROPIC 1)	ESV1 RGV1 At1g42430 F7F22.5	Arabidopsis thaliana (Mouse-ear cress)	426	RGV1	AT1G42430;
F4IAG2	reviewed	SSY3_ARATH	Starch synthase 3, chloroplastic/amyloplastic (AtSS3) (EC 2.4.1.21) (Soluble starch synthase III)	SS3 At1g11720 F25C20.13	Arabidopsis thaliana (Mouse-ear cress)	1042		AT1G11720;
F4IV66	reviewed	RNE_ARATH	Ribonuclease E/G-like protein, chloroplastic (RNase E/G-like protein) (EC 3.1.26.-) (RNase E)	RNE RNEE/G At2g04270 T23O15.10	Arabidopsis thaliana (Mouse-ear cress)	1001	RNEE/G	AT2G04270;
F4KA50	reviewed	LRL22_ARATH	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.2 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.2)	LRK10L-2.2 At5g38240 MXA21.7	Arabidopsis thaliana (Mouse-ear cress)	624		AT5G38240;
F4KA51	reviewed	LRL23_ARATH	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.3 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.3)	LRK10L-2.3 At5g38250 MXA21.6	Arabidopsis thaliana (Mouse-ear cress)	620		AT5G38250;
O80803	reviewed	XTH17_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 17 (At-XTH17) (XTH-17) (EC 2.4.1.207)	XTH17 XTR1 At1g65310 T8F5.9	Arabidopsis thaliana (Mouse-ear cress)	282	XTR1	AT1G65310;
P0C5E2	reviewed	LRL12_ARATH	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.2 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-1.2)	LRK10L-1.2 LRK10L1 At1g18390 F15H18.11 F15H18.25	Arabidopsis thaliana (Mouse-ear cress)	651	LRK10L1	AT1G18390;
P24806	reviewed	XTH24_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 24 (At-XTH24) (XTH-24) (EC 2.4.1.207) (Endo-xyloglucan transferase) (Meristem protein 5) (MERI-5 protein) (MERI5 protein) (Xyloglucan endo-1,4-beta-D-glucanase)	XTH24 MERI-5 MERI5B SEN4 At4g30270 F9N11.120	Arabidopsis thaliana (Mouse-ear cress)	269	MERI-5 MERI5B SEN4	AT4G30270;
P93046	reviewed	XTH31_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 31 (At-XTH31) (AtXTR8) (XTH-31) (EC 2.4.1.207) (EC 3.2.1.151)	XTH31 ATXG XTR8 At3g44990 F14D17.60	Arabidopsis thaliana (Mouse-ear cress)	293	ATXG XTR8	AT3G44990;
Q0WNY5	reviewed	WAKLN_ARATH	Wall-associated receptor kinase-like 18 (EC 2.7.11.-)	WAKL18 At4g31110 F6E21.30	Arabidopsis thaliana (Mouse-ear cress)	793		AT4G31110;
Q38857	reviewed	XTH22_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 22 (At-XTH22) (XTH-22) (EC 2.4.1.207) (Touch protein 4)	XTH22 TCH4 At5g57560 MUA2.13	Arabidopsis thaliana (Mouse-ear cress)	284	TCH4	AT5G57560;
Q38909	reviewed	XTH28_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 28 (At-XTH28) (XTH-28) (EC 2.4.1.207)	XTH28 EXGT-A2 XTR2 At1g14720 F10B6.12 F10B6.29	Arabidopsis thaliana (Mouse-ear cress)	332	EXGT-A2 XTR2	AT1G14720;
Q38911	reviewed	XTH15_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 15 (At-XTH15) (XTH-15) (EC 2.4.1.207) (EC 3.2.1.151)	XTH15 XTR7 At4g14130 dl3105c FCAALL.173	Arabidopsis thaliana (Mouse-ear cress)	289	XTR7	AT4G14130;
Q39099	reviewed	XTH4_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 4 (At-XTH4) (XTH-4) (EC 2.4.1.207)	XTH4 EXGT-A1 EXT At2g06850 T9F8.4	Arabidopsis thaliana (Mouse-ear cress)	296	EXGT-A1 EXT	AT2G06850;
Q39191	reviewed	WAK1_ARATH	Wall-associated receptor kinase 1 (EC 2.7.11.-)	WAK1 PRO25 At1g21250 F16F4.6	Arabidopsis thaliana (Mouse-ear cress)	735	PRO25	AT1G21250;
Q3ECH2	reviewed	LRL28_ARATH	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.8 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.8)	LRK10L-2.8 At1g67000 F1O19.18	Arabidopsis thaliana (Mouse-ear cress)	892		AT1G67000;
Q6ZY51	reviewed	PWD_ARATH	Phosphoglucan, water dikinase, chloroplastic (EC 2.7.9.5)	GWD3 OK1 PWD At5g26570 F9D12.1 F9D12.19	Arabidopsis thaliana (Mouse-ear cress)	1196	OK1 PWD	AT5G26570;
Q7X8C5	reviewed	WAKLB_ARATH	Wall-associated receptor kinase-like 2 (EC 2.7.11.-)	WAKL2 At1g16130 T24D18.21	Arabidopsis thaliana (Mouse-ear cress)	748		AT1G16130;
Q8GXQ3	reviewed	WAKLF_ARATH	Wall-associated receptor kinase-like 6 (EC 2.7.11.-)	WAKL6 At1g16110 T24D18.19 T24D18_30	Arabidopsis thaliana (Mouse-ear cress)	642		AT1G16110;
Q8LC45	reviewed	XTH33_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 33 (At-XTH33) (XTH-33) (EC 2.4.1.207)	XTH33 At1g10550 T10O24.17	Arabidopsis thaliana (Mouse-ear cress)	310		AT1G10550;
Q8LDS2	reviewed	XTH27_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 27 (At-XTH27) (XTH-27) (EC 2.4.1.207)	XTH27 EXGT-A3 At2g01850 T23K3.4	Arabidopsis thaliana (Mouse-ear cress)	333	EXGT-A3	AT2G01850;
Q8LDW9	reviewed	XTH9_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 9 (At-XTH9) (XTH-9) (EC 2.4.1.207)	XTH9 EXGT-A6 XTR16 At4g03210 F4C21.14	Arabidopsis thaliana (Mouse-ear cress)	290	EXGT-A6 XTR16	AT4G03210;
Q8RXD9	reviewed	DPE2_ARATH	4-alpha-glucanotransferase DPE2 (EC 2.4.1.25) (Amylomaltase) (Disproportionating enzyme) (D-enzyme) (Protein DISPROPORTIONATING ENZYME 2)	DPE2 At2g40840 T20B5.4	Arabidopsis thaliana (Mouse-ear cress)	955		AT2G40840;
Q8VYA3	reviewed	WAKLJ_ARATH	Wall-associated receptor kinase-like 10 (EC 2.7.11.-)	WAKL10 At1g79680 F20B17.10	Arabidopsis thaliana (Mouse-ear cress)	769		AT1G79680;
