Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
B3H7I1	reviewed	SOP12_ARATH	Serine rich endogenous peptide 12 (AtSCOOP12) (Phytocytokine SCOOP12) (Precursor of serine rich endogenous peptide phytocytokine 12)	PROSCOOP12 SCOOP12 At5g44585 K15C23	Arabidopsis thaliana (Mouse-ear cress)	78	SCOOP12	AT5G44585;
O49519	reviewed	CLE2_ARATH	CLAVATA3/ESR (CLE)-related protein 2 [Cleaved into: CLE2p]	CLE2 At4g18510 F28J12.170	Arabidopsis thaliana (Mouse-ear cress)	75		AT4G18510;
P27900	reviewed	GL1_ARATH	Trichome differentiation protein GL1 (Myb-related protein 0) (AtMYB0) (Protein GLABRA 1) (Protein GLABROUS 1) (R2R3-MYB transcription factor GL1)	GL1 MYB0 At3g27920 K16N12.17	Arabidopsis thaliana (Mouse-ear cress)	228	MYB0	AT3G27920;
Q2V4E2	reviewed	CLE8_ARATH	CLAVATA3/ESR (CLE)-related protein 8 [Cleaved into: CLE8p]	CLE8 At1g67775 F12A21	Arabidopsis thaliana (Mouse-ear cress)	86		AT1G67775;
Q3ECH9	reviewed	CLE18_ARATH	CLAVATA3/ESR (CLE)-related protein 18 [Cleaved into: CLE18p; CLE18 C-terminus]	CLE18 At1g66145 F15E12	Arabidopsis thaliana (Mouse-ear cress)	101		AT1G66145;
Q3ECJ5	reviewed	CLE14_ARATH	CLAVATA3/ESR (CLE)-related protein 14 [Cleaved into: CLE14p]	CLE14 At1g63245 F9N12	Arabidopsis thaliana (Mouse-ear cress)	80		AT1G63245;
Q6IWA9	reviewed	CLE45_ARATH	CLAVATA3/ESR (CLE)-related protein 45 [Cleaved into: CLE45p]	CLE45 At1g69588 F24J1	Arabidopsis thaliana (Mouse-ear cress)	124		AT1G69588;
Q84W41	reviewed	GLR36_ARATH	Glutamate receptor 3.6 (Ligand-gated ion channel 3.6)	GLR3.6 At3g51480 F26O13.120	Arabidopsis thaliana (Mouse-ear cress)	903		AT3G51480;
Q84W98	reviewed	CLE41_ARATH	CLAVATA3/ESR (CLE)-related protein 41 (Tracheary element differentiation inhibitory factor-like protein) (TDIF-like protein) [Cleaved into: CLE41p]	CLE41 At3g24770 K7P8.35	Arabidopsis thaliana (Mouse-ear cress)	99		AT3G24770;
Q941C5	reviewed	CLE44_ARATH	CLAVATA3/ESR (CLE)-related protein 44 (Tracheary element differentiation inhibitory factor-like protein) (TDIF-like protein) [Cleaved into: CLE44p]	CLE44 At4g13195 F17N18	Arabidopsis thaliana (Mouse-ear cress)	112		AT4G13195;
Q9C8E7	reviewed	GLR33_ARATH	Glutamate receptor 3.3 (AtGLR3.3) (Glutamate receptor-like protein 3.3) (Ligand-gated ion channel 3.3)	GLR3.3 At1g42540 T8D8.1	Arabidopsis thaliana (Mouse-ear cress)	933		AT1G42540;
Q9FHN8	reviewed	KN14E_ARATH	Kinesin-like protein KIN-14E (Kinesin-like calmodulin-binding protein) (Protein ZWICHEL)	KIN14E KCBP ZWI At5g65930 K14B20.10	Arabidopsis thaliana (Mouse-ear cress)	1260	KCBP ZWI	AT5G65930;
Q9S746	reviewed	HTH_ARATH	Protein HOTHEAD (Protein ADHESION OF CALYX EDGES)	HTH ACE At1g72970 F3N23.17	Arabidopsis thaliana (Mouse-ear cress)	594	ACE	AT1G72970;
Q9SRY3	reviewed	RLF1_ARATH	Protein RALF-like 1 (Rapid alkalinization factor 1) (AtRALF1)	RALF1 RALFL1 At1g02900 F22D16.10	Arabidopsis thaliana (Mouse-ear cress)	120	RALFL1	AT1G02900;
Q9SV72	reviewed	EPFL9_ARATH	EPIDERMAL PATTERNING FACTOR-like protein 9 (EPF-like protein 9) [Cleaved into: Stomagen]	EPFL9 STOMAGEN At4g12970 F25G13.60	Arabidopsis thaliana (Mouse-ear cress)	102	STOMAGEN	AT4G12970;
Q9XF04	reviewed	CLV3_ARATH	Protein CLAVATA 3 [Cleaved into: MCLV3]	CLV3 At2g27250 F12K2.17	Arabidopsis thaliana (Mouse-ear cress)	96		AT2G27250;
B3H4X8	reviewed	TCL2_ARATH	MYB-like transcription factor TCL2 (Protein CAPRICE-like MYB4) (Protein TRICHOMELESS 2)	TCL2 CPL4 At2g30424 T6B20	Arabidopsis thaliana (Mouse-ear cress)	100	CPL4	AT2G30424;
O04547	reviewed	CLE26_ARATH	CLAVATA3/ESR (CLE)-related protein 26 [Cleaved into: CLE26p]	CLE26 At1g69970 F20P5.29	Arabidopsis thaliana (Mouse-ear cress)	118		AT1G69970;
O22212	reviewed	PRP4L_ARATH	U4/U6 small nuclear ribonucleoprotein PRP4-like protein (Protein EMBRYO DEFECTIVE 2776) (Protein LACHESIS)	LIS EMB2776 At2g41500 T26J13.9 T32G6.2	Arabidopsis thaliana (Mouse-ear cress)	554	EMB2776	AT2G41500;
Q3E9I4	reviewed	CLE22_ARATH	CLAVATA3/ESR (CLE)-related protein 22 [Cleaved into: CLE22p]	CLE22 At5g12235 MXC9	Arabidopsis thaliana (Mouse-ear cress)	103		AT5G12235;
Q3ECU1	reviewed	CLE11_ARATH	CLAVATA3/ESR (CLE)-related protein 11 [Cleaved into: CLE11p]	CLE11 At1g49005 F27J15	Arabidopsis thaliana (Mouse-ear cress)	99		AT1G49005;
Q4PSX1	reviewed	CLE10_ARATH	CLAVATA3/ESR (CLE)-related protein 10 [Cleaved into: CLE10p]	CLE10 At1g69320 F23O10.10	Arabidopsis thaliana (Mouse-ear cress)	107		AT1G69320;
Q6IWB2	reviewed	CLE42_ARATH	CLAVATA3/ESR (CLE)-related protein 42 [Cleaved into: CLE42p]	CLE42 At2g34925 F19I3	Arabidopsis thaliana (Mouse-ear cress)	88		AT2G34925;
Q6NMF0	reviewed	CLE13_ARATH	CLAVATA3/ESR (CLE)-related protein 13 [Cleaved into: CLE13p]	CLE13 At1g73965 F2P9	Arabidopsis thaliana (Mouse-ear cress)	107		AT1G73965;
Q84RD1	reviewed	ETC2_ARATH	MYB-like transcription factor ETC2 (Protein ENHANCER OF TRY AND CPC 2)	ETC2 At2g30420 T6B20 T9D9	Arabidopsis thaliana (Mouse-ear cress)	112		AT2G30420;
Q8L9H6	reviewed	CLE17_ARATH	CLAVATA3/ESR (CLE)-related protein 17 [Cleaved into: CLE17p]	CLE17 At1g70895 F15H11	Arabidopsis thaliana (Mouse-ear cress)	99		AT1G70895;
Q8LFL4	reviewed	CLE25_ARATH	CLAVATA3/ESR (CLE)-related protein 25 [Cleaved into: CLE25p]	CLE25 At3g28455 MFJ20	Arabidopsis thaliana (Mouse-ear cress)	81		AT3G28455;
Q8S8M2	reviewed	CLE16_ARATH	CLAVATA3/ESR (CLE)-related protein 16 [Cleaved into: CLE16p]	CLE16 At2g01505 F2I9	Arabidopsis thaliana (Mouse-ear cress)	103		AT2G01505;
Q8W261	reviewed	CLE19_ARATH	CLAVATA3/ESR (CLE)-related protein 19 (AtLLP1) (Protein EMBRYO SURROUNDING REGION 19) [Cleaved into: CLE19p]	CLE19 ESR19 LLP1 At3g24225 MUJ8	Arabidopsis thaliana (Mouse-ear cress)	74	ESR19 LLP1	AT3G24225;
Q9FZE4	reviewed	CLE9_ARATH	CLAVATA3/ESR (CLE)-related protein 9 [Cleaved into: CLE9p]	CLE9 At1g26600 T1K7.3	Arabidopsis thaliana (Mouse-ear cress)	120		AT1G26600;
Q9LUS7	reviewed	RLF23_ARATH	Rapid alkalinization factor 23 (AtRALF23) (Protein RALF-like 23)	RALF23 RALFL23 At3g16570 MGL6.2	Arabidopsis thaliana (Mouse-ear cress)	138	RALFL23	AT3G16570;
Q9LV97	reviewed	CLE21_ARATH	CLAVATA3/ESR (CLE)-related protein 21 [Cleaved into: CLE21p]	CLE21 At5g64800 MXK3.2	Arabidopsis thaliana (Mouse-ear cress)	106		AT5G64800;
Q9LXU0	reviewed	CLE40_ARATH	CLAVATA3/ESR (CLE)-related protein 40 [Cleaved into: CLE40p]	CLE40 At5g12990 T24H18.160	Arabidopsis thaliana (Mouse-ear cress)	80		AT5G12990;
O23262	reviewed	RLF32_ARATH	Protein RALF-like 32	RALFL32 At4g14010 dl3045c FCAALL.140	Arabidopsis thaliana (Mouse-ear cress)	117		AT4G14010;
O49320	reviewed	RLF18_ARATH	Protein RALF-like 18	RALFL18 At2g33130 F25I18.13	Arabidopsis thaliana (Mouse-ear cress)	103		AT2G33130;
Q1ECR9	reviewed	RLF8_ARATH	Protein RALF-like 8	RALFL8 At1g61563 T25B24	Arabidopsis thaliana (Mouse-ear cress)	82		AT1G61563;
Q29PU4	reviewed	CLE12_ARATH	CLAVATA3/ESR (CLE)-related protein 12 [Cleaved into: CLE12p]	CLE12 At1g68795 F14K14	Arabidopsis thaliana (Mouse-ear cress)	118		AT1G68795;
Q2HIM9	reviewed	RLF31_ARATH	Protein RALF-like 31	RALFL31 At4g13950 dl3015c FCAALL.121	Arabidopsis thaliana (Mouse-ear cress)	113		AT4G13950;
