Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
A3KPF2	reviewed	ANM14_ARATH	Probable histone-arginine methyltransferase 1.4 (AtPRMT14) (EC 2.1.1.319) (Coactivator-associated methyltransferase 1B) (Protein arginine N-methyltransferase 4A) (AtPRMT4A)	PRMT14 CARM1B PRMT4A At5g49020 K19E20.17	Arabidopsis thaliana (Mouse-ear cress)	528	CARM1B PRMT4A	AT5G49020;
Q84W92	reviewed	ANM13_ARATH	Probable histone-arginine methyltransferase 1.3 (AtPRMT13) (EC 2.1.1.319) (Coactivator-associated methyltransferase 1A) (Protein arginine N-methyltransferase 4B) (AtPRMT4B)	PRMT13 CARM1A PRMT4B At3g06930 F17A9.8	Arabidopsis thaliana (Mouse-ear cress)	535	CARM1A PRMT4B	AT3G06930;
Q8GZB6	reviewed	SUVH4_ARATH	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH4 (EC 2.1.1.-) (EC 2.1.1.367) (Histone H3-K9 methyltransferase 4) (H3-K9-HMTase 4) (Protein KRYPTONITE) (Protein SET DOMAIN GROUP 33) (Suppressor of variegation 3-9 homolog protein 4) (Su(var)3-9 homolog protein 4)	SUVH4 KYP SDG33 SET33 At5g13960 MAC12.7	Arabidopsis thaliana (Mouse-ear cress)	624	KYP SDG33 SET33	AT5G13960;
Q9C5X4	reviewed	ATX1_ARATH	Histone H3-lysine(4) N-trimethyltransferase ATX1 (EC 2.1.1.354) (Protein SET DOMAIN GROUP 27) (Protein-lysine N-trimethyltransferase ATX1-SoloSET) (EC 2.1.1.-) (Trithorax-homolog protein 1) (TRX-homolog protein 1)	ATX1 SDG27 SET27 TRX1 At2g31650 T9H9.17	Arabidopsis thaliana (Mouse-ear cress)	1062	SDG27 SET27 TRX1	AT2G31650;
Q9C7F9	reviewed	AGM11_ARATH	Arabinogalactan O-methyltransferase 1 (EC 2.1.1.-)	AGM1 At1g27930 F13K9.4	Arabidopsis thaliana (Mouse-ear cress)	289		AT1G27930;
Q9FMW9	reviewed	ICMTA_ARATH	Protein-S-isoprenylcysteine O-methyltransferase A (AtICMTA) (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase A) (Prenylated protein carboxyl methyltransferase A) (Prenylcysteine carboxyl methyltransferase A) (AtPCM)	ICMTA PCM STE14 STE14A At5g23320 MKD15.18	Arabidopsis thaliana (Mouse-ear cress)	197	PCM STE14 STE14A	AT5G23320;
Q9MAT5	reviewed	ANM10_ARATH	Protein arginine N-methyltransferase PRMT10 (EC 2.1.1.319)	PRMT10 PRMT4.2 At1g04870 F13M7.14 F13M7_12	Arabidopsis thaliana (Mouse-ear cress)	383	PRMT4.2	AT1G04870;
Q9XI84	reviewed	RBCMT_ARATH	[Fructose-bisphosphate aldolase]-lysine N-methyltransferase, chloroplastic (EC 2.1.1.259) (Aldolases N-methyltransferase) ([Ribulose-bisphosphate carboxylase]-lysine N-methyltransferase-like) (AtLSMT-L) (LSMT-like enzyme)	LSMT-L RBCMT At1g14030 F16A14.25 F7A19.12	Arabidopsis thaliana (Mouse-ear cress)	482	RBCMT	AT1G14030;
Q9FYG0	reviewed	AGM2_ARATH	Arabinogalactan O-methyltransferase 2 (EC 2.1.1.-)	AGM2 At1g67330 F1N21.15	Arabidopsis thaliana (Mouse-ear cress)	291		AT1G67330;
Q9FN34	unreviewed	Q9FN34_ARATH	ETFB lysine methyltransferase (Protein N-lysine methyltransferase METTL20)	PRMA At5g53920 K19P17.9 K19P17_9	Arabidopsis thaliana (Mouse-ear cress)	371		AT5G53920;
