Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
A0A0A7EPL0	reviewed	PIAL1_ARATH	E4 SUMO-protein ligase PIAL1 (EC 2.3.2.-) (Protein EMBRYO DEFECTIVE 3001) (Protein INHIBITOR OF ACTIVATED STAT-LIKE 1)	PIAL1 EMB3001 At1g08910 F7G19.21	Arabidopsis thaliana (Mouse-ear cress)	847	EMB3001	AT1G08910;
A0A1P8AUY4	reviewed	MDN1_ARATH	Midasin (AtMDN1) (Dynein-related AAA-ATPase MDN1) (MIDAS-containing protein 1) (Protein DWARF AND SHORT ROOT 1)	MDN1 DSR1 At1g67120 F5A8.11	Arabidopsis thaliana (Mouse-ear cress)	5400	DSR1	AT1G67120;
A0MES8	reviewed	ABI4_ARATH	Ethylene-responsive transcription factor ABI4 (ERF ABI4) (Protein ABSCISIC ACID INSENSITIVE 4) (Protein GLUCOSE INSENSITIVE 6) (Protein IMPAIRED SUCROSE INDUCTION 3) (Protein SALOBRENO 5) (Protein SUCROSE UNCOUPLED 6) (Protein SUGAR INSENSITIVE 5)	ABI4 ERF052 GIN6 ISI3 SAN5 SIS5 SUN6 At2g40220 T7M7.16	Arabidopsis thaliana (Mouse-ear cress)	328	ERF052 GIN6 ISI3 SAN5 SIS5 SUN6	AT2G40220;
A0SVK0	reviewed	DOG1_ARATH	Protein DELAY OF GERMINATION 1 (GLUCOSE SENSING QTL 5)	DOG1 GSQ5 At5g45830 K15I22.3	Arabidopsis thaliana (Mouse-ear cress)	291	GSQ5	AT5G45830;
B9DGI8	reviewed	BZP63_ARATH	Basic leucine zipper 63 (AtbZIP63) (bZIP protein 63) (Basic leucine zipper OPAQUE 2 homolog 3) (Basic leucine zipper O2 homolog 3)	BZIP63 BZO2H3 At5g28770 T32B20.4	Arabidopsis thaliana (Mouse-ear cress)	314	BZO2H3	AT5G28770;
B9DHT4	reviewed	ARIA_ARATH	ARM REPEAT PROTEIN INTERACTING WITH ABF2 (ARIA)	ARIA At5g19330 F7K24.80	Arabidopsis thaliana (Mouse-ear cress)	710		AT5G19330;
C0LGQ9	reviewed	GHR1_ARATH	LRR receptor-like serine/threonine-protein kinase GHR1 (EC 2.7.11.1) (Protein GUARD CELL HYDROGEN PEROXIDE-RESISTANT 1) (AtGHR1) (Protein RADICAL-INDUCED CELL DEATH 7)	GHR1 RCD7 At4g20940 T13K14.100	Arabidopsis thaliana (Mouse-ear cress)	1053	RCD7	AT4G20940;
F2Y4A3	reviewed	SPHK2_ARATH	Sphingosine kinase 2 (EC 2.7.1.91)	SPHK2 At4g21534 F18E5.160	Arabidopsis thaliana (Mouse-ear cress)	481		AT4G21534;
F4HTH8	reviewed	KTN82_ARATH	Katanin p80 WD40 repeat-containing subunit B1 homolog KTN80.2 (DDB1 binding WD40 hypersensitive to ABA 3) (DWD hypersensitive to ABA 3)	KTN80.2 DWA3 At1g61210 F11P17.7	Arabidopsis thaliana (Mouse-ear cress)	1181	DWA3	AT1G61210;
F4I1S7	reviewed	ELP2_ARATH	Elongator complex protein 2 (AtELP2) (Elongator component 2) (Protein GREEN NPR1 SEEDLING ON SA MEDIUM 1)	ELP2 GNS1 At1g49540 F13F21.2 F14J22.24	Arabidopsis thaliana (Mouse-ear cress)	838	GNS1	AT1G49540;
