Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
A4GSN8	reviewed	NUA_ARATH	Nuclear-pore anchor (Protein TRANSLOCATED PROMOTER REGION) (AtTPR)	NUA TPR At1g79280 YUP8H12R.11 YUP8H12R.12 YUP8H12R.8 YUP8H12R.9	Arabidopsis thaliana (Mouse-ear cress)	2093	TPR	AT1G79280;
F4KGW0	unreviewed	F4KGW0_ARATH	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)	PAS2 PASTICCINO 2 PEP PEPINO At5g10480 F12B17.170 F12B17_170	Arabidopsis thaliana (Mouse-ear cress)	230	PASTICCINO 2 PEP PEPINO	AT5G10480;
O04719	reviewed	P2C77_ARATH	Protein phosphatase 2C 77 (AtPP2C77) (EC 3.1.3.16) (Protein ABSCISIC ACID-INSENSITIVE 2) (Protein phosphatase 2C ABI2) (PP2C ABI2)	ABI2 PP2C77 At5g57050 MHM17.19	Arabidopsis thaliana (Mouse-ear cress)	423	PP2C77	AT5G57050;
O22286	reviewed	BPM3_ARATH	BTB/POZ and MATH domain-containing protein 3 (Protein BTB-POZ AND MATH DOMAIN 3) (AtBPM3)	BPM3 At2g39760 T5I7.6	Arabidopsis thaliana (Mouse-ear cress)	408		AT2G39760;
O48533	reviewed	PYM_ARATH	Protein POLYCHOME (Protein UV-B-INSENSITIVE 4)	PYM UVI4 At2g42260 T24P15.17	Arabidopsis thaliana (Mouse-ear cress)	259	UVI4	AT2G42260;
O80345	reviewed	CDKF1_ARATH	Cyclin-dependent kinase F-1 (CDKF;1) (EC 2.7.11.22) (EC 2.7.11.23) (CDK-activating kinase 1-At) (CAK1-At)	CDKF-1 CAK1 At4g28980 F19B15.10	Arabidopsis thaliana (Mouse-ear cress)	479	CAK1	AT4G28980;
P34790	reviewed	CP18C_ARATH	Peptidyl-prolyl cis-trans isomerase CYP18-3 (PPIase CYP18-3) (EC 5.2.1.8) (Cyclophilin of 18 kDa 3) (Cyclosporin A-binding protein) (Rotamase cyclophilin-1)	CYP18-3 ROC1 At4g38740 T9A14.20	Arabidopsis thaliana (Mouse-ear cress)	172	ROC1	AT4G38740;
P40228	reviewed	CSK2B_ARATH	Casein kinase II subunit beta-1 (CK II beta-1)	CKB1 At5g47080 K14A3.3	Arabidopsis thaliana (Mouse-ear cress)	287		AT5G47080;
Q0WNX9	reviewed	KRP6_ARATH	Cyclin-dependent kinase inhibitor 6 (Cyclin-dependent kinase inhibitor p22ack1) (Inhibitor/interactor of CDK protein 4) (KIP-related protein 6)	KRP6 ACK1 ICK4 At3g19150 MVI11.5	Arabidopsis thaliana (Mouse-ear cress)	196	ACK1 ICK4	AT3G19150;
Q67Y93	reviewed	KRP1_ARATH	Cyclin-dependent kinase inhibitor 1 (Inhibitor/interactor of CDK protein 1) (KIP-related protein 1)	KRP1 ICK1 At2g23430 F26B6.8	Arabidopsis thaliana (Mouse-ear cress)	191	ICK1	AT2G23430;
Q84JU4	reviewed	IBR5_ARATH	Protein-tyrosine-phosphatase IBR5 (EC 3.1.3.48) (Protein INDOLE-3-BUTYRIC ACID RESPONSE 5) (Protein IBA RESPONSE 5) (SKP1-interacting partner 33)	IBR5 SKIP33 At2g04550 T1O3.4	Arabidopsis thaliana (Mouse-ear cress)	257	SKIP33	AT2G04550;
Q8GYJ3	reviewed	KRP4_ARATH	Cyclin-dependent kinase inhibitor 4 (Inhibitor/interactor of CDK protein 7) (KIP-related protein 4)	KRP4 ACK2 ICK7 At2g32710 F24L7.15	Arabidopsis thaliana (Mouse-ear cress)	289	ACK2 ICK7	AT2G32710;
Q8LLD4	reviewed	REP_ARATH	Rab escort protein 1 (AthREP)	REP At3g06540 F5E6.13	Arabidopsis thaliana (Mouse-ear cress)	563		AT3G06540;
Q944A6	reviewed	SNF4_ARATH	Sucrose nonfermenting 4-like protein (SNF4) (CBS domain-containing protein CBSCBS3) (SNF1-related protein kinase regulatory subunit betagamma) (AKIN subunit betagamma) (AKINbetagamma)	SNF4 CBSCBS3 At1g09020 F7G19.11	Arabidopsis thaliana (Mouse-ear cress)	487	CBSCBS3	AT1G09020;
Q94CL9	reviewed	KRP7_ARATH	Cyclin-dependent kinase inhibitor 7 (Inhibitor/interactor of CDK protein 5) (KIP-related protein 7)	KRP7 ICK5 At1g49620 F14J22.14	Arabidopsis thaliana (Mouse-ear cress)	195	ICK5	AT1G49620;
Q9C9M7	reviewed	CDKD2_ARATH	Cyclin-dependent kinase D-2 (CDKD;2) (EC 2.7.11.22) (EC 2.7.11.23) (CDK-activating kinase 4-At) (CAK4-At)	CDKD-2 At1g66750 F4N21.12	Arabidopsis thaliana (Mouse-ear cress)	348		AT1G66750;
Q9FNP4	reviewed	PIA2_ARATH	Phytochrome-interacting ankyrin-repeat protein 2 [Cleaved into: Protein ANKYRIN REPEAT 6, mitochondrial]	PIA2 ANK6 At5g61230 MAF19.22	Arabidopsis thaliana (Mouse-ear cress)	174	ANK6	AT5G61230;
Q9LZ78	reviewed	SIM_ARATH	Cyclin-dependent protein kinase inhibitor SIM (Protein SIAMESE)	SIM At5g04470 T32M21.70	Arabidopsis thaliana (Mouse-ear cress)	127		AT5G04470;
Q9M2R1	reviewed	GIG1_ARATH	Protein GIGAS CELL1 (Protein ENHANCER OF BON1-2 30) (Protein OMISSION OF SECOND DIVISION1) (Protein UV-B-INSENSITIVE 4-like)	GIG1 EBO30 OSD1 UVI4-LIKE At3g57860 T10K17.70	Arabidopsis thaliana (Mouse-ear cress)	243	EBO30 OSD1 UVI4-LIKE	AT3G57860;
Q9M8K7	reviewed	DUS1B_ARATH	Dual specificity protein phosphatase 1B (AtDsPTP1B) (EC 3.1.3.16) (EC 3.1.3.48) (MAPK phosphatase 2) (AtMKP2)	DSPTP1B MKP2 At3g06110 F28L1.5	Arabidopsis thaliana (Mouse-ear cress)	167	MKP2	AT3G06110;
Q9SCR2	reviewed	KRP2_ARATH	Cyclin-dependent kinase inhibitor 2 (Inhibitor/interactor of CDK protein 2) (KIP-related protein 2)	KRP2 ICK2 At3g50630 T3A5.10	Arabidopsis thaliana (Mouse-ear cress)	209	ICK2	AT3G50630;
Q9XF67	reviewed	PDPK1_ARATH	3-phosphoinositide-dependent protein kinase 1 (AtPDK1) (EC 2.7.11.1)	PDPK1 PDK1 At5g04510 T32M21.110	Arabidopsis thaliana (Mouse-ear cress)	491	PDK1	AT5G04510;
F4HVZ5	reviewed	CSU2_ARATH	Protein COP1 SUPPRESSOR 2	CSU2 At1g02330 T6A9.2	Arabidopsis thaliana (Mouse-ear cress)	279		AT1G02330;
Q93YP0	reviewed	UEV1A_ARATH	Ubiquitin-conjugating enzyme E2 variant 1A (Ubc enzyme variant 1A) (Protein MMS ZWEI HOMOLOG 1)	UEV1A MMZ1 At1g23260 F26F24.10	Arabidopsis thaliana (Mouse-ear cress)	158	MMZ1	AT1G23260;
Q9CAB6	reviewed	UEV1B_ARATH	Ubiquitin-conjugating enzyme E2 variant 1B (Ubc enzyme variant 1B) (Protein MMS ZWEI HOMOLOG 2)	UEV1B MMZ2 At1g70660 F5A18.16	Arabidopsis thaliana (Mouse-ear cress)	159	MMZ2	AT1G70660;
Q9LRY0	reviewed	KRP5_ARATH	Cyclin-dependent kinase inhibitor 5 (Inhibitor/interactor of CDK protein 3) (KIP-related protein 5)	KRP5 ICK3 At3g24810 K7P8.10	Arabidopsis thaliana (Mouse-ear cress)	189	ICK3	AT3G24810;
Q9SJ44	reviewed	UEV1C_ARATH	Ubiquitin-conjugating enzyme E2 variant 1C (Ubc enzyme variant 1C) (Protein MMS ZWEI HOMOLOG 3)	UEV1C MMZ3 At2g36060 F11F19.3	Arabidopsis thaliana (Mouse-ear cress)	145	MMZ3	AT2G36060;
F4ISN5	unreviewed	F4ISN5_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	PPK4 At2g25750 At2g25760 F17H15.21 F17H15_21	Arabidopsis thaliana (Mouse-ear cress)	676		AT2G25760;
F4K388	unreviewed	F4K388_ARATH	Inhibitor/interactor with cyclin-dependent kinase	ICK6 KIP-RELATED PROTEIN 3 KRP3 At5g48820 K24G6.15 K24G6_15	Arabidopsis thaliana (Mouse-ear cress)	240	KIP-RELATED PROTEIN 3 KRP3	AT5G48820;
Q9FG23	reviewed	CK5P3_ARATH	CDK5RAP3 protein homolog	At5g06830 MPH15.20	Arabidopsis thaliana (Mouse-ear cress)	549		AT5G06830;
Q9FK52	unreviewed	Q9FK52_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	PPK2 MRG7.15 MRG7_15 At5g18190	Arabidopsis thaliana (Mouse-ear cress)	691	MRG7.15 MRG7_15	AT5G18190;
Q9SQR8	unreviewed	Q9SQR8_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	PPK3 At3g03940 T11I18.5 T11I18_5	Arabidopsis thaliana (Mouse-ear cress)	701		AT3G03940;
F4J6Z1	unreviewed	F4J6Z1_ARATH	Ubiquitin E2 variant 1D-4	UEV1D-4 MMS2 ZWEI HOMOLOGUE 4 MMZ4 UBIQUITIN E2 VARIANT 1D ubiquitin E2 variant 1D-4 UEV1D At3g52560 F3C22.2	Arabidopsis thaliana (Mouse-ear cress)	164	MMS2 ZWEI HOMOLOGUE 4 MMZ4 UBIQUITIN E2 VARIANT 1D ubiquitin E2 variant 1D-4 UEV1D	AT3G52560;
F4K6K7	unreviewed	F4K6K7_ARATH	Cell cycle regulated microtubule associated protein	At5g07170 T28J14.110 T28J14_110	Arabidopsis thaliana (Mouse-ear cress)	363		AT5G07170;
Q4V3B0	unreviewed	Q4V3B0_ARATH	At4g11990 (Cell cycle regulated microtubule associated protein)	TPXL2 At4g11990 F16J13.60 F16J13_60	Arabidopsis thaliana (Mouse-ear cress)	501		AT4G11990;
Q4V3C5	unreviewed	Q4V3C5_ARATH	At4g22860 (Cell cycle regulated microtubule associated protein)	TPXL3 At4g22860 F7H19.40 F7H19_40	Arabidopsis thaliana (Mouse-ear cress)	509		AT4G22860;
Q5XUX8	unreviewed	Q5XUX8_ARATH	Cell cycle regulated microtubule associated protein	MMI9.7 MMI9_7 At5g62240	Arabidopsis thaliana (Mouse-ear cress)	377	MMI9_7	AT5G62240;
Q8H0V1	reviewed	CK5P1_ARATH	CDK5RAP1-like protein	At4g36390 AP22.85 C7A10.970	Arabidopsis thaliana (Mouse-ear cress)	640		AT4G36390;
