"","tissue","color"
"5. MCE (ARF13)","5. MCE (ARF13)","#97576b"
"17. ii1 endothelium (BAN and TT1)","17. ii1 endothelium (BAN and TT1)","#aed6f1"
"21. oi1 flavinol synthesizing (MYB11)","21. oi1 flavinol synthesizing (MYB11)","#bb8fce"
"6. PEN general (AGL62)","6. PEN general (AGL62)","#ceaab5"
"20. ii2 general (DELTAVPE and STK)","20. ii2 general (DELTAVPE and STK)","#21618c"
"1. EMB (PDF1)","1. EMB (PDF1)","#57A15D"
"22. oi1 flavinol synthesizing high PCD (MYB11, SCOOP15, BAP1)","22. oi1 flavinol synthesizing high PCD (MYB11, SCOOP15, BAP1)","#bb8fce"
"15. CZSC placentochalazal phosphate transport (ARR22, SWEET10, and UMAMIT14)","15. CZSC placentochalazal phosphate transport (ARR22, SWEET10, and UMAMIT14)","#088F8F"
"25. oi2 general (GLABRA2)","25. oi2 general (GLABRA2)","#6c3483"
"16. CZSC placentochalazal callose-synthesizing (ARR22, TET5, and CALS8)","16. CZSC placentochalazal callose-synthesizing (ARR22, TET5, and CALS8)","#088F8F"
"18. ii1 basal (contains pigment strand) (BAN and SWEET4)","18. ii1 basal (contains pigment strand) (BAN and SWEET4)","#aed6f1"
"27. oi2 general (GLABRA2 and WRKY40)","27. oi2 general (GLABRA2 and WRKY40)","#6c3483"
"23. oi1 flavinol synthesizing  S-phase (MYB11 and BARD1)","23. oi1 flavinol synthesizing  S-phase (MYB11 and BARD1)","#bb8fce"
"13. CPT persistent nucellus (AGO3)","13. CPT persistent nucellus (AGO3)","#044747"
"14. CZSC fluid transport (ARR22 and AAP6)","14. CZSC fluid transport (ARR22 and AAP6)","#088F8F"
"26. oi2 very long chain fatty acid-synthesizing (KCS6 and WRI4)","26. oi2 very long chain fatty acid-synthesizing (KCS6 and WRI4)","#6c3483"
"12. CPT transient nucellus (PLL24)","12. CPT transient nucellus (PLL24)","#044747"
"11. OVL scenescing (BFN1)","11. OVL scenescing (BFN1)","#a6acaf"
"9. FUN epidermal (CER3)","9. FUN epidermal (CER3)","#f1c40f"
"19. ii1' (DELTAVPE and UMAMIT29)","19. ii1' (DELTAVPE and UMAMIT29)","#5dade2"
"28. oi2 S-phase (GLABRA2 and BARD1)","28. oi2 S-phase (GLABRA2 and BARD1)","#6c3483"
"24. oi micropylar (SWEET12)","24. oi micropylar (SWEET12)","#bb8fce"
"7. PEN G2/M-phase (AGL62 and TOPII)","7. PEN G2/M-phase (AGL62 and TOPII)","#ceaab5"
"2. CZE nodule-like (MEA)","2. CZE nodule-like (MEA)","#ce0d48"
"4. CZE nodule (CYCD4;2)","4. CZE nodule (CYCD4;2)","#ce0d48"
"3. CZE basal cyst (RALFL3)","3. CZE basal cyst (RALFL3)","#ce0d48"
"8. FUN hilum (ADPG1)","8. FUN hilum (ADPG1)","#f1c40f"
"10. FUN companion cells (SUC2)","10. FUN companion cells (SUC2)","#f1c40f"
