Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
O80803	reviewed	XTH17_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 17 (At-XTH17) (XTH-17) (EC 2.4.1.207)	XTH17 XTR1 At1g65310 T8F5.9	Arabidopsis thaliana (Mouse-ear cress)	282	XTR1	AT1G65310;
P24806	reviewed	XTH24_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 24 (At-XTH24) (XTH-24) (EC 2.4.1.207) (Endo-xyloglucan transferase) (Meristem protein 5) (MERI-5 protein) (MERI5 protein) (Xyloglucan endo-1,4-beta-D-glucanase)	XTH24 MERI-5 MERI5B SEN4 At4g30270 F9N11.120	Arabidopsis thaliana (Mouse-ear cress)	269	MERI-5 MERI5B SEN4	AT4G30270;
P93046	reviewed	XTH31_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 31 (At-XTH31) (AtXTR8) (XTH-31) (EC 2.4.1.207) (EC 3.2.1.151)	XTH31 ATXG XTR8 At3g44990 F14D17.60	Arabidopsis thaliana (Mouse-ear cress)	293	ATXG XTR8	AT3G44990;
Q38857	reviewed	XTH22_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 22 (At-XTH22) (XTH-22) (EC 2.4.1.207) (Touch protein 4)	XTH22 TCH4 At5g57560 MUA2.13	Arabidopsis thaliana (Mouse-ear cress)	284	TCH4	AT5G57560;
Q38909	reviewed	XTH28_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 28 (At-XTH28) (XTH-28) (EC 2.4.1.207)	XTH28 EXGT-A2 XTR2 At1g14720 F10B6.12 F10B6.29	Arabidopsis thaliana (Mouse-ear cress)	332	EXGT-A2 XTR2	AT1G14720;
Q38911	reviewed	XTH15_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 15 (At-XTH15) (XTH-15) (EC 2.4.1.207) (EC 3.2.1.151)	XTH15 XTR7 At4g14130 dl3105c FCAALL.173	Arabidopsis thaliana (Mouse-ear cress)	289	XTR7	AT4G14130;
Q39099	reviewed	XTH4_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 4 (At-XTH4) (XTH-4) (EC 2.4.1.207)	XTH4 EXGT-A1 EXT At2g06850 T9F8.4	Arabidopsis thaliana (Mouse-ear cress)	296	EXGT-A1 EXT	AT2G06850;
Q8LC45	reviewed	XTH33_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 33 (At-XTH33) (XTH-33) (EC 2.4.1.207)	XTH33 At1g10550 T10O24.17	Arabidopsis thaliana (Mouse-ear cress)	310		AT1G10550;
Q8LDS2	reviewed	XTH27_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 27 (At-XTH27) (XTH-27) (EC 2.4.1.207)	XTH27 EXGT-A3 At2g01850 T23K3.4	Arabidopsis thaliana (Mouse-ear cress)	333	EXGT-A3	AT2G01850;
Q8LDW9	reviewed	XTH9_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 9 (At-XTH9) (XTH-9) (EC 2.4.1.207)	XTH9 EXGT-A6 XTR16 At4g03210 F4C21.14	Arabidopsis thaliana (Mouse-ear cress)	290	EXGT-A6 XTR16	AT4G03210;
Q9LJR7	reviewed	XTH3_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 3 (At-XTH3) (XTH-3) (EC 2.4.1.207)	XTH3 At3g25050 K3G3.6	Arabidopsis thaliana (Mouse-ear cress)	290		AT3G25050;
Q9M0D1	reviewed	XTH19_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 19 (At-XTH19) (XTH-19) (EC 2.4.1.207)	XTH19 At4g30290 F17I23.370	Arabidopsis thaliana (Mouse-ear cress)	277		AT4G30290;
Q9ZSU4	reviewed	XTH14_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 14 (At-XTH14) (XTH-14) (EC 2.4.1.207)	XTH14 XTR9 At4g25820 F14M19.100	Arabidopsis thaliana (Mouse-ear cress)	287	XTR9	AT4G25820;
Q9ZV40	reviewed	XTH21_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 21 (At-XTH21) (XTH-21) (EC 2.4.1.207)	XTH21 XTR17 At2g18800 MSF3.18	Arabidopsis thaliana (Mouse-ear cress)	305	XTR17	AT2G18800;
Q38907	reviewed	XTH25_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 25 (At-XTH25) (XTH-25) (EC 2.4.1.207)	XTH25 EXGT-A5 XTR3 At5g57550 MUA2.12	Arabidopsis thaliana (Mouse-ear cress)	284	EXGT-A5 XTR3	AT5G57550;
Q38908	reviewed	XTH30_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 30 (At-XTH30) (XTH-30) (EC 2.4.1.207)	XTH30 XTR4 At1g32170 F3C3.5	Arabidopsis thaliana (Mouse-ear cress)	343	XTR4	AT1G32170;
Q38910	reviewed	XTH23_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 23 (At-XTH23) (XTH-23) (EC 2.4.1.207)	XTH23 XTR6 At4g25810 F14M19.90	Arabidopsis thaliana (Mouse-ear cress)	286	XTR6	AT4G25810;
Q8L7H3	reviewed	XTH29_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 29 (At-XTH29) (XTH-29) (EC 2.4.1.207)	XTH29 XTR13 At4g18990 F13C5.160	Arabidopsis thaliana (Mouse-ear cress)	357	XTR13	AT4G18990;
Q8L9A9	reviewed	XTH8_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 8 (At-XTH8) (XTH-8) (EC 2.4.1.207)	XTH8 At1g11545 T23J18.21	Arabidopsis thaliana (Mouse-ear cress)	305		AT1G11545;
Q8LER3	reviewed	XTH7_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 7 (At-XTH7) (XTH-7) (EC 2.4.1.207)	XTH7 XTR15 At4g37800 T28I19.80	Arabidopsis thaliana (Mouse-ear cress)	293	XTR15	AT4G37800;
Q8LF99	reviewed	XTH6_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 6 (At-XTH6) (XTH-6) (EC 2.4.1.207)	XTH6 XTR10 At5g65730 MPA24.8	Arabidopsis thaliana (Mouse-ear cress)	292	XTR10	AT5G65730;
Q8LG58	reviewed	XTH16_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 16 (At-XTH16) (XTH-16) (EC 2.4.1.207)	XTH16 At3g23730 MYM9.11	Arabidopsis thaliana (Mouse-ear cress)	291		AT3G23730;
Q9FI31	reviewed	XTH20_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 20 (At-XTH20) (XTH-20) (EC 2.4.1.207)	XTH20 At5g48070 MDN11.15	Arabidopsis thaliana (Mouse-ear cress)	282		AT5G48070;
Q9FKL8	reviewed	XTH13_ARATH	Putative xyloglucan endotransglucosylase/hydrolase protein 13 (At-XTH13) (XTH-13) (EC 2.4.1.207)	XTH13 At5g57540 MUA2.11	Arabidopsis thaliana (Mouse-ear cress)	284		AT5G57540;
Q9FKL9	reviewed	XTH12_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 12 (At-XTH12) (XTH-12) (EC 2.4.1.207)	XTH12 At5g57530 MUA2.10	Arabidopsis thaliana (Mouse-ear cress)	285		AT5G57530;
Q9M0D2	reviewed	XTH18_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 18 (At-XTH18) (XTH-18) (EC 2.4.1.207)	XTH18 At4g30280 F17I23.380	Arabidopsis thaliana (Mouse-ear cress)	282		AT4G30280;
Q9SJL9	reviewed	XTH32_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 32 (At-XTH32) (XTH-32) (EC 2.4.1.207)	XTH32 At2g36870 T1J8.5	Arabidopsis thaliana (Mouse-ear cress)	299		AT2G36870;
Q9SMP1	reviewed	XTH11_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 11 (At-XTH11) (XTH-11) (EC 2.4.1.207)	XTH11 At3g48580 T8P19.90	Arabidopsis thaliana (Mouse-ear cress)	277		AT3G48580;
