Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
Q7G191	reviewed	ALDO4_ARATH	Aldehyde oxidase 4 (AO-4) (AtAO-4) (AtAO2) (EC 1.2.3.1) (Benzaldehyde oxidase) (Indole-3-acetaldehyde oxidase) (IAA oxidase) (EC 1.2.3.7)	AAO4 AO2 At1g04580 T1G11.17	Arabidopsis thaliana (Mouse-ear cress)	1337	AO2	AT1G04580;
Q7G192	reviewed	ALDO2_ARATH	Indole-3-acetaldehyde oxidase (IAA oxidase) (EC 1.2.3.7) (Aldehyde oxidase 2) (AO-2) (AtAO-2) (AtAO3)	AAO2 AO3 At3g43600 F22J12.40	Arabidopsis thaliana (Mouse-ear cress)	1321	AO3	AT3G43600;
Q7G193	reviewed	ALDO1_ARATH	Indole-3-acetaldehyde oxidase (IAA oxidase) (EC 1.2.3.7) (Aldehyde oxidase 1) (AO-1) (AtAO-1) (AtAO1)	AAO1 AO1 At5g20960 F22D1.130	Arabidopsis thaliana (Mouse-ear cress)	1368	AO1	AT5G20960;
Q7G9P4	reviewed	ALDO3_ARATH	Abscisic-aldehyde oxidase (EC 1.2.3.14) (Aldehyde oxidase 3) (AO-3) (AtAO-3) (AtAO4) (Indole-3-acetaldehyde oxidase) (IAA oxidase) (EC 1.2.3.7)	AAO3 AO4 At2g27150 F20F1.2	Arabidopsis thaliana (Mouse-ear cress)	1332	AO4	AT2G27150;
Q8LFX7	reviewed	BDG1_ARATH	Probable lysophospholipase BODYGUARD 1 (AtBDG1) (EC 3.1.1.-) (Protein 9-cis epoxycarotenoid dioxygenase defective 1) (Protein COOL BREATH 5)	BDG1 BDG CB5 CED1 At1g64670 F1N19.24	Arabidopsis thaliana (Mouse-ear cress)	469	BDG CB5 CED1	AT1G64670;
Q9C5X8	reviewed	MOCOS_ARATH	Molybdenum cofactor sulfurase (MCS) (MOS) (MoCo sulfurase) (EC 2.8.1.9) (Abscisic acid protein 3) (Low expression of osmotically expressive genes protein 5) (Molybdenum cofactor sulfurtransferase)	ABA3 LOS5 At1g16540 F19K19.13	Arabidopsis thaliana (Mouse-ear cress)	819	LOS5	AT1G16540;
Q9C6Z1	reviewed	NCED5_ARATH	Probable 9-cis-epoxycarotenoid dioxygenase NCED5, chloroplastic (AtNCED5) (EC 1.13.11.51)	NCED5 At1g30100 T2H7.10	Arabidopsis thaliana (Mouse-ear cress)	589		AT1G30100;
Q9C826	reviewed	ABA2_ARATH	Xanthoxin dehydrogenase (EC 1.1.1.288) (Protein ABSCISIC ACID DEFICIENT 2) (Protein GLUCOSE INSENSITIVE 1) (Protein IMPAIRED SUCROSE INDUCTION 4) (Protein SALOBRENO 3) (Protein SALT RESISTANT 1) (Protein SUGAR INSENSITIVE 4) (Short-chain alcohol dehydrogenase ABA2) (Short-chain dehydrogenase reductase 1) (AtSDR1) (Xanthoxin oxidase)	ABA2 GIN1 ISI4 SAN3 SDR1 SIS4 SRE1 At1g52340 F19K6.3	Arabidopsis thaliana (Mouse-ear cress)	285	GIN1 ISI4 SAN3 SDR1 SIS4 SRE1	AT1G52340;
Q9FGC7	reviewed	ZEP_ARATH	Zeaxanthin epoxidase, chloroplastic (AtZEP) (EC 1.14.15.21) (Protein ABA DEFICIENT 1) (AtABA1) (Protein IMPAIRED IN BABA-INDUCED STERILITY 3) (Protein LOW EXPRESSION OF OSMOTIC STRESS-RESPONSIVE GENES 6) (Protein NON-PHOTOCHEMICAL QUENCHING 2)	ZEP ABA1 IBS3 LOS6 NPQ2 At5g67030 K8A10.10	Arabidopsis thaliana (Mouse-ear cress)	667	ABA1 IBS3 LOS6 NPQ2	AT5G67030;
Q9FR53	reviewed	TOR_ARATH	Serine/threonine-protein kinase TOR (EC 2.7.11.1) (Protein TARGET OF RAPAMYCIN) (AtTOR)	TOR At1g50030 F2J10.19	Arabidopsis thaliana (Mouse-ear cress)	2481		AT1G50030;
Q9LRM7	reviewed	NCED6_ARATH	9-cis-epoxycarotenoid dioxygenase NCED6, chloroplastic (AtNCED6) (EC 1.13.11.51)	NCED6 At3g24220 MUJ8.12	Arabidopsis thaliana (Mouse-ear cress)	577		AT3G24220;
Q9LRR7	reviewed	NCED3_ARATH	9-cis-epoxycarotenoid dioxygenase NCED3, chloroplastic (AtNCED3) (EC 1.13.11.51) (Protein SALT TOLERANT 1)	NCED3 STO1 At3g14440 MOA2.4	Arabidopsis thaliana (Mouse-ear cress)	599	STO1	AT3G14440;
Q9M9F5	reviewed	NCED9_ARATH	9-cis-epoxycarotenoid dioxygenase NCED9, chloroplastic (AtNCED9) (EC 1.13.11.51)	NCED9 At1g78390 F3F9.10	Arabidopsis thaliana (Mouse-ear cress)	657		AT1G78390;
Q9SI09	reviewed	XERIC_ARATH	Probable E3 ubiquitin-protein ligase XERICO (EC 2.3.2.27) (RING-type E3 ubiquitin transferase XERICO)	XERICO At2g04240 T23O15.13	Arabidopsis thaliana (Mouse-ear cress)	162		AT2G04240;
O49505	reviewed	NCED2_ARATH	9-cis-epoxycarotenoid dioxygenase NCED2, chloroplastic (AtNCED2) (EC 1.13.11.51)	NCED2 At4g18350 F28J12.10	Arabidopsis thaliana (Mouse-ear cress)	583		AT4G18350;
Q8LFP9	reviewed	ABA4_ARATH	Protein ABA DEFICIENT 4, chloroplastic	ABA4 At1g67080 F1O19.13	Arabidopsis thaliana (Mouse-ear cress)	220		AT1G67080;
A0A178UJF2	unreviewed	A0A178UJF2_ARATH	Zeaxanthin epoxidase, chloroplastic (EC 1.14.15.21)	AXX17_At5g67070	Arabidopsis thaliana (Mouse-ear cress)	667		
A0A178VEZ7	unreviewed	A0A178VEZ7_ARATH	9-cis-epoxycarotenoid dioxygenase (EC 1.13.11.51)	AXX17_At3g15050 AN1_LOCUS12812	Arabidopsis thaliana (Mouse-ear cress)	599		
A0A5S9XCA1	unreviewed	A0A5S9XCA1_ARATH	9-cis-epoxycarotenoid dioxygenase (EC 1.13.11.51)	C24_LOCUS12643	Arabidopsis thaliana (Mouse-ear cress)	599		
A0A5S9YIH5	unreviewed	A0A5S9YIH5_ARATH	Zeaxanthin epoxidase, chloroplastic (EC 1.14.15.21)	AN1_LOCUS27040 C24_LOCUS26868	Arabidopsis thaliana (Mouse-ear cress)	668		
A0A7G2EI55	unreviewed	A0A7G2EI55_ARATH	9-cis-epoxycarotenoid dioxygenase (EC 1.13.11.51)	AT9943_LOCUS11025	Arabidopsis thaliana (Mouse-ear cress)	599		
A0A7G2FQ88	unreviewed	A0A7G2FQ88_ARATH	Zeaxanthin epoxidase, chloroplastic (EC 1.14.15.21)	AT9943_LOCUS23288	Arabidopsis thaliana (Mouse-ear cress)	1587		
