TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2205190	AT1G08090	protein_coding	High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake.	ACH1;ATNRT2.1;ATNRT2:1;LATERAL ROOT INITIATION 1;LIN1;NITRATE TRANSPORTER 2;NITRATE TRANSPORTER 2.1;NITRATE TRANSPORTER 2:1;NRT2;NRT2.1;NRT2:1;NRT2;1AT;nitrate transporter 2:1	lateral root development;nitrate transmembrane transport;response to nitrate;cellular response to nitrate;nitrate transmembrane transport;plasma membrane;membrane;plasma membrane;nitrate transmembrane transporter activity;guard cell;root;shoot system,
Locus:2010391	AT1G12940	protein_coding	member of High affinity nitrate transporter family	ATNRT2.5;NRT2.5;nitrate transporter2.5	biological_process;cytoplasm;nitrate transmembrane transporter activity;guard cell;inflorescence meristem;stem,
Locus:2205195	AT1G08100	protein_coding	Encodes a high-affinity nitrate transporter.	ATNRT2.2;NITRATE TRANSPORTER 2.2;NRT2.2;NRT2;2AT	lateral root development;nitrate transmembrane transport;cellular response to nitrate;nitrate transmembrane transport;plasma membrane;plasma membrane;nitrate transmembrane transporter activity,
Locus:2119058	AT4G21680	protein_coding	Encodes a nitrate transporter (NRT1.8).  Functions in nitrate removal from the xylem sap. Mediates cadmium tolerance.	ATNPF7.2;NITRATE TRANSPORTER 1.8;NPF7.2;NRT1.8;NRT1/ PTR FAMILY 7.2	response to cadmium ion;response to nitrate;transmembrane transport;membrane;nucleus;plasma membrane;nitrate transmembrane transporter activity;transmembrane transporter activity;LP.04 four leaves visible stage;flowering stage;petal differentiation and expansion stage;cotyledon;flower;guard cell;hypocotyl;parenchyma;pollen;root;shoot apex;vascular leaf;xylem,
Locus:2035005	AT1G18880	protein_coding	Encodes a low-af&#64257;nity plasma membrane nitrate transporter expressed in the companion cells of root phloem.	ATNPF2.9;GTR3;NPF2.9;NRT1.9;NRT1/ PTR FAMILY 2.9;nitrate transporter 1.9	phloem nitrate loading;phloem transport;glucosinolate transport;transmembrane transport;plasma membrane;plasma membrane;nitrate transmembrane transporter activity;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;companion cell;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;root vascular system,
Locus:2157737	AT5G50200	protein_coding	Wound-responsive gene 3 (WR3).  Encodes a high-affinity nitrate transporter. Up-regulated by nitrate. Involved in jasmonic acid-independent wound signal transduction.	ATNRT3.1;NITRATE TRANSPORTER 3.1;NRT3.1;WOUND-RESPONSIVE 3;WR3	nitrate transmembrane transport;response to nitrate;response to wounding;response to nitrate;plasma membrane;nitrate transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2093442	AT3G16180	protein_coding	Encodes a low affinity nitrate transporter that is expressed in the plasma membrane and found in the phloem of the major veins of leaves.  It is responsible for nitrate redistribution to young leaves.	NITRATE TRANSPORTER 1.12;NRT1.12	nitrate transmembrane transport;transmembrane transport;plasma membrane;low-affinity nitrate transmembrane transporter activity;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;phloem;plant embryo;pollen;primary leaf vein;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2196800	AT1G69870	protein_coding	Encodes a low affinity nitrate transporter NRT1.7.  Expressed in phloem.  Responsible for source-to-sink remobilization of nitrate. The mRNA is cell-to-cell mobile.	ATNPF2.13;NITRATE TRANSPORTER 1.7;NPF2.13;NRT1.7;NRT1/ PTR FAMILY 2.13	nitrate transmembrane transport;transmembrane transport;plasma membrane;chloroplast;plasma membrane;low-affinity nitrate transmembrane transporter activity;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;phloem;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,
Locus:2037452	AT1G52190	protein_coding	Encodes a low affinity nitrate transporter that is expressed in the plasma membrane and found in the phloem of the major veins of leaves.  It is responsible for nitrate redistribution to young leaves.	ATNPF1.2;NITRATE TRANSPORTER 1.11;NPF1.2;NRT1.11;NRT1/ PTR FAMILY 1.2	nitrate transmembrane transport;transmembrane transport;plasma membrane;nucleus;low-affinity nitrate transmembrane transporter activity;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;phloem;plant embryo;pollen;primary leaf vein;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2033776	AT1G32450	protein_coding	Transmembrane nitrate transporter. Involved in xylem transport of nitrate from root to shoot. Induced in response to high and low concentrations of nitrate. Not involved in nitrate uptake. Expressed in root pericycle cells under the control of MYB59. Also functions as a proton-coupled H+/K+ antiporter for K+ loading into the xylem.	ATNPF7.3;NITRATE TRANSPORTER 1.5;NPF7.3;NRT1.5;NRT1/ PTR FAMILY 7.3	leaf senescence;nitrate transmembrane transport;potassium ion homeostasis;proton transmembrane transport;response to nitrate;transmembrane transport;nitrate assimilation;membrane;nucleus;plasma membrane;nitrate transmembrane transporter activity;potassium:proton antiporter activity;transmembrane transporter activity;LP.04 four leaves visible stage;LP.06 six leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;pericycle;petal;pollen;root;rosette leaf;sepal;shoot system;stamen;stem;vascular leaf;shoot system,
