Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
Q38874	reviewed	STM_ARATH	Homeobox protein SHOOT MERISTEMLESS	STM At1g62360 F2401.9	Arabidopsis thaliana (Mouse-ear cress)	382		AT1G62360;
Q5BPS0	reviewed	LOG2_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG2 (EC 3.2.2.n1) (Protein LONELY GUY 2)	LOG2 At2g35990 F11F19.10	Arabidopsis thaliana (Mouse-ear cress)	213		AT2G35990;
Q67YG7	reviewed	SOFL1_ARATH	Protein SOB FIVE-LIKE 1 (AtSOFL1)	SOFL1 At1g26210 F28B23.12	Arabidopsis thaliana (Mouse-ear cress)	148		AT1G26210;
Q84MC2	reviewed	LOG8_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG8 (EC 3.2.2.n1) (LOG family protein At5g11950) (Protein LONELY GUY 8)	LOG8 At5g11950 F14F18.120	Arabidopsis thaliana (Mouse-ear cress)	216		AT5G11950;
Q93WC9	reviewed	IPT3_ARATH	Adenylate isopentenyltransferase 3, chloroplastic (AtIPT3) (EC 2.5.1.112) (Adenylate dimethylallyltransferase 3) (Cytokinin synthase 3)	IPT3 At3g63110 T20O10.210	Arabidopsis thaliana (Mouse-ear cress)	336		AT3G63110;
Q94ID1	reviewed	IPT7_ARATH	Adenylate isopentenyltransferase 7, mitochondrial (AtIPT7) (EC 2.5.1.112) (Adenylate dimethylallyltransferase 7) (Cytokinin synthase 7)	IPT7 At3g23630 MDB19.12	Arabidopsis thaliana (Mouse-ear cress)	329		AT3G23630;
Q94ID2	reviewed	IPT5_ARATH	Adenylate isopentenyltransferase 5, chloroplastic (AtIPT5) (EC 2.5.1.112) (Adenylate dimethylallyltransferase 5) (Cytokinin synthase 5)	IPT5 At5g19040 T16G12.80	Arabidopsis thaliana (Mouse-ear cress)	330		AT5G19040;
Q94ID3	reviewed	IPT1_ARATH	Adenylate isopentenyltransferase 1, chloroplastic (AtIPT1) (EC 2.5.1.112) (EC 2.5.1.27) (Adenylate dimethylallyltransferase 1) (Cytokinin synthase 1)	IPT1 At1g68460 T26J14.3	Arabidopsis thaliana (Mouse-ear cress)	357		AT1G68460;
Q9CA45	reviewed	SOFL2_ARATH	Protein SOB FIVE-LIKE 2 (AtSOFL2)	SOFL2 At1g68870 F14K14.2	Arabidopsis thaliana (Mouse-ear cress)	147		AT1G68870;
Q9LEZ1	reviewed	SOB5_ARATH	Protein SUPPRESSOR OF PHYTOCHROME B 5 (AtSOB5)	SOB5 At5g08150 T22D6.90	Arabidopsis thaliana (Mouse-ear cress)	144		AT5G08150;
Q9SB60	reviewed	IPT4_ARATH	Adenylate isopentenyltransferase 4 (AtIPT4) (EC 2.5.1.112) (Adenylate dimethylallyltransferase 4) (Cytokinin synthase 4)	IPT4 At4g24650 F22K18.150	Arabidopsis thaliana (Mouse-ear cress)	318		AT4G24650;
Q9ZUX7	reviewed	IPT2_ARATH	tRNA dimethylallyltransferase 2 (EC 2.5.1.75) (Isopentenyl-diphosphate: tRNA isopentenyltransferase 2) (AtIPT2) (IPP transferase 2) (IPPT 2)	IPT2 At2g27760 F15K20	Arabidopsis thaliana (Mouse-ear cress)	466		AT2G27760;
Q8GW29	reviewed	LOG7_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG7 (EC 3.2.2.n1) (Protein LONELY GUY 7)	LOG7 At5g06300 MHF15.18	Arabidopsis thaliana (Mouse-ear cress)	217		AT5G06300;
Q8L8B8	reviewed	LOG3_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG3 (EC 3.2.2.n1) (Protein LONELY GUY 3)	LOG3 At2g37210 T2N18.3	Arabidopsis thaliana (Mouse-ear cress)	215		AT2G37210;
Q8LBB7	reviewed	LOG5_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG5 (EC 3.2.2.n1) (Protein LONELY GUY 5)	LOG5 At4g35190 T12J5.60	Arabidopsis thaliana (Mouse-ear cress)	228		AT4G35190;
Q8RUN2	reviewed	LOG1_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG1 (EC 3.2.2.n1) (Protein LONELY GUY 1)	LOG1 At2g28305 T1B3.18 T3B23.2	Arabidopsis thaliana (Mouse-ear cress)	213		AT2G28305;
Q9C5J6	reviewed	IPT9_ARATH	tRNA dimethylallyltransferase 9 (EC 2.5.1.75) (Isopentenyl-diphosphate: tRNA isopentenyltransferase 9) (AtIPT9) (IPP transferase 9) (IPPT 9)	IPT9 At5g20040 F28I16.190	Arabidopsis thaliana (Mouse-ear cress)	463		AT5G20040;
Q9FF18	reviewed	C7351_ARATH	Cytokinin hydroxylase (EC 1.14.13.-) (Cytochrome P450 35A1)	CYP735A1 At5g38450 MXI10.18	Arabidopsis thaliana (Mouse-ear cress)	518		AT5G38450;
Q9LFH3	reviewed	LOG4_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG4 (EC 3.2.2.n1) (Protein LONELY GUY 4)	LOG4 At3g53450 F4P12.150	Arabidopsis thaliana (Mouse-ear cress)	215		AT3G53450;
Q9LJL4	reviewed	IPT8_ARATH	Adenylate isopentenyltransferase 8, chloroplastic (AtIPT8) (EC 2.5.1.112) (Adenylate dimethylallyltransferase 8) (Cytokinin synthase 8) (Plant growth activator 22)	IPT8 PGA22 At3g19160 MVI11.16	Arabidopsis thaliana (Mouse-ear cress)	330	PGA22	AT3G19160;
Q9ZW95	reviewed	C7352_ARATH	Cytokinin hydroxylase (EC 1.14.13.-) (Cytochrome P450 35A2)	CYP735A2 At1g67110 F5A8.3	Arabidopsis thaliana (Mouse-ear cress)	512		AT1G67110;
A0A1P8B221	unreviewed	A0A1P8B221_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	LOG1 ATLOG1 LONELY GUY 1 At2g28305 T1B3.18	Arabidopsis thaliana (Mouse-ear cress)	156	ATLOG1 LONELY GUY 1	AT2G28305;
A0A7G2EF02	unreviewed	A0A7G2EF02_ARATH	CASP-like protein	AT9943_LOCUS8727	Arabidopsis thaliana (Mouse-ear cress)	414		
B6IDH8	reviewed	SOFL6_ARATH	Protein SOB FIVE-LIKE 6 (AtSOFL6)	SOFL6 At1g58460 F9K23.1	Arabidopsis thaliana (Mouse-ear cress)	177		AT1G58460;
F4IQ18	unreviewed	F4IQ18_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	LOG3 LONELY GUY 3 At2g37210 T2N18.3 T2N18_3	Arabidopsis thaliana (Mouse-ear cress)	239	LONELY GUY 3	AT2G37210;
F4J6N7	reviewed	SOFL3_ARATH	Protein SOB FIVE-LIKE 3 (AtSOFL3)	SOFL3 At3g30580 MQP15.8	Arabidopsis thaliana (Mouse-ear cress)	128		AT3G30580;
Q8L9K4	reviewed	SOFL5_ARATH	Protein SOB FIVE-LIKE 5 (AtSOFL5)	SOFL5 At4g33800 T16L1.290	Arabidopsis thaliana (Mouse-ear cress)	170		AT4G33800;
Q9C6L1	reviewed	IPT6_ARATH	Adenylate isopentenyltransferase 6, chloroplastic (AtIPT6) (EC 2.5.1.112) (Adenylate dimethylallyltransferase 6) (Cytokinin synthase 6)	IPT6 At1g25410 F2J7.12	Arabidopsis thaliana (Mouse-ear cress)	342		AT1G25410;
Q9LYV8	reviewed	LOG6_ARATH	Probable cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG6 (EC 3.2.2.n1) (Protein LONELY GUY 6)	LOG6 At5g03270 F15A17.300	Arabidopsis thaliana (Mouse-ear cress)	201		AT5G03270;
A0A178U944	unreviewed	A0A178U944_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	AXX17_At5g05840	Arabidopsis thaliana (Mouse-ear cress)	124		
A0A178UJ26	unreviewed	A0A178UJ26_ARATH	tRNA dimethylallyltransferase (EC 2.5.1.75)	AXX17_At5g19990	Arabidopsis thaliana (Mouse-ear cress)	463		
A0A178UJ28	unreviewed	A0A178UJ28_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	AXX17_At5g11670 AN1_LOCUS21993	Arabidopsis thaliana (Mouse-ear cress)	216		
A0A178UQW2	unreviewed	A0A178UQW2_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	AXX17_At5g02480 AN1_LOCUS21120 C24_LOCUS21017	Arabidopsis thaliana (Mouse-ear cress)	201		
A0A178UWQ5	unreviewed	A0A178UWQ5_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	AXX17_At4g40220 AN1_LOCUS20360 AT9943_LOCUS17562 C24_LOCUS20255	Arabidopsis thaliana (Mouse-ear cress)	228		
A0A178V9S8	unreviewed	A0A178V9S8_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	AXX17_At3g47840 AT9943_LOCUS13519 C24_LOCUS15600	Arabidopsis thaliana (Mouse-ear cress)	215		
A0A178VPA3	unreviewed	A0A178VPA3_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	AXX17_At2g32650	Arabidopsis thaliana (Mouse-ear cress)	120		
A0A178VS96	unreviewed	A0A178VS96_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	AXX17_At2g24320 AN1_LOCUS9228 AT9943_LOCUS7909 C24_LOCUS9078	Arabidopsis thaliana (Mouse-ear cress)	213		
A0A178VTW6	unreviewed	A0A178VTW6_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	AXX17_At2g24320	Arabidopsis thaliana (Mouse-ear cress)	121		
A0A178VUC5	unreviewed	A0A178VUC5_ARATH	tRNA dimethylallyltransferase (EC 2.5.1.75)	AXX17_At2g23740	Arabidopsis thaliana (Mouse-ear cress)	466		
A0A178VZF1	unreviewed	A0A178VZF1_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	AXX17_At2g34010	Arabidopsis thaliana (Mouse-ear cress)	191		
A0A178W1Y0	unreviewed	A0A178W1Y0_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	AXX17_At2g34010 AN1_LOCUS10180 C24_LOCUS10026	Arabidopsis thaliana (Mouse-ear cress)	215		
A0A1P8B218	unreviewed	A0A1P8B218_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	LOG1 ATLOG1 LONELY GUY 1 At2g28305 T1B3.18	Arabidopsis thaliana (Mouse-ear cress)	193	ATLOG1 LONELY GUY 1	AT2G28305;
A0A1P8B6D1	unreviewed	A0A1P8B6D1_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	LOG5 LONELY GUY 5 At4g35190 T12J5.60 T12J5_60	Arabidopsis thaliana (Mouse-ear cress)	199	LONELY GUY 5	AT4G35190;
A0A1P8BDD2	unreviewed	A0A1P8BDD2_ARATH	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	LOG6 LONELY GUY 6 At5g03270 F15A17.300 F15A17_300	Arabidopsis thaliana (Mouse-ear cress)	197	LONELY GUY 6	AT5G03270;
