Tribe...1,Tribe...2,cluster,profile length,Gene ID,function,SP ?,SSP,species,iso,tair
1,f1,c192,43,tair10_AT1G09360.1,pectin methylesterase inhibitor,N,NA,tair10,1,AT1G09360
1,f1,c192,43,tair10_AT1G09370.1,pectin methylesterase inhibitor,N,NA,tair10,1,AT1G09370
1,f1,c117,43,tair10_AT1G10770.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT1G10770
1,f1,c117,43,tair10_AT1G23350.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT1G23350
1,f1,c53,41,tair10_AT1G48020.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT1G48020
1,f1,c53,41,tair10_AT1G54620.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT1G54620
1,f1,c192,43,tair10_AT1G55770.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT1G55770
1,f1,c117,43,tair10_AT1G60760.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT1G60760
1,f1,c117,43,tair10_AT1G70540.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT1G70540
1,f1,c1435,46,tair10_AT2G31425.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT2G31425
1,f1,c1435,46,tair10_AT2G31430.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT2G31430
1,f1,c192,43,tair10_AT3G17130.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT3G17130
1,f1,c53,41,tair10_AT3G17140.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT3G17140
1,f1,c53,41,tair10_AT3G17150.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT3G17150
1,f1,c53,41,tair10_AT3G17152.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT3G17152
1,f1,c53,41,tair10_AT3G17220.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT3G17220
1,f1,c3523,47,tair10_AT3G49330.1,pectin methylesterase inhibitor,N,NA,tair10,1,AT3G49330
1,f1,c1435,46,tair10_AT3G55680.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT3G55680
