TAIR Accession,Locus,Gene Type,Description,Other Name(Type),manual_classification,Keywords
Locus:2005491,AT4G02980,protein_coding,Auxin binding protein involved in cell elongation and cell division. ABP1 is ubiquitinated in vitro and in planta by AtRma2. ABP1 was thought to be embryo lethal but further experimentation has demonstrated that lethality is due to a linked mutation in another gene.,ABP;ABP1;ENDOPLASMIC RETICULUM AUXIN BINDING PROTEIN 1,ABP,"cytokinesis by cell plate formation;positive regulation of DNA endoreduplication;positive regulation of cell division;positive regulation of cell size;unidimensional cell growth;cytokinesis by cell plate formation;positive regulation of DNA endoreduplication;positive regulation of cell division;positive regulation of cell size;regulation of auxin mediated signaling pathway;signal transduction;unidimensional cell growth;auxin-activated signaling pathway;embryo development ending in seed dormancy;chloroplast;auxin binding;protein binding;zinc ion binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2077036,AT3G22530,protein_coding,heat shock protein;(source:Araport11),ACD22.1,ACD,"plant-type vacuole;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2173388,AT5G64310,protein_coding,Encodes arabinogalactan-protein (AGP1). The mRNA is cell-to-cell mobile.,AGP1;ARABINOGALACTAN PROTEIN 1;ATAGP1,AGP,"membrane;plasma membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2092880,AT3G13520,protein_coding,Encodes a GPI-anchored arabinogalactan (AG) peptide with a short 'classical' backbone of 10 amino acids; seven of which are conserved among the 4 other Arabidopsis AG peptides.  These peptides may be involved in cell signaling.,AGP12;ARABINOGALACTAN PROTEIN 12;ATAGP12,AGP,"membrane;plasma membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2167126,AT5G56540,protein_coding,Encodes arabinogalactan protein (AGP14). Mutants exhibit longer root hairs. The mRNA is cell-to-cell mobile.,AGP14;ARABINOGALACTAN PROTEIN 14;ATAGP14,AGP,"root hair elongation;membrane;plasma membrane;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;vascular leaf;cell-to-cell mobile RNA,"
Locus:2181960,AT5G11740,protein_coding,Encodes arabinogalactan protein (AGP15). The mRNA is cell-to-cell mobile.,AGP15;ARABINOGALACTAN PROTEIN 15;ATAGP15,AGP,"membrane;plasma membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2039079,AT2G46330,protein_coding,Encodes arabinogalactan protein (AGP16).,AGP16;ARABINOGALACTAN PROTEIN 16;ATAGP16,AGP,"membrane;plasma membrane;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2045309,AT2G23130,protein_coding,"AGP17 is a lysine-rich arabinogalactan-protein (AGP) and part of a multi-gene family of glycoproteins with approx. 50 members. It falls into one subclass with AGP18 and AGP19; other lysine-rich AGPs. 84% of its proline residues are hydroxylated to hydroproline and its heavy glycosylation accounts for appr. 69% of the molecular weight. The main glycosyl residues are arabinose (30.1%) and galactose (55.1%). Glycosyl linkages are consistent with type II arabinogalactans. AGP17 is predicted to have a glycosylphosphatidylinositol (GPI)anchor and is localized to the plasma membrane and Hechtian strands. It is expressed in young/old leaves, shoots, suspension cultures and flowers.",AGP17;ARABINOGALACTAN PROTEIN 17;ATAGP17,AGP,"rhamnogalacturonan II biosynthetic process;membrane;plasma membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;seedling development stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;leaf apex;leaf lamina base;petal;petiole;root;rosette leaf;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;whole plant,"
Locus:2041223,AT2G22470,protein_coding,Encodes arabinogalactan-protein (AGP2).,AGP2;ARABINOGALACTAN PROTEIN 2;ATAGP2,AGP,"cytoplasm;membrane;plasma membrane;molecular_function;flowering stage;petal differentiation and expansion stage;guard cell;hypocotyl;pollen;pollen tube cell;root;sepal;stamen;stem;vascular leaf,"
Locus:2076730,AT3G61640,protein_coding,arabinogalactan protein 20;(source:Araport11),AGP20;ARABINOGALACTAN PROTEIN 20;Arabinogalactan protein 20;AtAGP20,AGP,"membrane;plasma membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
