Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
F4JFU8	reviewed	OBL1_ARATH	Triacylglycerol lipase OBL1 (EC 3.1.1.-) (Oil body lipase 1) (AtOBL1)	OBL1 At3g14360	Arabidopsis thaliana (Mouse-ear cress)	518		AT3G14360;
O22788	reviewed	PXG3_ARATH	Probable peroxygenase 3 (AtPXG3) (EC 1.11.2.3) (Caleosin-3) (Protein RESPONSIVE TO DESICCATION 20)	PXG3 CLO3 RD20 At2g33380 F4P9.15	Arabidopsis thaliana (Mouse-ear cress)	236	CLO3 RD20	AT2G33380;
O81270	reviewed	PXG1_ARATH	Peroxygenase 1 (AtPXG1) (EC 1.11.2.3) (Caleosin-1) (Embryo-specific protein 1 (ATS1))	PXG1 ATS1 CLO1 At4g26740 F10M23.80	Arabidopsis thaliana (Mouse-ear cress)	245	ATS1 CLO1	AT4G26740;
P0DKC5	reviewed	HSD1A_ARATH	11-beta-hydroxysteroid dehydrogenase 1A (EC 1.1.1.146) (17-beta-hydroxysteroid dehydrogenase 1A) (EC 1.1.1.-) (Hydroxysteroid dehydrogenase 1) (AtHSD1)	HSD1 At5g50600 MBA10.16	Arabidopsis thaliana (Mouse-ear cress)	349		AT5G50600;
P38605	reviewed	CAS1_ARATH	Cycloartenol synthase (AtCYC) (EC 5.4.99.8) (2,3-epoxysqualene--cycloartenol cyclase)	CAS1 CYC At2g07050 T4E14.16	Arabidopsis thaliana (Mouse-ear cress)	759	CYC	AT2G07050;
P54609	reviewed	CD48A_ARATH	Cell division control protein 48 homolog A (AtCDC48a)	CDC48A CDC48 At3g09840 F8A24.11	Arabidopsis thaliana (Mouse-ear cress)	809	CDC48	AT3G09840;
Q9ASU1	reviewed	DGAT2_ARATH	Diacylglycerol O-acyltransferase 2 (AtDGAT2) (EC 2.3.1.20)	DGAT2 At3g51520 F26O13.160	Arabidopsis thaliana (Mouse-ear cress)	314		AT3G51520;
Q9C5M3	reviewed	LUP1_ARATH	Lupeol synthase 1 (AtLUP1) (EC 5.4.99.41) ((S)-2,3-epoxysqualene synthase) (EC 4.2.1.128) (Beta-amyrin synthase) (EC 5.4.99.39) (Germanicol synthase) (EC 5.4.99.34) (Lupan-3-beta,20-diol synthase)	LUP1 At1g78970 YUP8H12R.28 YUP8H12R.42	Arabidopsis thaliana (Mouse-ear cress)	757		AT1G78970;
Q9CAB7	reviewed	PXG4_ARATH	Probable peroxygenase 4 (AtPXG4) (EC 1.11.2.3) (Caleosin-4)	PXG4 CLO4 At1g70670 F5A18.15	Arabidopsis thaliana (Mouse-ear cress)	195	CLO4	AT1G70670;
Q9FI37	reviewed	PEN4_ARATH	Thalianol synthase 1 (AtTHAS1) (EC 5.4.99.31) (Oxidosqualene cyclase) (Pentacyclic triterpene synthase 4) (AtPEN4)	THAS1 OSC PEN4 At5g48010 MDN11.9	Arabidopsis thaliana (Mouse-ear cress)	766	OSC PEN4	AT5G48010;
Q9FLN9	reviewed	PXG2_ARATH	Peroxygenase 2 (AtPXG2) (EC 1.11.2.3) (Caleosin-2) (Embryo-specific protein 2) (Putative embryo-specific protein 1 (ATS2))	PXG2 ATS2 CLO2 At5g55240 MCO15.19	Arabidopsis thaliana (Mouse-ear cress)	243	ATS2 CLO2	AT5G55240;
Q9LY09	reviewed	GRP17_ARATH	Tapetal oleosin GRP-17 (T-oleosin GRP-17) (Glycine rich protein 17) (AtGRP-17) (Glycine rich protein 7) (AtGRP-7) (Oleopollenin GRP-17)	GRP17 GRP7 At5g07530 T2I1.240	Arabidopsis thaliana (Mouse-ear cress)	543	GRP7	AT5G07530;
Q9LZA6	reviewed	SDP1_ARATH	Triacylglycerol lipase SDP1 (EC 3.1.1.3) (Protein SUGAR-DEPENDENT 1)	SDP1 At5g04040 F8F6.10 F8F6_250	Arabidopsis thaliana (Mouse-ear cress)	825		AT5G04040;
Q9MA46	reviewed	PLA12_ARATH	Galactolipase DONGLE, chloroplastic (EC 3.1.1.26) (EC 3.1.1.32) (Phospholipase A1 DONGLE) (Phospholipase A1-Ialpha1)	DGL At1g05800 T20M3.6	Arabidopsis thaliana (Mouse-ear cress)	471		AT1G05800;
Q9SGH6	reviewed	DOX1_ARATH	Alpha-dioxygenase 1 (Alpha DOX1) (EC 1.13.11.92) (Fatty acid dioxygenase AlphaDOX1) (Pathogen-induced oxygenase) (Plant alpha dioxygenase 1)	DOX1 DIOX1 PADOX-1 PIOX At3g01420 T13O15.6	Arabidopsis thaliana (Mouse-ear cress)	639	DIOX1 PADOX-1 PIOX	AT3G01420;
Q9SLD2	reviewed	DGAT1_ARATH	Diacylglycerol O-acyltransferase 1 (AtDGAT1) (EC 2.3.1.20) (Protein TRIACYLGLYCEROL 1)	DGAT1 ABX45 DAGAT TAG1 At2g19450 F3P11.5	Arabidopsis thaliana (Mouse-ear cress)	520	ABX45 DAGAT TAG1	AT2G19450;
P0DKC6	reviewed	HSD1B_ARATH	11-beta-hydroxysteroid dehydrogenase 1B (EC 1.1.1.146) (17-beta-hydroxysteroid dehydrogenase 1B) (EC 1.1.1.-) (Hydroxysteroid dehydrogenase 1) (AtHSD1)	HSD1 At5g50700 MFB16.9	Arabidopsis thaliana (Mouse-ear cress)	349		AT5G50700;
P29525	reviewed	OLEO1_ARATH	Oleosin 18.5 kDa	At4g25140 F13M23.280	Arabidopsis thaliana (Mouse-ear cress)	173		AT4G25140;
Q1G1A4	reviewed	LAS1_ARATH	Lanosterol synthase (EC 5.4.99.7)	LAS1 LSS At3g45130 T14D3.70	Arabidopsis thaliana (Mouse-ear cress)	756	LSS	AT3G45130;
Q39165	reviewed	OLEO2_ARATH	Oleosin 21.2 kDa (Oleosin type 2)	At5g40420 MPO12.17	Arabidopsis thaliana (Mouse-ear cress)	199		AT5G40420;
Q42574	reviewed	GRP19_ARATH	Tapetal oleosin GRP-19 (T-oleosin GRP-19) (Glycine-rich protein 19) (AtGRP19) (Oleopollenin GRP-19) (Putative glycine-rich protein 1) (PutG-1)	GRP19 PUTG1 At5g07550 T2I1.260	Arabidopsis thaliana (Mouse-ear cress)	106	PUTG1	AT5G07550;
Q8RWT0	reviewed	LUP2_ARATH	Amyrin synthase LUP2 (EC 5.4.99.39) (EC 5.4.99.40) (EC 5.4.99.41) (Alpha-amyrin synthase) (Beta-amyrin synthase) (Lupeol synthase 2) (AtLUP2)	LUP2 At1g78960 YUP8H12R.43	Arabidopsis thaliana (Mouse-ear cress)	763		AT1G78960;
Q9CAB8	reviewed	PXG5_ARATH	Probable peroxygenase 5 (AtPXG5) (EC 1.11.2.3) (Caleosin-5)	PXG5 CLO4 CLO5 At1g70680 F5A18.14	Arabidopsis thaliana (Mouse-ear cress)	192	CLO4 CLO5	AT1G70680;
Q9FR95	reviewed	PEN1_ARATH	Arabidiol synthase (EC 4.2.1.124) (Pentacyclic triterpene synthase 1) (AtPEN1)	PEN1 04C11 At4g15340 dl3715c FCAALL.158	Arabidopsis thaliana (Mouse-ear cress)	766	04C11	AT4G15340;
Q9LY08	reviewed	GRP16_ARATH	Tapetal oleosin GRP-16 (T-oleosin GRP-16) (Glycine-rich protein 16) (AtGRP-16) (Glycine-rich protein 6) (AtGRP-6) (Oleopollenin GRP-16)	GRP16 GRP6 At5g07540 T2I1.250	Arabidopsis thaliana (Mouse-ear cress)	244	GRP6	AT5G07540;
Q9M1I6	reviewed	SDP1L_ARATH	Triacylglycerol lipase SDP1L (EC 3.1.1.3) (Protein SDP1-LIKE)	SDP1L At3g57140 F24I3.220	Arabidopsis thaliana (Mouse-ear cress)	801		AT3G57140;
