Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
A7WM73	reviewed	HEXO1_ARATH	Beta-hexosaminidase 1 (EC 3.2.1.52) (Beta-GlcNAcase 1) (Beta-N-acetylhexosaminidase 1) (Beta-hexosaminidase 2) (AtHEX2) (N-acetyl-beta-glucosaminidase 1)	HEXO1 HEX2 At3g55260 T26I12.140	Arabidopsis thaliana (Mouse-ear cress)	541	HEX2	AT3G55260;
B3H4Y2	reviewed	STMP3_ARATH	Secreted transmembrane peptide 3 (Phytocytokine STMP3) (Precursor of secreted transmembrane peptide 3)	STMP3 At1g65484 F5I14	Arabidopsis thaliana (Mouse-ear cress)	80		AT1G65484;
F4ICX9	reviewed	TSA1_ARATH	TSK-associating protein 1	TSA1 At1g52410 F19K6.14	Arabidopsis thaliana (Mouse-ear cress)	759		AT1G52410;
F4JQZ3	reviewed	REN1_ARATH	Rho GTPase-activating protein REN1 (Protein ROP1 ENHANCER 1) (Rho-type GTPase-activating protein REN1)	REN1 At4g24580 F22K18.2200	Arabidopsis thaliana (Mouse-ear cress)	920		AT4G24580;
O04151	reviewed	CALR1_ARATH	Calreticulin-1	CRT1 At1g56340 F13N6.20 F14G9.5	Arabidopsis thaliana (Mouse-ear cress)	425		AT1G56340;
O22263	reviewed	PDI21_ARATH	Protein disulfide-isomerase like 2-1 (AtPDIL2-1) (EC 5.3.4.1) (P5) (Protein MATERNAL EFFECT EMBRYO ARREST 30) (Protein UNFERTILIZED EMBRYO SAC 5) (Protein disulfide isomerase 11) (AtPDI11) (Protein disulfide-isomerase A6) (Protein disulfide-isomerase like 4-1) (AtPDIL4-1)	PDIL2-1 MEE30 PDI11 PDIL4-1 UNE5 At2g47470 T30B22.23	Arabidopsis thaliana (Mouse-ear cress)	361	MEE30 PDI11 PDIL4-1 UNE5	AT2G47470;
O24496	reviewed	GLO2C_ARATH	Hydroxyacylglutathione hydrolase cytoplasmic (EC 3.1.2.6) (Glyoxalase II) (Glx II)	GLX2-2 GLY2 At3g10850 T7M13.7	Arabidopsis thaliana (Mouse-ear cress)	258	GLY2	AT3G10850;
O65351	reviewed	SBT17_ARATH	Subtilisin-like protease SBT1.7 (EC 3.4.21.-) (Cucumisin-like serine protease) (Subtilase subfamily 1 member 7) (AtSBT1.7) (Subtilisin-like serine protease 1) (At-SLP1)	SBT1.7 ARA12 ASP48 SLP1 At5g67360 K8K14.8	Arabidopsis thaliana (Mouse-ear cress)	757	ARA12 ASP48 SLP1	AT5G67360;
O65390	reviewed	APA1_ARATH	Aspartic proteinase A1 (EC 3.4.23.-)	APA1 PRA1 At1g11910 F12F1.24	Arabidopsis thaliana (Mouse-ear cress)	506	PRA1	AT1G11910;
O65398	reviewed	GLX1_ARATH	Lactoylglutathione lyase GLX1 (EC 4.4.1.5) (Glyoxalase I) (AtGLX1) (GlyI)	GLX1 At1g11840 F12F1.32	Arabidopsis thaliana (Mouse-ear cress)	283		AT1G11840;
O65660	reviewed	PLAT1_ARATH	PLAT domain-containing protein 1 (AtPLAT1) (PLAT domain protein 1)	PLAT1 At4g39730	Arabidopsis thaliana (Mouse-ear cress)	181		AT4G39730;
O81862	reviewed	CHIC_ARATH	Class V chitinase (AtChiC) (EC 3.2.1.14) (EC 3.2.1.200)	ChiC At4g19810 T16H5.170	Arabidopsis thaliana (Mouse-ear cress)	379		AT4G19810;
P19171	reviewed	CHIB_ARATH	Basic endochitinase B (EC 3.2.1.14) (Pathogenesis-related protein 3) (AtChiB) (PR-3)	CHI-B PR3 At3g12500 MQC3.32 T2E22.18 T2E22_119	Arabidopsis thaliana (Mouse-ear cress)	335	PR3	AT3G12500;
P24101	reviewed	PER33_ARATH	Peroxidase 33 (Atperox P33) (EC 1.11.1.7) (ATPCa) (Neutral peroxidase C) (PERC)	PER33 P33 PRXCA At3g49110 F2K15.4 T2J13.50	Arabidopsis thaliana (Mouse-ear cress)	354	P33 PRXCA	AT3G49110;
P24102	reviewed	PER22_ARATH	Peroxidase 22 (Atperox P22) (EC 1.11.1.7) (ATPEa) (Basic peroxidase E)	PER22 P22 PRXEA At2g38380 T19C21.13	Arabidopsis thaliana (Mouse-ear cress)	349	P22 PRXEA	AT2G38380;
P24806	reviewed	XTH24_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 24 (At-XTH24) (XTH-24) (EC 2.4.1.207) (Endo-xyloglucan transferase) (Meristem protein 5) (MERI-5 protein) (MERI5 protein) (Xyloglucan endo-1,4-beta-D-glucanase)	XTH24 MERI-5 MERI5B SEN4 At4g30270 F9N11.120	Arabidopsis thaliana (Mouse-ear cress)	269	MERI-5 MERI5B SEN4	AT4G30270;
P25853	reviewed	BAM5_ARATH	Beta-amylase 5 (AtBeta-Amy) (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Protein REDUCED BETA AMYLASE 1)	BAM5 BMY1 RAM1 At4g15210 dl3650c FCAALL.97	Arabidopsis thaliana (Mouse-ear cress)	498	BMY1 RAM1	AT4G15210;
P33157	reviewed	E13A_ARATH	Glucan endo-1,3-beta-glucosidase, acidic isoform (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase) ((1->3)-beta-glucanase) (Beta-1,3-endoglucanase) (Beta-1,3-glucanase 2) (AtBG2) (Pathogenesis-related protein 2) (PR-2)	BG2 At3g57260 F28O9.110	Arabidopsis thaliana (Mouse-ear cress)	339		AT3G57260;
P37702	reviewed	BGL38_ARATH	Myrosinase 1 (EC 3.2.1.147) (Beta-glucosidase 38) (AtBGLU38) (EC 3.2.1.21) (Sinigrinase 1) (Thioglucosidase 1)	TGG1 BGLU38 At5g26000 T1N24.7	Arabidopsis thaliana (Mouse-ear cress)	541	BGLU38	AT5G26000;
P43082	reviewed	HEVL_ARATH	Hevein-like preproprotein [Cleaved into: CB-HEL; CD-HEL (EC 3.1.-.-) (RNase)]	HEL At3g04720 F7O18.21	Arabidopsis thaliana (Mouse-ear cress)	212		AT3G04720;
P43297	reviewed	RD21A_ARATH	Cysteine proteinase RD21A (EC 3.4.22.-) (Protein RESPONSIVE TO DEHYDRATION 21) (RD21)	RD21A At1g47128 F2G19.31	Arabidopsis thaliana (Mouse-ear cress)	462		AT1G47128;
P51818	reviewed	HS903_ARATH	Heat shock protein 90-3 (AtHSP90.3) (AtHsp90-3) (HSP81.2) (Heat shock protein 81-3) (Hsp81-3) (Protein MUTANT SNC1-ENHANCING 10)	HSP90-3 HSP81-3 HSP81.2 MUSE10 At5g56010 MDA7.5	Arabidopsis thaliana (Mouse-ear cress)	699	HSP81-3 HSP81.2 MUSE10	AT5G56010;
Q38857	reviewed	XTH22_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 22 (At-XTH22) (XTH-22) (EC 2.4.1.207) (Touch protein 4)	XTH22 TCH4 At5g57560 MUA2.13	Arabidopsis thaliana (Mouse-ear cress)	284	TCH4	AT5G57560;
Q38858	reviewed	CALR2_ARATH	Calreticulin-2	CRT2 CRTL At1g09210 T12M4.8	Arabidopsis thaliana (Mouse-ear cress)	424	CRTL	AT1G09210;
Q39043	reviewed	BIP2_ARATH	Heat shock 70 kDa protein BIP2 (Heat shock 70 kDa protein 12) (Heat shock protein 70-12) (AtHsp70-12) (Luminal-binding protein 2) (AtBP2) (BiP2)	BIP2 BIP HSP70-12 MED37_6 MED37F At5g42020 MJC20.12	Arabidopsis thaliana (Mouse-ear cress)	668	BIP HSP70-12 MED37_6 MED37F	AT5G42020;
Q39176	reviewed	ERLI1_ARATH	Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1)	EARLI1 At4g12480 T1P17.70	Arabidopsis thaliana (Mouse-ear cress)	168		AT4G12480;
Q43387	reviewed	PER71_ARATH	Peroxidase 71 (Atperox P71) (EC 1.11.1.7) (ATP15a) (ATPO2)	PER71 P71 At5g64120 MHJ24.10	Arabidopsis thaliana (Mouse-ear cress)	328	P71	AT5G64120;
Q8GUN2	reviewed	HINT1_ARATH	Adenylylsulfatase HINT1 (EC 3.6.2.1) (HIS triad family protein 3) (Histidine triad nucleotide-binding protein 1)	HINT1 HIT3 At3g56490 5P19_140	Arabidopsis thaliana (Mouse-ear cress)	147	HIT3	AT3G56490;
Q8H1B3	reviewed	BIP3_ARATH	Heat shock 70 kDa protein BIP3 (BiP chaperone BIP-L) (Heat shock 70 kDa protein 13) (Heat shock protein 70-13) (AtHsp70-13) (Hsp70 protein BiP chaperone BIP-L) (Luminal-binding protein 3) (AtBP3) (BiP3)	BIP3 BIP-L HSP70-13 MED37_1 MED37B At1g09080 F7G19.5	Arabidopsis thaliana (Mouse-ear cress)	675	BIP-L HSP70-13 MED37_1 MED37B	AT1G09080;
Q8LDP4	reviewed	CP19D_ARATH	Peptidyl-prolyl cis-trans isomerase CYP19-4 (PPIase CYP19-4) (EC 5.2.1.8) (Cyclophilin of 19 kDa 4) (Cyclophilin-5) (Rotamase CYP19-4)	CYP19-4 CYP5 At2g29960 F23F1.12	Arabidopsis thaliana (Mouse-ear cress)	201	CYP5	AT2G29960;
Q8LG89	reviewed	BABL_ARATH	Basic blue protein (Plantacyanin)	ARPN At2g02850 T17M13.2	Arabidopsis thaliana (Mouse-ear cress)	129		AT2G02850;
Q8RUW5	reviewed	SCP8_ARATH	Serine carboxypeptidase-like 8 (Protein SINAPOYLGLUCOSE ACCUMULATOR 1) (Sinapoylglucose--malate O-sinapoyltransferase) (SMT) (EC 2.3.1.92) (Sinapoylglucose--sinapoylglucose O-sinapoyltransferase) (EC 2.3.1.103)	SCPL8 SMT SNG1 At2g22990 F21P24.5 T20K9.18	Arabidopsis thaliana (Mouse-ear cress)	433	SMT SNG1	AT2G22990;
Q8RX86	reviewed	AGAL2_ARATH	Alpha-galactosidase 2 (AtAGAL2) (EC 3.2.1.22) (Alpha-D-galactoside galactohydrolase 2) (Melibiase)	AGAL2 At5g08370 F8L15.100	Arabidopsis thaliana (Mouse-ear cress)	396		AT5G08370;
Q8RXD5	reviewed	KTI4_ARATH	Kunitz trypsin inhibitor 4 (AtKTI4) (Kunitz trypsin inhibitor 1) (AtKTI1) (Trypsin protease inhibitor)	KTI4 KTI1 TPI At1g73260 T18K17.7	Arabidopsis thaliana (Mouse-ear cress)	215	KTI1 TPI	AT1G73260;
Q8VX13	reviewed	PDI13_ARATH	Protein disulfide isomerase-like 1-3 (AtPDIL1-3) (EC 5.3.4.1) (Protein disulfide isomerase 1) (AtPDI1) (Protein disulfide isomerase-like 2-1) (AtPDIL2-1)	PDIL1-3 PDI1 PDI72 PDIL2-1 At3g54960 F28P10.60 T15C9.4	Arabidopsis thaliana (Mouse-ear cress)	579	PDI1 PDI72 PDIL2-1	AT3G54960;
Q8VXZ7	reviewed	AGAL3_ARATH	Alpha-galactosidase 3 (AtAGAL3) (EC 3.2.1.22) (Alpha-D-galactoside galactohydrolase 3) (Melibiase)	AGAL3 At3g56310 F18O21.270	Arabidopsis thaliana (Mouse-ear cress)	437		AT3G56310;
Q8W453	reviewed	DIRL1_ARATH	Putative lipid-transfer protein DIR1 (Protein DEFECTIVE IN INDUCED RESISTANCE 1)	DIR1 At5g48485 MJE7	Arabidopsis thaliana (Mouse-ear cress)	102		AT5G48485;
Q93Z75	reviewed	UPS5_ARATH	Ureide permease 5 (AtUPS5)	UPS5 At1g26440 T1K7.19	Arabidopsis thaliana (Mouse-ear cress)	413		AT1G26440;
Q949Y3	reviewed	PPA26_ARATH	Bifunctional purple acid phosphatase 26 [Includes: Acid phosphatase (EC 3.1.3.2); Peroxidase (EC 1.11.1.7)]	PAP26 At5g34850 T5E15.10	Arabidopsis thaliana (Mouse-ear cress)	475		AT5G34850;
Q94K85	reviewed	CATB3_ARATH	Cathepsin B-like protease 3 (EC 3.4.22.-) (Cathepsin B3) (AtCathB3)	CATHB3 At4g01610 T15B16.17a	Arabidopsis thaliana (Mouse-ear cress)	359		AT4G01610;
Q9C5C2	reviewed	BGL37_ARATH	Myrosinase 2 (EC 3.2.1.147) (Beta-glucosidase 37) (AtBGLU37) (Sinigrinase 2) (Thioglucosidase 2)	TGG2 BGLU37 At5g25980 T1N24.18	Arabidopsis thaliana (Mouse-ear cress)	547	BGLU37	AT5G25980;
Q9C5S2	reviewed	IRE1A_ARATH	Serine/threonine-protein kinase/endoribonuclease IRE1a (Endoplasmic reticulum-to-nucleus signaling 1-2) (Inositol-requiring protein 1-2) (AtIRE1-2) (Serine/threonine-protein kinase/endoribonuclease IRE1-2) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	IRE1A IRE1-2 At2g17520 MJB20.8	Arabidopsis thaliana (Mouse-ear cress)	841	IRE1-2	AT2G17520;
Q9C7F7	reviewed	LTPG1_ARATH	Non-specific lipid transfer protein GPI-anchored 1 (AtLTPG-1) (Protein LTP-GPI-ANCHORED 1)	LTPG1 LTPG At1g27950 F13K9.6	Arabidopsis thaliana (Mouse-ear cress)	193	LTPG	AT1G27950;
Q9FF55	reviewed	PDI14_ARATH	Protein disulfide isomerase-like 1-4 (AtPDIL1-4) (EC 5.3.4.1) (Protein disulfide isomerase 2) (AtPDI2) (Protein disulfide isomerase-like 2-2) (AtPDIL2-2)	PDIL1-4 PDI2 PDIL2-2 At5g60640 MUP24.6	Arabidopsis thaliana (Mouse-ear cress)	597	PDI2 PDIL2-2	AT5G60640;
Q9FF98	reviewed	ML3_ARATH	MD-2-related lipid-recognition protein 3	ML3 UQI3 At5g23820 MRO11.14	Arabidopsis thaliana (Mouse-ear cress)	164	UQI3	AT5G23820;
Q9FFR3	reviewed	6PGD3_ARATH	6-phosphogluconate dehydrogenase, decarboxylating 3, chloroplastic (EC 1.1.1.44)	PGD3 At5g41670 MBK23.20	Arabidopsis thaliana (Mouse-ear cress)	487		AT5G41670;
