Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
B9DFX7	reviewed	HMA8_ARATH	Copper-transporting ATPase PAA2, chloroplastic (EC 7.2.2.9) (Protein HEAVY METAL ATPASE 8)	PAA2 HMA8 At5g21930 F13M11 T6G21	Arabidopsis thaliana (Mouse-ear cress)	883	HMA8	AT5G21930;
F4IW47	reviewed	TKTC2_ARATH	Transketolase-2, chloroplastic (TK) (EC 2.2.1.1)	TKL-2 At2g45290 F4L23.20	Arabidopsis thaliana (Mouse-ear cress)	741		AT2G45290;
F4JGR5	reviewed	PFPB2_ARATH	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 2 (PFP 2) (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent 2) (PPi-PFK 2) (Protein MATERNAL EFFECT EMBRYO ARREST 51) (Pyrophosphate-dependent 6-phosphofructose-1-kinase 2)	PFP-BETA2 MEE51 At4g04040 T24H24.15	Arabidopsis thaliana (Mouse-ear cress)	569	MEE51	AT4G04040;
F4JHA2	reviewed	RSH1C_ARATH	Putative GTP diphosphokinase RSH1, chloroplastic (EC 2.7.6.5) (RelA/SpoT homolog 1) (AtRSH1) (ppGpp synthetase RSH1)	RSH1 At4g02260 T2H3.10	Arabidopsis thaliana (Mouse-ear cress)	884		AT4G02260;
O03042	reviewed	RBL_ARATH	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL AtCg00490	Arabidopsis thaliana (Mouse-ear cress)	479		ATCG00490;
O22609	reviewed	DEGP1_ARATH	Protease Do-like 1, chloroplastic (EC 3.4.21.-) (Protein DEGRADATION OF PERIPLASMIC PROTEINS 1) (DEGP PROTEASE 1)	DEGP1 DEG1 DEGP At3g27925 K16N12.18	Arabidopsis thaliana (Mouse-ear cress)	439	DEG1 DEGP	AT3G27925;
O22682	reviewed	CYSK4_ARATH	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent), chloroplastic (EC 2.5.1.144) (AtCS26) (Beta-substituted Ala synthase 5;1) (ARAth-Bsas5;1) (O-acetylserine sulfhydrylase)	CS26 At3g03630 T12J13.9	Arabidopsis thaliana (Mouse-ear cress)	404		AT3G03630;
O22914	reviewed	CP121_ARATH	Calvin cycle protein CP12-1, chloroplastic (CP12 domain-containing protein 1) (Chloroplast protein 12-1)	CP12-1 At2g47400 T8I13.24	Arabidopsis thaliana (Mouse-ear cress)	124		AT2G47400;
O23403	reviewed	PPD1_ARATH	PsbP domain-containing protein 1, chloroplastic (OEC23-like protein 3) (PsbP-related thylakoid lumenal protein 1)	PPD1 At4g15510 dl3795w FCAALL.88	Arabidopsis thaliana (Mouse-ear cress)	287		AT4G15510;
O23404	reviewed	PPDK1_ARATH	Pyruvate, phosphate dikinase 1, chloroplastic (EC 2.7.9.1) (Pyruvate, orthophosphate dikinase 1)	PPDK At4g15530 dl3805c FCAALL.325	Arabidopsis thaliana (Mouse-ear cress)	963		AT4G15530;
O48741	reviewed	PORC_ARATH	Protochlorophyllide reductase C, chloroplastic (PCR C) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase C) (POR C)	PORC At1g03630 F21B7.24 F21B7.35 F21B7_11	Arabidopsis thaliana (Mouse-ear cress)	401		AT1G03630;
O48782	reviewed	HMOX1_ARATH	Heme oxygenase 1, chloroplastic (AtHO1) (EC 1.14.14.18) (Protein GENOMES UNCOUPLED 2) (Protein REVERSAL OF THE DET PHENOTYPE 4)	HO1 GUN2 HY1 HY6 TED4 At2g26670 F18A8.4	Arabidopsis thaliana (Mouse-ear cress)	282	GUN2 HY1 HY6 TED4	AT2G26670;
O64750	reviewed	PSA2_ARATH	Protein PHOTOSYSTEM I ASSEMBLY 2, chloroplastic (AtPSA2) (Protein EMBRYO SAC DEVELOPMENT ARREST 3)	PSA2 EDA3 At2g34860 F19I3.9	Arabidopsis thaliana (Mouse-ear cress)	186	EDA3	AT2G34860;
O65502	reviewed	HC244_ARATH	Protein HIGH CHLOROPHYLL FLUORESCENCE PHENOTYPE 244, chloroplastic	HCF244 At4g35250 F23E12.190	Arabidopsis thaliana (Mouse-ear cress)	395		AT4G35250;
O80860	reviewed	FTSH2_ARATH	ATP-dependent zinc metalloprotease FTSH 2, chloroplastic (AtFTSH2) (EC 3.4.24.-) (Protein VARIEGATED 2)	FTSH2 VAR2 At2g30950 F7F1.16	Arabidopsis thaliana (Mouse-ear cress)	695	VAR2	AT2G30950;
O80952	reviewed	PGPS1_ARATH	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 1, chloroplastic/mitochondrial (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase 1) (PGP synthase 1) (Protein JOVTENKY)	PGPS1 JOV PGP1 PGS1 At2g39290 T16B24.7	Arabidopsis thaliana (Mouse-ear cress)	296	JOV PGP1 PGS1	AT2G39290;
