Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
F4HVS0	reviewed	BTSL2_ARATH	Zinc finger protein BRUTUS-like At1g74770	At1g74770 F25A4.26 F25A4.27	Arabidopsis thaliana (Mouse-ear cress)	1259		AT1G74770;
F4HXZ1	reviewed	BRO1_ARATH	Vacuolar-sorting protein BRO1 (BRO domain-containing protein 1) (AtBRO1)	BRO1 ALIX SPHR1 At1g15130 F9L1.7	Arabidopsis thaliana (Mouse-ear cress)	846	ALIX SPHR1	AT1G15130;
F4HZD1	reviewed	JMJ24_ARATH	E3 ubiquitin-protein ligase JMJ24 (EC 2.3.2.27) (Inactive histone demethylase JMJ24) (Jumonji domain-containing protein 24) (AtJMJ24) (Protein JUMONJI 24)	JMJ24 At1g09060 F7G19.7	Arabidopsis thaliana (Mouse-ear cress)	944		AT1G09060;
F4IDI6	reviewed	BRG2_ARATH	Probable BOI-related E3 ubiquitin-protein ligase 2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRG2)	BRG2 At1g79110 YUP8H12R.27	Arabidopsis thaliana (Mouse-ear cress)	358		AT1G79110;
F4IDY5	reviewed	BTSL1_ARATH	Zinc finger protein BRUTUS-like At1g18910	At1g18910 F14D16.3	Arabidopsis thaliana (Mouse-ear cress)	1254		AT1G18910;
F4IHY7	reviewed	PTA12_ARATH	Protein PLASTID TRANSCRIPTIONALLY ACTIVE 12, chloroplastic (pTAC12) (Plastid-encoded RNA polymerase-associated protein 5) (PEP-associated protein 5) (Protein HEMERA)	PTAC12 HMR PAP5 TAC12 At2g34640 T31E10.2	Arabidopsis thaliana (Mouse-ear cress)	527	HMR PAP5 TAC12	AT2G34640;
F4ITM1	reviewed	RGSL1_ARATH	E3 ubiquitin-protein ligase RSL1 (EC 2.3.2.31) (Protein RING FINGER OF SEED LONGEVITY 1) (RING-type E3 ubiquitin transferase RSL1)	RSL1 At2g26130 T19L18.6	Arabidopsis thaliana (Mouse-ear cress)	398		AT2G26130;
F4KAN2	unreviewed	F4KAN2_ARATH	Galactose oxidase/kelch repeat superfamily protein	ZTL ADAGIO 1 ADO1 FKF1-LIKE PROTEIN 2 FKL2 LKP1 LOV KELCH PROTEIN 1 MSF19.2 MSF19_2 ZEITLUPE At5g57360	Arabidopsis thaliana (Mouse-ear cress)	626	ADAGIO 1 ADO1 FKF1-LIKE PROTEIN 2 FKL2 LKP1 LOV KELCH PROTEIN 1 MSF19.2 MSF19_2 ZEITLUPE	AT5G57360;
F4KCC2	reviewed	PRT6_ARATH	E3 ubiquitin-protein ligase PRT6 (EC 2.3.2.27) (Protein GREENING AFTER EXTENDED DARKNESS 1) (Protein PROTEOLYSIS 6) (RING-type E3 ubiquitin transferase PRT6)	PRT6 CER3 GED1 At5g02310/At5g02300 T1E22.70/T1E22.60	Arabidopsis thaliana (Mouse-ear cress)	2006	CER3 GED1	AT5G02310;
O04019	reviewed	PS6AB_ARATH	26S proteasome regulatory subunit 6A homolog B (26S proteasome AAA-ATPase subunit RPT5b) (Proteasome 26S subunit 6A homolog B) (Regulatory particle triple-A ATPase subunit 5b) (Tat-binding protein 1 homolog B) (TBP-1 homolog B)	RPT5B TBP1 At1g09100 F7G19.2	Arabidopsis thaliana (Mouse-ear cress)	423	TBP1	AT1G09100;
