Tribe,Tribe,cluster,profile length,Gene ID,function,SP ?,SSP
1,f1,c53,41,maize_AC213432.2_FGP004,,,
1,f1,c117,43,maize_AC233850.1_FGP002,,,
1,f1,c117,43,maize_AC233850.1_FGP003,,,
1,f1,c53,41,maize_GRMZM2G035490_P01,,,
1,f1,c53,41,maize_GRMZM2G057220_P01,,,
1,f1,c192,43,maize_GRMZM2G096897_P01,,,
1,f1,c117,43,maize_GRMZM2G122230_P01,,,
1,f1,c53,41,maize_GRMZM2G133146_P01,,,
1,f1,c53,41,maize_GRMZM2G157825_P01,,,
1,f1,c53,41,maize_GRMZM2G162447_P01,,,
1,f1,c117,43,maize_GRMZM2G309944_P01,,,
1,f1,c117,43,maize_GRMZM2G323558_P01,,,
1,f1,c462,46,maize_GRMZM2G362828_P01,,,
1,f1,c117,43,maize_GRMZM2G380284_P01,,,
1,f1,c462,46,maize_GRMZM2G415470_P01,,,
1,f1,c117,43,maize_GRMZM2G416943_P01,,,
1,f1,c462,46,maize_GRMZM2G458200_P01,,,
1,f1,c117,43,maize_GRMZM2G462635_P01,,,
1,f1,c192,43,POPTR_0001s00960.1,,,
1,f1,c1435,46,POPTR_0002s19220.1,,,
1,f1,c53,41,POPTR_0003s08480.1,,,
1,f1,c192,43,POPTR_0004s01630.1,,,
1,f1,c192,43,POPTR_0005s00890.1,,,
1,f1,c53,41,POPTR_0005s02310.1,,,
1,f1,c192,43,POPTR_0006s13710.1,,,
1,f1,c192,43,POPTR_0008s01400.1,,,
1,f1,c53,41,POPTR_0008s10220.1,,,
1,f1,c53,41,POPTR_0009s08690.1,,,
1,f1,c53,41,POPTR_0010s07350.1,,,
1,f1,c53,41,POPTR_0010s21690.1,,,
1,f1,c53,41,POPTR_0014s04360.1,,,
1,f1,c192,43,POPTR_0016s00350.1,,,
1,f1,c117,43,RAP2_Os01t0253200-00,,,
1,f1,c192,43,RAP2_Os01t0311700-01,,,
1,f1,c53,41,RAP2_Os02t0103200-00,,,
1,f1,c117,43,RAP2_Os02t0534700-00,,,
1,f1,c117,43,RAP2_Os02t0537000-01,,,
1,f1,c117,43,RAP2_Os02t0537100-00,,,
1,f1,c53,41,RAP2_Os02t0689000-01,,,
1,f1,c53,41,RAP2_Os04t0587100-01,,,
1,f1,c53,41,RAP2_Os04t0587200-00,,,
1,f1,c117,43,RAP2_Os05t0149000-01,,,
1,f1,c117,43,RAP2_Os05t0283200-01,,,
1,f1,c192,43,RAP2_Os05t0360900-00,,,
1,f1,c462,46,RAP2_Os08t0141600-00,,,
1,f1,c671,49,RAP2_Os08t0141700-01,,,
1,f1,c671,49,RAP2_Os08t0141700-02,,,
1,f1,c671,49,RAP2_Os08t0142100-00,,,
1,f1,c671,49,RAP2_Os08t0142300-00,,,
1,f1,c462,46,RAP2_Os08t0142500-01,,,
1,f1,c462,46,RAP2_Os08t0142900-00,,,
1,f1,c53,41,RAP2_Os08t0338500-01,,,
1,f1,c53,41,RAP2_Os11t0132300-00,,,
1,f1,c53,41,RAP2_Os12t0129100-00,,,
1,f1,c192,43,tair10_AT1G09360.1,pectin methylesterase inhibitor,N,
1,f1,c192,43,tair10_AT1G09370.1,pectin methylesterase inhibitor,N,
1,f1,c117,43,tair10_AT1G10770.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c117,43,tair10_AT1G23350.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT1G48020.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT1G54620.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c192,43,tair10_AT1G55770.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c117,43,tair10_AT1G60760.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c117,43,tair10_AT1G70540.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c1435,46,tair10_AT2G31425.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c1435,46,tair10_AT2G31430.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c192,43,tair10_AT3G17130.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT3G17140.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT3G17150.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT3G17152.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT3G17220.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c3523,47,tair10_AT3G49330.1,pectin methylesterase inhibitor,N,
1,f1,c1435,46,tair10_AT3G55680.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c192,43,tair10_AT4G02250.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c3523,47,tair10_AT5G24370.1,pectin methylesterase inhibitor,N,
1,f1,c53,41,tair10_AT5G38610.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT5G46930.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT5G46940.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT5G46950.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT5G46960.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT5G46970.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT5G46980.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c53,41,tair10_AT5G46990.1,invertase/pectin methylesterase inhibitor family protein,N,
1,f1,c117,43,TIGR6.1_LOC_Os01g14940.1,,,
1,f1,c192,43,TIGR6.1_LOC_Os01g20970.1,,,
1,f1,c53,41,TIGR6.1_LOC_Os02g01300.1,,,
1,f1,c117,43,TIGR6.1_LOC_Os02g33130.1,,,
1,f1,c117,43,TIGR6.1_LOC_Os02g33380.1,,,
1,f1,c117,43,TIGR6.1_LOC_Os02g33390.1,,,
1,f1,c53,41,TIGR6.1_LOC_Os02g46360.1,,,
1,f1,c53,41,TIGR6.1_LOC_Os04g49720.1,,,
1,f1,c53,41,TIGR6.1_LOC_Os04g49730.1,,,
1,f1,c117,43,TIGR6.1_LOC_Os05g05640.1,,,
1,f1,c117,43,TIGR6.1_LOC_Os05g20570.1,,,
1,f1,c192,43,TIGR6.1_LOC_Os05g29740.1,,,
1,f1,c462,46,TIGR6.1_LOC_Os08g04640.1,,,
1,f1,c671,49,TIGR6.1_LOC_Os08g04650.1,,,
1,f1,c671,49,TIGR6.1_LOC_Os08g04670.1,,,
1,f1,c671,49,TIGR6.1_LOC_Os08g04690.1,,,
1,f1,c462,46,TIGR6.1_LOC_Os08g04710.1,,,
1,f1,c462,46,TIGR6.1_LOC_Os08g04740.1,,,
1,f1,c53,41,TIGR6.1_LOC_Os08g25070.1,,,
1,f1,c53,41,TIGR6.1_LOC_Os11g03750.1,,,
1,f1,c53,41,TIGR6.1_LOC_Os12g03510.1,,,
1,f1,c53,41,vitis_VV02G06830,,,
1,f1,c53,41,vitis_VV05G01720,,,
1,f1,c53,41,vitis_VV15G00370,,,
2,f2,c259,37,maize_AC187899.3_FGP002,,,
2,f2,c259,37,maize_AC195058.3_FGP003,,,
2,f2,c419,36,maize_AC200065.5_FGP009,,,
2,f2,c419,36,maize_AC202076.3_FGP009,,,
2,f2,c419,36,maize_AC204710.4_FGP003,,,
2,f2,c259,37,maize_AC231226.2_FGP001,,,
2,f2,c411,42,maize_GRMZM2G022255_P01,,,
2,f2,c411,42,maize_GRMZM2G041513_P01,,,
2,f2,c410,32,maize_GRMZM2G050458_P01,,,
2,f2,c489,39,maize_GRMZM2G065781_P01,,,
2,f2,c411,42,maize_GRMZM2G121160_P01,,,
2,f2,c410,32,maize_GRMZM2G137551_P01,,,
2,f2,c419,36,maize_GRMZM2G149126_P01,,,
2,f2,c259,37,maize_GRMZM2G162271_P01,,,
2,f2,c306,40,maize_GRMZM2G331770_P01,,,
2,f2,c410,32,maize_GRMZM2G364839_P01,,,
2,f2,c419,36,maize_GRMZM5G846550_P01,,,
2,f2,c306,40,POPTR_0001s00460.1,,,
2,f2,c306,40,POPTR_0001s00600.1,,,
2,f2,c259,37,POPTR_0002s14520.1,,,
2,f2,c259,37,POPTR_0003s10890.1,,,
2,f2,c306,40,POPTR_0005s08920.1,,,
2,f2,c306,40,POPTR_0005s08920.2,,,
2,f2,c419,36,POPTR_0006s05890.1,,,
2,f2,c306,40,POPTR_0006s05900.1,,,
2,f2,c306,40,POPTR_0007s07020.1,,,
2,f2,c489,39,POPTR_0008s11160.1,,,
2,f2,c411,42,POPTR_0010s14780.1,,,
2,f2,c259,37,POPTR_0014s05930.1,,,
2,f2,c489,39,RAP2_Os02t0190700-00,,,
2,f2,c411,42,RAP2_Os02t0596800-00,,,
2,f2,c259,37,RAP2_Os02t0662300-01,,,
2,f2,c419,36,RAP2_Os02t0799200-00,,,
2,f2,c410,32,RAP2_Os04t0467000-01,,,
2,f2,c411,42,RAP2_Os04t0482600-01,,,
2,f2,c259,37,RAP2_Os04t0554900-00,,,
2,f2,c489,39,RAP2_Os09t0474600-00,,,
2,f2,c489,39,tair10_AT1G13620.1,GLV tribe,Y,GLV
2,f2,c411,42,tair10_AT2G03830.1,GLV tribe,Y,GLV
2,f2,c489,39,tair10_AT2G04025.1,GLV tribe,Y,GLV
2,f2,c306,40,tair10_AT3G02240.1,GLV4,Y,GLV
2,f2,c306,40,tair10_AT3G02242.1,GLV tribe (GLV4),Y,GLV
2,f2,c410,32,tair10_AT3G30350.1,GLV3,Y,GLV
2,f2,c410,32,tair10_AT3G30350.2,,,GLV
2,f2,c306,40,tair10_AT4G16515.1,GLV1,Y,GLV
2,f2,c410,32,tair10_AT5G15725.1,GLV tribe (GLV3),Y,GLV
2,f2,c259,37,tair10_AT5G51451.1,GLV tribe,Y,GLV
2,f2,c489,39,tair10_AT5G60810.1,GLV tribe,Y,GLV
2,f2,c306,40,tair10_AT5G64770.1,GLV2,Y,GLV
2,f2,c489,39,TIGR6.1_LOC_Os02g09760.1,,,
2,f2,c411,42,TIGR6.1_LOC_Os02g38330.1,,,
2,f2,c259,37,TIGR6.1_LOC_Os02g44340.1,,,
2,f2,c419,36,TIGR6.1_LOC_Os02g55580.1,,,
2,f2,c410,32,TIGR6.1_LOC_Os04g39230.1,,,
