Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
B9DFX7	reviewed	HMA8_ARATH	Copper-transporting ATPase PAA2, chloroplastic (EC 7.2.2.9) (Protein HEAVY METAL ATPASE 8)	PAA2 HMA8 At5g21930 F13M11 T6G21	Arabidopsis thaliana (Mouse-ear cress)	883	HMA8	AT5G21930;
F4HVS0	reviewed	BTSL2_ARATH	Zinc finger protein BRUTUS-like At1g74770	At1g74770 F25A4.26 F25A4.27	Arabidopsis thaliana (Mouse-ear cress)	1259		AT1G74770;
F4IDY5	reviewed	BTSL1_ARATH	Zinc finger protein BRUTUS-like At1g18910	At1g18910 F14D16.3	Arabidopsis thaliana (Mouse-ear cress)	1254		AT1G18910;
F4KFS7	reviewed	MEB2_ARATH	Membrane protein of ER body 2	MEB2 At5g24290 MOP9.11	Arabidopsis thaliana (Mouse-ear cress)	550		AT5G24290;
F4KGN5	reviewed	S40A2_ARATH	Solute carrier family 40 member 2 (Ferroportin-2) (Iron-regulated transporter 2) (AtIREG2)	IREG2 FPN2 At5g03570 F12E4.370	Arabidopsis thaliana (Mouse-ear cress)	512	FPN2	AT5G03570;
O64474	reviewed	HMA4_ARATH	Putative cadmium/zinc-transporting ATPase HMA4 (EC 7.2.2.12) (EC 7.2.2.21) (Protein HEAVY METAL ATPASE 4) (Putative cadmium/zinc-transporting ATPase 2)	HMA4 At2g19110 T20K24.12	Arabidopsis thaliana (Mouse-ear cress)	1172		AT2G19110;
O80632	reviewed	MTP11_ARATH	Metal tolerance protein 11 (AtMTP11)	MTP11 At2g39450 F12L6.11	Arabidopsis thaliana (Mouse-ear cress)	394		AT2G39450;
P0CW78	reviewed	HMA3B_ARATH	Cadmium/zinc-transporting ATPase HMA3 (EC 7.2.2.12) (EC 7.2.2.21) (Cadmium/zinc-transporting ATPase 4) (Protein HEAVY METAL ATPASE 3)	HMA3	Arabidopsis thaliana (Mouse-ear cress)	760		
P92949	reviewed	FRO2_ARATH	Ferric reduction oxidase 2 (AtFRO2) (EC 1.16.1.7) (Ferric-chelate reductase 2) (Protein FERRIC CHELATE REDUCTASE DEFECTIVE 1)	FRO2 FRD1 At1g01580 F22L4.12	Arabidopsis thaliana (Mouse-ear cress)	725	FRD1	AT1G01580;
Q33884	reviewed	CCMF2_ARATH	Cytochrome c biogenesis CcmF N-terminal-like mitochondrial protein 2 (Cytochrome c biogenesis orf203)	CCMFN2 CC6BN2 CCB203 AtMg00960	Arabidopsis thaliana (Mouse-ear cress)	203	CC6BN2 CCB203	ATMG00960;
Q38856	reviewed	IRT1_ARATH	Fe(2+) transport protein 1 (Fe(II) transport protein 1) (Iron-regulated transporter 1)	IRT1 At4g19690 T16H5.50	Arabidopsis thaliana (Mouse-ear cress)	347		AT4G19690;
Q39101	reviewed	FRI1_ARATH	Ferritin-1, chloroplastic (AtFer1) (EC 1.16.3.1)	FER1 At5g01600 F7A7.120	Arabidopsis thaliana (Mouse-ear cress)	255		AT5G01600;
Q8W4E7	reviewed	S40A3_ARATH	Solute carrier family 40 member 3, chloroplastic (Ferroportin-3) (Iron-regulated transporter 3) (AtIREG3) (Protein MULTIPLE ANTIBIOTIC RESISTANCE 1)	IREG3 FPN3 MAR1 RTS3 At5g26820 F2P16.6	Arabidopsis thaliana (Mouse-ear cress)	598	FPN3 MAR1 RTS3	AT5G26820;
Q8W4P8	reviewed	MEB1_ARATH	Membrane protein of ER body 1	MEB1 At4g27860 T27E11.100	Arabidopsis thaliana (Mouse-ear cress)	611		AT4G27860;
Q94AX5	reviewed	PAM71_ARATH	Protein PAM71, chloroplastic (CA(2+)/H(+) ANTIPORTER 1) (GDT1-like protein 1) (PHOTOSYNTHESIS AFFECTED MUTANT71)	PAM71 CCHA1 At1g64150 F22C12.9	Arabidopsis thaliana (Mouse-ear cress)	370	CCHA1	AT1G64150;
Q9FN18	reviewed	NRAM4_ARATH	Metal transporter Nramp4 (AtNramp4)	NRAMP4 At5g67330 K8K14.5	Arabidopsis thaliana (Mouse-ear cress)	512		AT5G67330;
