Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
A0A7G2FCV8	unreviewed	A0A7G2FCV8_ARATH	(thale cress) hypothetical protein	AT9943_LOCUS21060	Arabidopsis thaliana (Mouse-ear cress)	1082		
A7WM73	reviewed	HEXO1_ARATH	Beta-hexosaminidase 1 (EC 3.2.1.52) (Beta-GlcNAcase 1) (Beta-N-acetylhexosaminidase 1) (Beta-hexosaminidase 2) (AtHEX2) (N-acetyl-beta-glucosaminidase 1)	HEXO1 HEX2 At3g55260 T26I12.140	Arabidopsis thaliana (Mouse-ear cress)	541	HEX2	AT3G55260;
B9DFA8	reviewed	INVC_ARATH	Alkaline/neutral invertase C, mitochondrial (A/N-INVC) (EC 3.2.1.26)	INVC At3g06500 F5E6.17	Arabidopsis thaliana (Mouse-ear cress)	664		AT3G06500;
F4HTM3	reviewed	GCS1_ARATH	Mannosyl-oligosaccharide glucosidase GCS1 (EC 3.2.1.106) (Alpha-glucosidase 1) (Glucosidase 1) (Protein KNOPF) (Protein MUNCHKIN)	GCS1 KNF MUC RSW At1g67490 F12B7.4 T1F15.4	Arabidopsis thaliana (Mouse-ear cress)	852	KNF MUC RSW	AT1G67490;
F4JZC2	reviewed	ENAS1_ARATH	Cytosolic endo-beta-N-acetylglucosaminidase 1 (ENGase 1) (EC 3.2.1.96) (Endo-beta-N-acetyglucosaminidase 85A) (AtENGase85A)	ENGASE1 ENGASE85A At5g05460 K18I23.27	Arabidopsis thaliana (Mouse-ear cress)	680	ENGASE85A	AT5G05460;
O04196	reviewed	ISOA1_ARATH	Isoamylase 1, chloroplastic (AtISA1) (EC 3.2.1.68) (Protein REDUCED GRAVITROPIC 3)	ISA1 RGV3 At2g39930 T28M21.9	Arabidopsis thaliana (Mouse-ear cress)	783	RGV3	AT2G39930;
O23147	reviewed	ADPG1_ARATH	Polygalacturonase ADPG1 (AtADPG1) (PG ADPG1) (EC 3.2.1.15) (Pectinase ADPG1) (Protein ARABIDOPSIS DEHISCENCE ZONE POLYGALACTURONASE 1)	ADPG1 PGDZAT SAC70 At3g57510 T8H10.110	Arabidopsis thaliana (Mouse-ear cress)	431	PGDZAT SAC70	AT3G57510;
O23553	reviewed	BAM3_ARATH	Beta-amylase 3, chloroplastic (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Beta-amylase 8) (Chloroplast beta-amylase) (CT-BMY)	BAM3 BMY8 CTBMY At4g17090 dl4575c FCAALL.5	Arabidopsis thaliana (Mouse-ear cress)	548	BMY8 CTBMY	AT4G17090;
O23647	reviewed	GLGB1_ARATH	1,4-alpha-glucan-branching enzyme 2-1, chloroplastic/amyloplastic (AtSBE II-1) (EC 2.4.1.18) (Branching enzyme 3) (AtBE3) (Starch-branching enzyme 2-1)	SBE2.1 BE3 At2g36390 F1O11.2	Arabidopsis thaliana (Mouse-ear cress)	858	BE3	AT2G36390;
O64879	reviewed	BGL15_ARATH	Beta-glucosidase 15 (AtBGLU15) (EC 3.2.1.21)	BGLU15 At2g44450 F4I1.26	Arabidopsis thaliana (Mouse-ear cress)	506		AT2G44450;
O64883	reviewed	BGL26_ARATH	Beta-glucosidase 26, peroxisomal (AtBGLU26) (EC 3.2.1.21) (Protein PENETRATION 2)	BGLU26 PEN2 At2g44490 F4I1.30	Arabidopsis thaliana (Mouse-ear cress)	560	PEN2	AT2G44490;
O65258	reviewed	BAM2_ARATH	Beta-amylase 2, chloroplastic (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Beta-amylase 9)	BAM2 BMY9 At4g00490 F6N23.1	Arabidopsis thaliana (Mouse-ear cress)	542	BMY9	AT4G00490;
O80803	reviewed	XTH17_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 17 (At-XTH17) (XTH-17) (EC 2.4.1.207)	XTH17 XTR1 At1g65310 T8F5.9	Arabidopsis thaliana (Mouse-ear cress)	282	XTR1	AT1G65310;
O81862	reviewed	CHIC_ARATH	Class V chitinase (AtChiC) (EC 3.2.1.14) (EC 3.2.1.200)	ChiC At4g19810 T16H5.170	Arabidopsis thaliana (Mouse-ear cress)	379		AT4G19810;
P19171	reviewed	CHIB_ARATH	Basic endochitinase B (EC 3.2.1.14) (Pathogenesis-related protein 3) (AtChiB) (PR-3)	CHI-B PR3 At3g12500 MQC3.32 T2E22.18 T2E22_119	Arabidopsis thaliana (Mouse-ear cress)	335	PR3	AT3G12500;
P19172	reviewed	CHIA_ARATH	Acidic endochitinase (EC 3.2.1.14)	CHIB1 At5g24090 MZF18.2	Arabidopsis thaliana (Mouse-ear cress)	302		AT5G24090;
P24806	reviewed	XTH24_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 24 (At-XTH24) (XTH-24) (EC 2.4.1.207) (Endo-xyloglucan transferase) (Meristem protein 5) (MERI-5 protein) (MERI5 protein) (Xyloglucan endo-1,4-beta-D-glucanase)	XTH24 MERI-5 MERI5B SEN4 At4g30270 F9N11.120	Arabidopsis thaliana (Mouse-ear cress)	269	MERI-5 MERI5B SEN4	AT4G30270;
P25853	reviewed	BAM5_ARATH	Beta-amylase 5 (AtBeta-Amy) (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Protein REDUCED BETA AMYLASE 1)	BAM5 BMY1 RAM1 At4g15210 dl3650c FCAALL.97	Arabidopsis thaliana (Mouse-ear cress)	498	BMY1 RAM1	AT4G15210;
P33157	reviewed	E13A_ARATH	Glucan endo-1,3-beta-glucosidase, acidic isoform (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase) ((1->3)-beta-glucanase) (Beta-1,3-endoglucanase) (Beta-1,3-glucanase 2) (AtBG2) (Pathogenesis-related protein 2) (PR-2)	BG2 At3g57260 F28O9.110	Arabidopsis thaliana (Mouse-ear cress)	339		AT3G57260;
P37702	reviewed	BGL38_ARATH	Myrosinase 1 (EC 3.2.1.147) (Beta-glucosidase 38) (AtBGLU38) (EC 3.2.1.21) (Sinigrinase 1) (Thioglucosidase 1)	TGG1 BGLU38 At5g26000 T1N24.7	Arabidopsis thaliana (Mouse-ear cress)	541	BGLU38	AT5G26000;
P93046	reviewed	XTH31_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 31 (At-XTH31) (AtXTR8) (XTH-31) (EC 2.4.1.207) (EC 3.2.1.151)	XTH31 ATXG XTR8 At3g44990 F14D17.60	Arabidopsis thaliana (Mouse-ear cress)	293	ATXG XTR8	AT3G44990;
Q38857	reviewed	XTH22_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 22 (At-XTH22) (XTH-22) (EC 2.4.1.207) (Touch protein 4)	XTH22 TCH4 At5g57560 MUA2.13	Arabidopsis thaliana (Mouse-ear cress)	284	TCH4	AT5G57560;
Q38890	reviewed	GUN25_ARATH	Endoglucanase 25 (EC 3.2.1.4) (Cellulase homolog OR16pep) (Endo-1,4-beta glucanase 25) (Protein KORRIGAN) (Protein RADIALLY SWOLLEN 2)	KOR DEC KOR1 RSW2 At5g49720 K2I5.8	Arabidopsis thaliana (Mouse-ear cress)	621	DEC KOR1 RSW2	AT5G49720;
Q38909	reviewed	XTH28_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 28 (At-XTH28) (XTH-28) (EC 2.4.1.207)	XTH28 EXGT-A2 XTR2 At1g14720 F10B6.12 F10B6.29	Arabidopsis thaliana (Mouse-ear cress)	332	EXGT-A2 XTR2	AT1G14720;
Q38911	reviewed	XTH15_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 15 (At-XTH15) (XTH-15) (EC 2.4.1.207) (EC 3.2.1.151)	XTH15 XTR7 At4g14130 dl3105c FCAALL.173	Arabidopsis thaliana (Mouse-ear cress)	289	XTR7	AT4G14130;
Q39041	reviewed	INVA4_ARATH	Acid beta-fructofuranosidase 4, vacuolar (At beta fruct4) (AtBETAFRUCT4) (EC 3.2.1.26) (Acid invertase 4) (AI 4) (Acid sucrose hydrolase 4) (Vacuolar invertase 4) (Inv-V4) (VAC-INV 4) (VI 4)	BFRUCT4 BETAFRUCT4 At1g12240 T28K15.3	Arabidopsis thaliana (Mouse-ear cress)	664	BETAFRUCT4	AT1G12240;
Q39099	reviewed	XTH4_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 4 (At-XTH4) (XTH-4) (EC 2.4.1.207)	XTH4 EXGT-A1 EXT At2g06850 T9F8.4	Arabidopsis thaliana (Mouse-ear cress)	296	EXGT-A1 EXT	AT2G06850;
Q3ECS3	reviewed	BGL35_ARATH	Myrosinase 5 (EC 3.2.1.147) (Beta-glucosidase 35) (AtBGLU35) (EC 3.2.1.21) (Sinigrinase 5) (Thioglucosidase 5)	TGG5 BGLU35 At1g51470 F5D21.17	Arabidopsis thaliana (Mouse-ear cress)	511	BGLU35	AT1G51470;
Q43348	reviewed	INVA3_ARATH	Acid beta-fructofuranosidase 3, vacuolar (At beta fruct3) (AtBETAFRUCT3) (EC 3.2.1.26) (Acid invertase 3) (AI 3) (Acid sucrose hydrolase 3) (Vacuolar invertase 3) (Inv-V3) (VAC-INV 3) (VI 3)	BFRUCT3 BETAFRUCT3 At1g62660 F23N19.3 T3P18.21	Arabidopsis thaliana (Mouse-ear cress)	648	BETAFRUCT3	AT1G62660;
Q43866	reviewed	INV1_ARATH	Beta-fructofuranosidase, insoluble isoenzyme CWINV1 (EC 3.2.1.26) (Cell wall beta-fructosidase 1) (AtbetaFRUCT1) (Cell wall invertase 1) (AtcwINV1) (Sucrose hydrolase 1)	CWINV1 BFRUCT1 At3g13790 MMM17.26	Arabidopsis thaliana (Mouse-ear cress)	584	BFRUCT1	AT3G13790;
Q8GRX1	reviewed	BGL34_ARATH	Myrosinase 4 (EC 3.2.1.147) (Beta-glucosidase 34) (AtBGLU34) (EC 3.2.1.21) (Sinigrinase 4) (Thioglucosidase 4)	TGG4 BGLU34 At1g47600 F16N3.11	Arabidopsis thaliana (Mouse-ear cress)	511	BGLU34	AT1G47600;
Q8GTR4	reviewed	PULA1_ARATH	Pullulanase 1, chloroplastic (AtPU1) (EC 3.2.1.142) (Protein LIMIT DEXTRINASE) (AtLDA)	PU1 LDA At5g04360 T19N18.90	Arabidopsis thaliana (Mouse-ear cress)	965	LDA	AT5G04360;
Q8H116	reviewed	MNS2_ARATH	Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS2 (AtMANIa) (EC 3.2.1.113) (Alpha-mannosidase IA)	MNS2 MANIA At3g21160 MSA6.31	Arabidopsis thaliana (Mouse-ear cress)	572	MANIA	AT3G21160;
Q8L7S6	reviewed	HEXO3_ARATH	Beta-hexosaminidase 3 (EC 3.2.1.52) (Beta-GlcNAcase 3) (Beta-N-acetylhexosaminidase 3) (Beta-hexosaminidase 1) (AtHEX1) (N-acetyl-beta-glucosaminidase 3)	HEXO3 HEX1 At1g65590 F5I14.13	Arabidopsis thaliana (Mouse-ear cress)	535	HEX1	AT1G65590;
Q8L7W8	reviewed	FUCO2_ARATH	Alpha-L-fucosidase 2 (EC 3.2.1.51) (Alpha-1,2-fucosidase 2) (Alpha-L-fucosidase 95A) (AtFuc95A) (Alpha-L-fucoside fucohydrolase 2) (Protein ALTERED XYLOGLUCAN 8)	FUC95A AXY8 At4g34260 F10M10.30	Arabidopsis thaliana (Mouse-ear cress)	843	AXY8	AT4G34260;
Q8LC45	reviewed	XTH33_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 33 (At-XTH33) (XTH-33) (EC 2.4.1.207)	XTH33 At1g10550 T10O24.17	Arabidopsis thaliana (Mouse-ear cress)	310		AT1G10550;
Q8LDS2	reviewed	XTH27_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 27 (At-XTH27) (XTH-27) (EC 2.4.1.207)	XTH27 EXGT-A3 At2g01850 T23K3.4	Arabidopsis thaliana (Mouse-ear cress)	333	EXGT-A3	AT2G01850;
Q8LDW9	reviewed	XTH9_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 9 (At-XTH9) (XTH-9) (EC 2.4.1.207)	XTH9 EXGT-A6 XTR16 At4g03210 F4C21.14	Arabidopsis thaliana (Mouse-ear cress)	290	EXGT-A6 XTR16	AT4G03210;
Q8RX86	reviewed	AGAL2_ARATH	Alpha-galactosidase 2 (AtAGAL2) (EC 3.2.1.22) (Alpha-D-galactoside galactohydrolase 2) (Melibiase)	AGAL2 At5g08370 F8L15.100	Arabidopsis thaliana (Mouse-ear cress)	396		AT5G08370;
Q8RY29	reviewed	ADPG2_ARATH	Polygalacturonase ADPG2 (AtADPG2) (PG ADPG2) (EC 3.2.1.15) (Pectinase ADPG2) (Protein ARABIDOPSIS DEHISCENCE ZONE POLYGALACTURONASE 2)	ADPG2 PGAZAT At2g41850 T11A7.5	Arabidopsis thaliana (Mouse-ear cress)	433	PGAZAT	AT2G41850;
Q8VXZ7	reviewed	AGAL3_ARATH	Alpha-galactosidase 3 (AtAGAL3) (EC 3.2.1.22) (Alpha-D-galactoside galactohydrolase 3) (Melibiase)	AGAL3 At3g56310 F18O21.270	Arabidopsis thaliana (Mouse-ear cress)	437		AT3G56310;
Q8VZ56	reviewed	AMY1_ARATH	Alpha-amylase 1 (AtAMY1) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	AMY1 At4g25000 F13M23.140	Arabidopsis thaliana (Mouse-ear cress)	423		AT4G25000;
Q93Y07	reviewed	SFR2_ARATH	Galactolipid galactosyltransferase SFR2, chloroplastic (EC 2.4.1.184) (Galactolipid:galactolipid galactosyltransferase) (GGGT) (Protein SENSITIVE TO FREEZING 2) (AtSFR2)	SFR2 At3g06510 F5E6.16	Arabidopsis thaliana (Mouse-ear cress)	622		AT3G06510;
Q93Y37	reviewed	MNS3_ARATH	Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS3 (EC 3.2.1.113) (EC 3.2.1.209)	MNS3 At1g30000 T1P2.10	Arabidopsis thaliana (Mouse-ear cress)	624		AT1G30000;
Q94A41	reviewed	AMY3_ARATH	Alpha-amylase 3, chloroplastic (AtAMY3) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	AMY3 At1g69830 T17F3.14	Arabidopsis thaliana (Mouse-ear cress)	887		AT1G69830;
