TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2117263	AT4G25010	protein_coding	Encodes a member of the SWEET sucrose efflux transporter family proteins. Together with SWEET13; it is likely involved in modulating the GA response and is required  for  proper development of anthers, seeds and seedlings.	AtSWEET14;SWEET14	anther dehiscence;carboxylic acid transmembrane transport;gibberellic acid transmembrane transport;lipid transport;seed growth;sucrose transport;carbohydrate transport;membrane;extracellular region;plasma membrane;gibberellin transmembrane transporter activity;sucrose transmembrane transporter activity;sugar transmembrane transporter activity;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;petal;pollen;sepal,
Locus:2163325	AT5G50790	protein_coding	Encodes a member of the SWEET sucrose efflux transporter family proteins. Transcriptionally activated by long photoperiods; activation depends on FT and SOC1. The ectopic expression of SWEET10 causes early flowering and leads to higher levels of transcription of flowering-time related genes in the shoot apex.	AtSWEET10;SWEET10	long-day photoperiodism;sucrose transport;carbohydrate transport;membrane;chloroplast;plasma membrane;protein binding;sucrose transmembrane transporter activity;sugar transmembrane transporter activity;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;flower;flower pedicel;guard cell;leaf;petal;petiole;plant embryo;pollen;seed;sepal;shoot apex;stamen;vascular bundle;vascular leaf,
Locus:2157951	AT5G50800	protein_coding	Encodes a member of the SWEET sucrose efflux transporter family proteins; together with RPG1, it is involved in pollen development. Together with SWEET14, it is likely involved in modulating the GA response and is required  for  proper development of anthers, seeds and seedlings.	AtSWEET13;RPG2;RUPTURED POLLEN GRAIN 2;SWEET13	anther dehiscence;callose deposition in cell wall;carboxylic acid transmembrane transport;gibberellic acid transmembrane transport;lipid transport;pollen development;seed growth;sucrose transport;carbohydrate transport;membrane;extracellular region;plasma membrane;gibberellin transmembrane transporter activity;protein binding;sucrose transmembrane transporter activity;sugar transmembrane transporter activity;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;anther development stage;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;leaf apex;petal;plant embryo;pollen;root;sepal;stamen;stem;vascular leaf,
Locus:2114540	AT3G48740	protein_coding	Encodes a member of the SWEET sucrose efflux transporter family proteins.	AtSWEET11;SWEET11	sucrose transport;carbohydrate transport;embryo development ending in seed dormancy;protein homooligomerization;seed maturation;sucrose transport;membrane;chloroplast;plasma membrane;protein binding;sucrose transmembrane transporter activity;sugar transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;phloem;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2179867	AT5G13170	protein_coding	Encodes a member of the SWEET sucrose efflux transporter family proteins.	AtSWEET15;SAG29;SWEET15;senescence-associated gene 29	sucrose transport;carbohydrate transport;cellular response to abscisic acid stimulus;cellular response to osmotic stress;cellular response to salicylic acid stimulus;embryo development ending in seed dormancy;leaf senescence;seed maturation;sucrose transport;membrane;Golgi membrane;plasma membrane;protein binding;sucrose transmembrane transporter activity;sugar transmembrane transporter activity;LP.04 four leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;flower;flower pedicel;petal;plant embryo;plant sperm cell;pollen;sepal;shoot system;stamen;stem;vascular leaf,
Locus:2171721	AT5G23660	protein_coding	Encodes a member of the SWEET sucrose efflux transporter family proteins.	AtSWEET12;MTN3;SWEET12;homolog of Medicago truncatula MTN3	sucrose transport;carbohydrate transport;embryo development ending in seed dormancy;protein homooligomerization;seed maturation;sucrose transport;membrane;extracellular region;plasma membrane;protein binding;sucrose transmembrane transporter activity;sugar transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;phloem;plant embryo;pollen;root;seed;sepal;shoot system;stamen;stem;vascular leaf,
Locus:2170748	AT5G62850	protein_coding	Encodes a protein that is expressed in vegetative cells of pollen. A member of the SWEET sucrose efflux transporter family proteins.	AtSWEET5;AtVEX1;SWEET5;VEGETATIVE CELL EXPRESSED1	carbohydrate transport;protein homooligomerization;membrane;chloroplast;plasma membrane;protein binding;sugar transmembrane transporter activity;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;guard cell;microgametophyte vegetative cell;petal;pollen;pollen tube cell;stamen;petal vascular system,
Locus:2123426	AT4G10850	protein_coding	Nodulin MtN3 family protein;(source:Araport11)	AtSWEET7;SWEET7	carbohydrate transport;membrane;extracellular region;plasma membrane;protein binding;sugar transmembrane transporter activity;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;flower;petal;plant embryo;plant sperm cell;pollen;seed;sepal,
Locus:2129800	AT4G15920	protein_coding	Encodes a vacuolar fructose transporter expressed in parenchyma and xylem that controls leaf fructose content. When its expression is reduced; fructose accumulates in leaves.	AtSWEET17;SWEET17	carbohydrate export;fructose export from vacuole to cytoplasm;chloroplast;plant-type vacuole membrane;fructose uniporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;parenchyma;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;xylem,
Locus:2163756	AT5G53190	protein_coding	Nodulin MtN3 family protein;(source:Araport11)	AtSWEET3;SWEET3	carbohydrate transport;membrane;plasma membrane;protein binding;sugar transmembrane transporter activity;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;collective leaf structure;flower;flower pedicel;petal;plant embryo;root;seed;sepal,
