Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
F4HP45	unreviewed	F4HP45_ARATH	Protein BZR1 homolog (Protein BRASSINAZOLE-RESISTANT 1 homolog)	BES1 107 PROTEIN BRASSINAZOLE-RESISTANT 2 BRI1-EMS-SUPPRESSOR 1 BZR2 At1g19350 F18O14.7 F18O14_7	Arabidopsis thaliana (Mouse-ear cress)	357	107 PROTEIN BRASSINAZOLE-RESISTANT 2 BRI1-EMS-SUPPRESSOR 1 BZR2	AT1G19350;
F4HU55	reviewed	BSK4_ARATH	Serine/threonine-protein kinase BSK4 (EC 2.7.11.1) (Brassinosteroid-signaling kinase 4)	BSK4 At1g01740 T1N6.15	Arabidopsis thaliana (Mouse-ear cress)	483		AT1G01740;
F4I3M3	reviewed	BSK7_ARATH	Serine/threonine-protein kinase BSK7 (EC 2.7.11.1) (Brassinosteroid-signaling kinase 7)	BSK7 At1g63500 F2K11.13	Arabidopsis thaliana (Mouse-ear cress)	487		AT1G63500;
F4I7Y4	reviewed	BSK11_ARATH	Serine/threonine-protein kinase BSK11 (EC 2.7.11.1) (Brassinosteroid-signaling kinase 11)	BSK11 At1g50990 F8A12.21	Arabidopsis thaliana (Mouse-ear cress)	507		AT1G50990;
F4ICK8	reviewed	IWS1_ARATH	Protein IWS1 homolog 1 (AtIWS1) (Interacts with SPT6 protein 1) (Protein HIGH NITROGEN INSENSITIVE 9) (Protein SUPPRESSOR OF BES-1-D 1)	IWS1 HIN9 SEB1 At1g32130 F3C3.8	Arabidopsis thaliana (Mouse-ear cress)	502	HIN9 SEB1	AT1G32130;
F4JIX9	unreviewed	F4JIX9_ARATH	BRI1-associated receptor kinase	BAK1 ATBAK1 ATSERK3 ELG ELONGATED RECEPTOR KINASES LIKE SERK 10 RKS10 SERK3 At4g33430 F17M5.190 F17M5_190	Arabidopsis thaliana (Mouse-ear cress)	662	ATBAK1 ATSERK3 ELG ELONGATED RECEPTOR KINASES LIKE SERK 10 RKS10 SERK3	AT4G33430;
O04714	reviewed	GCR1_ARATH	G-protein coupled receptor 1	GCR1 At1g48270 F11A17.17	Arabidopsis thaliana (Mouse-ear cress)	326		AT1G48270;
O22476	reviewed	BRI1_ARATH	Protein BRASSINOSTEROID INSENSITIVE 1 (AtBRI1) (EC 2.7.10.1) (EC 2.7.11.1) (Brassinosteroid LRR receptor kinase)	BRI1 At4g39400 F23K16.30	Arabidopsis thaliana (Mouse-ear cress)	1196		AT4G39400;
O23393	reviewed	BIA1_ARATH	BAHD acyltransferase BIA1 (EC 2.3.1.-) (Protein ABNORMAL SHOOT 1) (Protein BRASSINOSTEROID INACTIVATOR 1)	BIA1 ABS1 At4g15400 Dl3745c FCAALL.284	Arabidopsis thaliana (Mouse-ear cress)	435	ABS1	AT4G15400;
O64989	reviewed	C90B1_ARATH	Steroid (22S)-hydroxylase (EC 1.14.14.178) ((22S)-22-hydroxycampesterol synthase) (6-deoxycathasterone synthase) (Cathasterone synthase) (Cytochrome P450 90B1) (AtCYP90B1) (Protein DWARF 4) (Dwarf4) (Steroid 22-alpha-hydroxylase)	CYP90B1 DWF4 At3g50660 T3A5.40	Arabidopsis thaliana (Mouse-ear cress)	513	DWF4	AT3G50660;
P34790	reviewed	CP18C_ARATH	Peptidyl-prolyl cis-trans isomerase CYP18-3 (PPIase CYP18-3) (EC 5.2.1.8) (Cyclophilin of 18 kDa 3) (Cyclosporin A-binding protein) (Rotamase cyclophilin-1)	CYP18-3 ROC1 At4g38740 T9A14.20	Arabidopsis thaliana (Mouse-ear cress)	172	ROC1	AT4G38740;
