AT5G51260.1,0b2d8935eb9f4840aa712cb698894e61,257,Gene3D,G3DSA:3.40.50.1000,-,41,257,3.5E-75,T,21-11-2025,IPR023214,HAD superfamily,-,Reactome:R-BTA-1237112|Reactome:R-BTA-2161541|Reactome:R-BTA-4085001|Reactome:R-BTA-418359|Reactome:R-BTA-4419969|Reactome:R-BTA-446205|Reactome:R-BTA-5578775|Reactome:R-BTA-71737|Reactome:R-BTA-74259|Reactome:R-BTA-936837|Reactome:R-BTA-9755088|Reactome:R-BTA-977347|Reactome:R-CEL-112382|Reactome:R-CEL-113418|Reactome:R-CEL-1237112|Reactome:R-CEL-418359|Reactome:R-CEL-429958|Reactome:R-CEL-4419969|Reactome:R-CEL-446205|Reactome:R-CEL-5578775|Reactome:R-CEL-674695|Reactome:R-CEL-6796648|Reactome:R-CEL-6798695|Reactome:R-CEL-73621|Reactome:R-CEL-75955|Reactome:R-CEL-9013407|Reactome:R-CEL-936837|Reactome:R-CFA-418359|Reactome:R-CFA-5578775|Reactome:R-CFA-936837|Reactome:R-DDI-1237112|Reactome:R-DDI-2161541|Reactome:R-DDI-418359|Reactome:R-DDI-446205|Reactome:R-DDI-5578775|Reactome:R-DDI-74259|Reactome:R-DDI-936837|Reactome:R-DDI-9755088|Reactome:R-DME-1237112|Reactome:R-DME-418359|Reactome:R-DME-429958|Reactome:R-DME-4419969|Reactome:R-DME-446205|Reactome:R-DME-5578775|Reactome:R-DME-73614|Reactome:R-DME-73621|Reactome:R-DME-936837|Reactome:R-DME-977347|Reactome:R-DRE-1237112|Reactome:R-DRE-1483191|Reactome:R-DRE-1483213|Reactome:R-DRE-4085001|Reactome:R-DRE-71737|Reactome:R-DRE-73621|Reactome:R-DRE-936837|Reactome:R-GGA-418359|Reactome:R-GGA-421178|Reactome:R-GGA-429958|Reactome:R-GGA-5578775|Reactome:R-GGA-73621|Reactome:R-GGA-936837|Reactome:R-HSA-112382|Reactome:R-HSA-113418|Reactome:R-HSA-1237112|Reactome:R-HSA-1268020|Reactome:R-HSA-1483191|Reactome:R-HSA-1483213|Reactome:R-HSA-1483226|Reactome:R-HSA-167152|Reactome:R-HSA-167158|Reactome:R-HSA-167200|Reactome:R-HSA-167238|Reactome:R-HSA-167242|Reactome:R-HSA-167243|Reactome:R-HSA-167246|Reactome:R-HSA-167287|Reactome:R-HSA-167290|Reactome:R-HSA-1912420|Reactome:R-HSA-2142670|Reactome:R-HSA-2161541|Reactome:R-HSA-3299685|Reactome:R-HSA-381038|Reactome:R-HSA-4043911|Reactome:R-HSA-4085001|Reactome:R-HSA-418359|Reactome:R-HSA-429958|Reactome:R-HSA-4419969|Reactome:R-HSA-446205|Reactome:R-HSA-5578775|Reactome:R-HSA-5649702|Reactome:R-HSA-674695|Reactome:R-HSA-6796648|Reactome:R-HSA-6798695|Reactome:R-HSA-6803544|Reactome:R-HSA-70171|Reactome:R-HSA-71737|Reactome:R-HSA-73614|Reactome:R-HSA-73621|Reactome:R-HSA-74259|Reactome:R-HSA-75955|Reactome:R-HSA-77289|Reactome:R-HSA-9018682|Reactome:R-HSA-9033241|Reactome:R-HSA-936837|Reactome:R-HSA-9662360|Reactome:R-HSA-9662361|Reactome:R-HSA-9679191|Reactome:R-HSA-9755088|Reactome:R-HSA-977347|Reactome:R-MMU-112382|Reactome:R-MMU-113418|Reactome:R-MMU-1237112|Reactome:R-MMU-1483191|Reactome:R-MMU-1483213|Reactome:R-MMU-1483226|Reactome:R-MMU-2142670|Reactome:R-MMU-2161541|Reactome:R-MMU-4085001|Reactome:R-MMU-418359|Reactome:R-MMU-429958|Reactome:R-MMU-4419969|Reactome:R-MMU-446205|Reactome:R-MMU-5578775|Reactome:R-MMU-5649702|Reactome:R-MMU-674695|Reactome:R-MMU-6796648|Reactome:R-MMU-6798695|Reactome:R-MMU-6803544|Reactome:R-MMU-71737|Reactome:R-MMU-73614|Reactome:R-MMU-73621|Reactome:R-MMU-74259|Reactome:R-MMU-75109|Reactome:R-MMU-75955|Reactome:R-MMU-77289|Reactome:R-MMU-9018682|Reactome:R-MMU-9033241|Reactome:R-MMU-936837|Reactome:R-MMU-9755088|Reactome:R-MMU-977347|Reactome:R-MTU-868688|Reactome:R-PFA-6798695|Reactome:R-PFA-936837|Reactome:R-RNO-1237112|Reactome:R-RNO-1483226|Reactome:R-RNO-2142670|Reactome:R-RNO-2161541|Reactome:R-RNO-4085001|Reactome:R-RNO-418359|Reactome:R-RNO-429958|Reactome:R-RNO-4419969|Reactome:R-RNO-5578775|Reactome:R-RNO-6803544|Reactome:R-RNO-71737|Reactome:R-RNO-74259|Reactome:R-RNO-9018682|Reactome:R-RNO-9033241|Reactome:R-RNO-936837|Reactome:R-RNO-9755088|Reactome:R-RNO-977347|Reactome:R-SCE-113418|Reactome:R-SCE-1237112|Reactome:R-SCE-1483191|Reactome:R-SCE-1483213|Reactome:R-SCE-418359|Reactome:R-SCE-4419969|Reactome:R-SCE-446205|Reactome:R-SCE-5578775|Reactome:R-SCE-674695|Reactome:R-SCE-6796648|Reactome:R-SCE-6798695|Reactome:R-SCE-73614|Reactome:R-SCE-75109|Reactome:R-SCE-936837|Reactome:R-SCE-977347|Reactome:R-SPO-113418|Reactome:R-SPO-1237112|Reactome:R-SPO-1482925|Reactome:R-SPO-1483076|Reactome:R-SPO-1483191|Reactome:R-SPO-1483213|Reactome:R-SPO-418359|Reactome:R-SPO-4419969|Reactome:R-SPO-446205|Reactome:R-SPO-5578775|Reactome:R-SPO-674695|Reactome:R-SPO-6796648|Reactome:R-SPO-6798695|Reactome:R-SPO-73614|Reactome:R-SPO-75109|Reactome:R-SPO-936837|Reactome:R-SPO-977347|Reactome:R-SSC-2142670|Reactome:R-SSC-418359|Reactome:R-SSC-5578775|Reactome:R-SSC-9018682|Reactome:R-SSC-9033241|Reactome:R-SSC-936837|Reactome:R-XTR-1237112|Reactome:R-XTR-2161541|Reactome:R-XTR-4419969|Reactome:R-XTR-74259|Reactome:R-XTR-936837|Reactome:R-XTR-9755088
AT5G51260.1,0b2d8935eb9f4840aa712cb698894e61,257,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,15,19,-,T,21-11-2025,-,-,-,-
AT5G51260.1,0b2d8935eb9f4840aa712cb698894e61,257,PANTHER,PTHR31284,ACID PHOSPHATASE-LIKE PROTEIN,5,256,1.3E-96,T,21-11-2025,-,-,-,-
AT5G51260.1,0b2d8935eb9f4840aa712cb698894e61,257,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,2,-,T,21-11-2025,-,-,-,-
AT5G51260.1,0b2d8935eb9f4840aa712cb698894e61,257,NCBIfam,TIGR01675,plant acid phosphatase,35,257,5.1E-90,T,21-11-2025,IPR010028,"Acid phosphatase, plant",GO:0003993(InterPro),-
AT5G51260.1,0b2d8935eb9f4840aa712cb698894e61,257,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",20,257,-,T,21-11-2025,-,-,-,-
AT5G51260.1,0b2d8935eb9f4840aa712cb698894e61,257,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,19,-,T,21-11-2025,-,-,-,-
AT5G51260.1,0b2d8935eb9f4840aa712cb698894e61,257,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,3,14,-,T,21-11-2025,-,-,-,-
AT5G51260.1,0b2d8935eb9f4840aa712cb698894e61,257,CDD,cd07535,HAD_VSP,71,256,2.66903E-96,T,21-11-2025,-,-,-,-
AT5G51260.1,0b2d8935eb9f4840aa712cb698894e61,257,SUPERFAMILY,SSF56784,HAD-like,99,240,1.78E-16,T,21-11-2025,IPR036412,HAD-like superfamily,-,Reactome:R-BTA-1237112|Reactome:R-BTA-2161541|Reactome:R-BTA-4085001|Reactome:R-BTA-418359|Reactome:R-BTA-4419969|Reactome:R-BTA-446205|Reactome:R-BTA-5578775|Reactome:R-BTA-5693565|Reactome:R-BTA-71737|Reactome:R-BTA-74259|Reactome:R-BTA-936837|Reactome:R-BTA-9755088|Reactome:R-BTA-977347|Reactome:R-CEL-112382|Reactome:R-CEL-113418|Reactome:R-CEL-1237112|Reactome:R-CEL-418359|Reactome:R-CEL-429958|Reactome:R-CEL-4419969|Reactome:R-CEL-446205|Reactome:R-CEL-5578775|Reactome:R-CEL-674695|Reactome:R-CEL-6796648|Reactome:R-CEL-6798695|Reactome:R-CEL-73621|Reactome:R-CEL-75955|Reactome:R-CEL-9013407|Reactome:R-CEL-936837|Reactome:R-CFA-418359|Reactome:R-CFA-5578775|Reactome:R-CFA-936837|Reactome:R-DDI-1237112|Reactome:R-DDI-2161541|Reactome:R-DDI-418359|Reactome:R-DDI-446205|Reactome:R-DDI-5578775|Reactome:R-DDI-74259|Reactome:R-DDI-936837|Reactome:R-DDI-9755088|Reactome:R-DME-1237112|Reactome:R-DME-1483226|Reactome:R-DME-418359|Reactome:R-DME-429958|Reactome:R-DME-4419969|Reactome:R-DME-446205|Reactome:R-DME-5578775|Reactome:R-DME-73614|Reactome:R-DME-73621|Reactome:R-DME-936837|Reactome:R-DME-977347|Reactome:R-DRE-1237112|Reactome:R-DRE-1483191|Reactome:R-DRE-1483213|Reactome:R-DRE-4085001|Reactome:R-DRE-71737|Reactome:R-DRE-73621|Reactome:R-DRE-936837|Reactome:R-GGA-418359|Reactome:R-GGA-421178|Reactome:R-GGA-429958|Reactome:R-GGA-5578775|Reactome:R-GGA-73621|Reactome:R-GGA-936837|Reactome:R-HSA-112382|Reactome:R-HSA-113418|Reactome:R-HSA-1237112|Reactome:R-HSA-1268020|Reactome:R-HSA-1483191|Reactome:R-HSA-1483213|Reactome:R-HSA-1483226|Reactome:R-HSA-167152|Reactome:R-HSA-167158|Reactome:R-HSA-167200|Reactome:R-HSA-167238|Reactome:R-HSA-167242|Reactome:R-HSA-167243|Reactome:R-HSA-167246|Reactome:R-HSA-167287|Reactome:R-HSA-167290|Reactome:R-HSA-1912420|Reactome:R-HSA-2142670|Reactome:R-HSA-2161541|Reactome:R-HSA-3299685|Reactome:R-HSA-381038|Reactome:R-HSA-4043911|Reactome:R-HSA-4085001|Reactome:R-HSA-418359|Reactome:R-HSA-429958|Reactome:R-HSA-4419969|Reactome:R-HSA-446205|Reactome:R-HSA-5578775|Reactome:R-HSA-5649702|Reactome:R-HSA-5693565|Reactome:R-HSA-674695|Reactome:R-HSA-6796648|Reactome:R-HSA-6798695|Reactome:R-HSA-6803544|Reactome:R-HSA-70171|Reactome:R-HSA-71737|Reactome:R-HSA-73614|Reactome:R-HSA-73621|Reactome:R-HSA-74259|Reactome:R-HSA-75109|Reactome:R-HSA-75955|Reactome:R-HSA-77289|Reactome:R-HSA-9018682|Reactome:R-HSA-9033241|Reactome:R-HSA-936837|Reactome:R-HSA-9662360|Reactome:R-HSA-9662361|Reactome:R-HSA-9679191|Reactome:R-HSA-9755088|Reactome:R-HSA-977347|Reactome:R-HSA-9841922|Reactome:R-MMU-112382|Reactome:R-MMU-113418|Reactome:R-MMU-1237112|Reactome:R-MMU-1483191|Reactome:R-MMU-1483213|Reactome:R-MMU-1483226|Reactome:R-MMU-2142670|Reactome:R-MMU-2161541|Reactome:R-MMU-4085001|Reactome:R-MMU-418359|Reactome:R-MMU-429958|Reactome:R-MMU-4419969|Reactome:R-MMU-446205|Reactome:R-MMU-5578775|Reactome:R-MMU-5649702|Reactome:R-MMU-5693565|Reactome:R-MMU-674695|Reactome:R-MMU-6796648|Reactome:R-MMU-6798695|Reactome:R-MMU-6803544|Reactome:R-MMU-71737|Reactome:R-MMU-73614|Reactome:R-MMU-73621|Reactome:R-MMU-74259|Reactome:R-MMU-75109|Reactome:R-MMU-75955|Reactome:R-MMU-77289|Reactome:R-MMU-9018682|Reactome:R-MMU-9033241|Reactome:R-MMU-936837|Reactome:R-MMU-9755088|Reactome:R-MMU-977347|Reactome:R-MTU-868688|Reactome:R-PFA-6798695|Reactome:R-PFA-936837|Reactome:R-RNO-1237112|Reactome:R-RNO-1483226|Reactome:R-RNO-2142670|Reactome:R-RNO-2161541|Reactome:R-RNO-4085001|Reactome:R-RNO-418359|Reactome:R-RNO-429958|Reactome:R-RNO-4419969|Reactome:R-RNO-5578775|Reactome:R-RNO-6803544|Reactome:R-RNO-71737|Reactome:R-RNO-74259|Reactome:R-RNO-9018682|Reactome:R-RNO-9033241|Reactome:R-RNO-936837|Reactome:R-RNO-9755088|Reactome:R-RNO-977347|Reactome:R-SCE-113418|Reactome:R-SCE-1237112|Reactome:R-SCE-1483191|Reactome:R-SCE-1483213|Reactome:R-SCE-418359|Reactome:R-SCE-4419969|Reactome:R-SCE-446205|Reactome:R-SCE-5578775|Reactome:R-SCE-674695|Reactome:R-SCE-6796648|Reactome:R-SCE-6798695|Reactome:R-SCE-73614|Reactome:R-SCE-75109|Reactome:R-SCE-936837|Reactome:R-SCE-977347|Reactome:R-SPO-113418|Reactome:R-SPO-1237112|Reactome:R-SPO-1482925|Reactome:R-SPO-1483076|Reactome:R-SPO-1483191|Reactome:R-SPO-1483213|Reactome:R-SPO-418359|Reactome:R-SPO-4419969|Reactome:R-SPO-446205|Reactome:R-SPO-5578775|Reactome:R-SPO-674695|Reactome:R-SPO-6796648|Reactome:R-SPO-6798695|Reactome:R-SPO-73614|Reactome:R-SPO-75109|Reactome:R-SPO-936837|Reactome:R-SPO-977347|Reactome:R-SSC-2142670|Reactome:R-SSC-418359|Reactome:R-SSC-5578775|Reactome:R-SSC-9018682|Reactome:R-SSC-9033241|Reactome:R-SSC-936837|Reactome:R-XTR-1237112|Reactome:R-XTR-2161541|Reactome:R-XTR-4419969|Reactome:R-XTR-74259|Reactome:R-XTR-936837|Reactome:R-XTR-9755088
