Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
O04019	reviewed	PS6AB_ARATH	26S proteasome regulatory subunit 6A homolog B (26S proteasome AAA-ATPase subunit RPT5b) (Proteasome 26S subunit 6A homolog B) (Regulatory particle triple-A ATPase subunit 5b) (Tat-binding protein 1 homolog B) (TBP-1 homolog B)	RPT5B TBP1 At1g09100 F7G19.2	Arabidopsis thaliana (Mouse-ear cress)	423	TBP1	AT1G09100;
O23710	reviewed	PSB7A_ARATH	Proteasome subunit beta type-7-A (EC 3.4.25.1) (20S proteasome beta subunit B-1) (Proteasome component FA) (Proteasome component FB) (Proteasome subunit beta type-2)	PBB1 PRCFA PRCFB At3g27430 K1G2.15	Arabidopsis thaliana (Mouse-ear cress)	273	PRCFA PRCFB	AT3G27430;
O23712	reviewed	PSA1B_ARATH	Proteasome subunit alpha type-1-B (20S proteasome alpha subunit F-2) (Proteasome component 2B) (Proteasome subunit alpha type-6)	PAF2 PRC2B PRS1 At1g47250 F8G22.3	Arabidopsis thaliana (Mouse-ear cress)	277	PRC2B PRS1	AT1G47250;
O23715	reviewed	PSA3_ARATH	Proteasome subunit alpha type-3 (20S proteasome alpha subunit G-1) (DiDi 17A-2a) (Proteasome component 8) (Proteasome subunit alpha type-7)	PAG1 PRC8 At2g27020 T20P8.7	Arabidopsis thaliana (Mouse-ear cress)	249	PRC8	AT2G27020;
O24412	reviewed	PSD7A_ARATH	26S proteasome non-ATPase regulatory subunit 7 homolog A (26S proteasome regulatory subunit RPN8a) (AtRPN8a) (Protein ASYMMETRIC LEAVES ENHANCER 3) (Protein MOV34) (AtMOV34)	RPN8A AE3 MOV34 At5g05780 MJJ3.19	Arabidopsis thaliana (Mouse-ear cress)	308	AE3 MOV34	AT5G05780;
O81148	reviewed	PSA4A_ARATH	Proteasome subunit alpha type-4-A (20S proteasome alpha subunit C-1) (Proteasome 27 kDa subunit) (Proteasome component 9) (Proteasome subunit alpha type-3)	PAC1 PRC9 PRS1 At3g22110 MKA23.2	Arabidopsis thaliana (Mouse-ear cress)	250	PRC9 PRS1	AT3G22110;
O81149	reviewed	PSA5A_ARATH	Proteasome subunit alpha type-5-A (20S proteasome alpha subunit E-1)	PAE1 At1g53850 T18A20.8	Arabidopsis thaliana (Mouse-ear cress)	237		AT1G53850;
P30186	reviewed	PSA7A_ARATH	Proteasome subunit alpha type-7-A (20S proteasome alpha subunit D-1) (Proteasome component 6A) (Proteasome subunit alpha type-4) (TAS-G64)	PAD1 PRC6A At3g51260 F24M12.300	Arabidopsis thaliana (Mouse-ear cress)	250	PRC6A	AT3G51260;
P34066	reviewed	PSA1A_ARATH	Proteasome subunit alpha type-1-A (20S proteasome alpha subunit F-1) (Proteasome 30 kDa subunit) (Proteasome component 2A) (AtPSM30) (Proteasome subunit alpha type-6) (Protein ARSENIC TOLERANCE 5)	PAF1 ARS5 PRC2A PRS1 PSM30 At5g42790 MJB21.17	Arabidopsis thaliana (Mouse-ear cress)	278	ARS5 PRC2A PRS1 PSM30	AT5G42790;
P42742	reviewed	PSB1_ARATH	Proteasome subunit beta type-1 (20S proteasome beta subunit F-1) (Proteasome component 5) (Proteasome subunit beta type-6) (TAS-F22/FAFP98) (TAS-G39.20)	PBF1 PRC5 At3g60820 T4C21_230	Arabidopsis thaliana (Mouse-ear cress)	223	PRC5	AT3G60820;
P55034	reviewed	PSMD4_ARATH	26S proteasome non-ATPase regulatory subunit 4 homolog (26S proteasome regulatory subunit RPN10) (AtRPN10) (26S proteasome regulatory subunit S5A homolog) (Multiubiquitin chain-binding protein 1) (AtMCB1)	RPN10 MBP1 MCB1 At4g38630 F20M13.190 T9A14.7	Arabidopsis thaliana (Mouse-ear cress)	386	MBP1 MCB1	AT4G38630;
Q42134	reviewed	PSA5B_ARATH	Proteasome subunit alpha type-5-B (20S proteasome alpha subunit E-2) (Proteasome component Z)	PAE2 PRCZ At3g14290 MLN21.8	Arabidopsis thaliana (Mouse-ear cress)	237	PRCZ	AT3G14290;
Q8VWK0	reviewed	PS12B_ARATH	26S proteasome non-ATPase regulatory subunit 12 homolog B (26S proteasome regulatory subunit RPN5b) (AtRPN5b) (26S proteasome regulatory subunit p55 homolog B)	RPN5B At5g64760 MVP7.9	Arabidopsis thaliana (Mouse-ear cress)	442		AT5G64760;
Q9C5Z3	reviewed	EIF3E_ARATH	Eukaryotic translation initiation factor 3 subunit E (AtEIF3E-1) (eIF3e) (p48) (Eukaryotic translation initiation factor 3 subunit 6) (AtINT6) (INT-6)	TIF3E1 INT6 At3g57290 F28O9.140	Arabidopsis thaliana (Mouse-ear cress)	441	INT6	AT3G57290;
Q9SEI2	reviewed	PS6AA_ARATH	26S proteasome regulatory subunit 6A homolog A (26S proteasome AAA-ATPase subunit RPT5a) (Proteasome 26S subunit 6A homolog A) (Regulatory particle triple-A ATPase subunit 5a) (Tat-binding protein 1 homolog A) (TBP-1 homolog A)	RPT5A ATS6A.2 TBP1 At3g05530 F22F7.1	Arabidopsis thaliana (Mouse-ear cress)	424	ATS6A.2 TBP1	AT3G05530;
Q9SGW3	reviewed	PSD8A_ARATH	26S proteasome non-ATPase regulatory subunit 8 homolog A (26S proteasome regulatory subunit RPN12a) (AtRPN12a) (26S proteasome regulatory subunit S14 homolog A)	RPN12A At1g64520 F1N19.9	Arabidopsis thaliana (Mouse-ear cress)	267		AT1G64520;
Q9SIV2	reviewed	PSD2A_ARATH	26S proteasome non-ATPase regulatory subunit 2 homolog A (26S proteasome regulatory subunit RPN1a) (AtRPN1a) (26S proteasome regulatory subunit S2 homolog A)	RPN1A At2g20580 F23N11.10	Arabidopsis thaliana (Mouse-ear cress)	891		AT2G20580;
Q9SL67	reviewed	PRS4B_ARATH	26S proteasome regulatory subunit 4 homolog B (26S proteasome AAA-ATPase subunit RPT2b) (26S proteasome subunit 4 homolog B) (Regulatory particle triple-A ATPase subunit 2b)	RPT2B At2g20140 T2G17.6	Arabidopsis thaliana (Mouse-ear cress)	443		AT2G20140;
Q9SZD4	reviewed	PRS4A_ARATH	26S proteasome regulatory subunit 4 homolog A (26S proteasome AAA-ATPase subunit RPT2a) (26S proteasome subunit 4 homolog A) (Protein HALTED ROOT) (Regulatory particle triple-A ATPase subunit 2a)	RPT2A HLR At4g29040 F19B15.70 F25O24.6	Arabidopsis thaliana (Mouse-ear cress)	443	HLR	AT4G29040;
F4JRY2	unreviewed	F4JRY2_ARATH	Proteasome subunit beta	PBA1 20S PROTEASOME SUBUNIT PBA1 At4g31300 F8F16.120 F8F16_120	Arabidopsis thaliana (Mouse-ear cress)	234	20S PROTEASOME SUBUNIT PBA1	AT4G31300;
O23708	reviewed	PSA2A_ARATH	Proteasome subunit alpha type-2-A (20S proteasome alpha subunit B-1) (Proteasome component 3)	PAB1 PRC3 At1g16470 F3O9.27	Arabidopsis thaliana (Mouse-ear cress)	235	PRC3	AT1G16470;
