Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
F4HYF3	reviewed	DCYD1_ARATH	Bifunctional D-cysteine desulfhydrase/1-aminocyclopropane-1-carboxylate deaminase, mitochondrial (EC 3.5.99.7) (EC 4.4.1.15) (1-aminocyclopropane-1-carboxylic acid deaminase 1) (AtACD1) (AtD-CDes1) (D-CDes1) (D-CDES)	DCD ACD1 At1g48420 F11A17.2 T1N15.3	Arabidopsis thaliana (Mouse-ear cress)	401	ACD1	AT1G48420;
F4I7I0	reviewed	ALAT1_ARATH	Alanine aminotransferase 1, mitochondrial (AtAlaAT1) (AtAlaATc) (EC 2.6.1.2) (Alanine-2-oxoglutarate aminotransferase 4) (EC 2.6.1.-)	ALAAT1 AOAT4 At1g17290 T13M22.3	Arabidopsis thaliana (Mouse-ear cress)	543	AOAT4	AT1G17290;
F4JP52	reviewed	PQT3_ARATH	E3 ubiquitin ligase PARAQUAT TOLERANCE 3 (EC 2.3.2.27)	PQT3 At4g17410 dl4740w FCAALL.426	Arabidopsis thaliana (Mouse-ear cress)	826		AT4G17410;
F4K5T2	reviewed	CGL_ARATH	Bifunctional cystathionine gamma-lyase/cysteine synthase (EC 2.5.1.47) (EC 4.4.1.1) (Beta-substituted Ala synthase 4;3) (ARAth-Bsas4;3) (L-cysteine desulfhydrase 1) (DES1) (O-acetylserine (thiol)-lyase) (OASTL) (Protein CS-LIKE)	DES1 At5g28030 F15F15.100	Arabidopsis thaliana (Mouse-ear cress)	323		AT5G28030;
O03042	reviewed	RBL_ARATH	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL AtCg00490	Arabidopsis thaliana (Mouse-ear cress)	479		ATCG00490;
O04529	reviewed	2MMP_ARATH	Metalloendoproteinase 2-MMP (At2-MMP) (EC 3.4.24.-)	2MMP MMP At1g70170 F20P5.11	Arabidopsis thaliana (Mouse-ear cress)	378	MMP	AT1G70170;
O48723	reviewed	PLP2_ARATH	Patatin-like protein 2 (AtPLP2) (EC 3.1.1.-) (Patatin-related phospholipase A IIalpha) (pPLAIIa) (Phospholipase A IIA) (AtPLAIIA)	PLP2 At2g26560 T9J22.23	Arabidopsis thaliana (Mouse-ear cress)	407		AT2G26560;
O64474	reviewed	HMA4_ARATH	Putative cadmium/zinc-transporting ATPase HMA4 (EC 7.2.2.12) (EC 7.2.2.21) (Protein HEAVY METAL ATPASE 4) (Putative cadmium/zinc-transporting ATPase 2)	HMA4 At2g19110 T20K24.12	Arabidopsis thaliana (Mouse-ear cress)	1172		AT2G19110;
O80852	reviewed	GSTF9_ARATH	Glutathione S-transferase F9 (AtGSTF9) (EC 2.5.1.18) (AtGSTF7) (GST class-phi member 9)	GSTF9 GLUTTR GSTF7 Phi9 At2g30860 F7F1.7	Arabidopsis thaliana (Mouse-ear cress)	215	GLUTTR GSTF7 Phi9	AT2G30860;
P0CW78	reviewed	HMA3B_ARATH	Cadmium/zinc-transporting ATPase HMA3 (EC 7.2.2.12) (EC 7.2.2.21) (Cadmium/zinc-transporting ATPase 4) (Protein HEAVY METAL ATPASE 3)	HMA3	Arabidopsis thaliana (Mouse-ear cress)	760		
