Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
C0LGQ5	reviewed	GSO1_ARATH	LRR receptor-like serine/threonine-protein kinase GSO1 (EC 2.7.11.1) (Protein GASSHO 1) (Protein SCHENGEN 3)	GSO1 SGN3 At4g20140 F1C12.60	Arabidopsis thaliana (Mouse-ear cress)	1249	SGN3	AT4G20140;
F4I718	reviewed	CSI3_ARATH	Protein CELLULOSE SYNTHASE INTERACTIVE 3	CSI3 At1g77460 T5M16.5	Arabidopsis thaliana (Mouse-ear cress)	2136		AT1G77460;
F4IHS9	reviewed	UXT1_ARATH	UDP-xylose transporter 1	UXT1 At2g28315 T1B3.18	Arabidopsis thaliana (Mouse-ear cress)	342		AT2G28315;
F4IIM1	reviewed	CSI1_ARATH	Protein CELLULOSE SYNTHASE INTERACTIVE 1 (Protein POM-POM 2)	CSI1 POM2 At2g22125 T16B14.2	Arabidopsis thaliana (Mouse-ear cress)	2150	POM2	AT2G22125;
F4IVV0	reviewed	RIC1_ARATH	CRIB domain-containing protein RIC1 (ROP-interactive CRIB motif-containing protein 1) (Target of ROP protein RIC1)	RIC1 At2g33460 F4P9.23	Arabidopsis thaliana (Mouse-ear cress)	224		AT2G33460;
F4KGM7	unreviewed	F4KGM7_ARATH	Exocyst subunit Exo70 family protein	EXO70A1 ATEXO70A1 At5g03540 F12E4.330 F12E4_330	Arabidopsis thaliana (Mouse-ear cress)	664	ATEXO70A1	AT5G03540;
O22943	reviewed	STL1_ARATH	Probable glycosyltransferase STELLO1 (EC 2.4.-.-)	STL1 At2g41770 T11A7.13	Arabidopsis thaliana (Mouse-ear cress)	771		AT2G41770;
O48946	reviewed	CESA1_ARATH	Cellulose synthase A catalytic subunit 1 [UDP-forming] (AtCesA1) (EC 2.4.1.12) (Protein RADIALLY SWOLLEN 1) (AtRSW1)	CESA1 RSW1 At4g32410 F8B4.110	Arabidopsis thaliana (Mouse-ear cress)	1081	RSW1	AT4G32410;
O64614	reviewed	YIP4A_ARATH	Protein YIP4a (YPT/RAB GTPase-interacting protein 4a) (YIP4a)	YIP4A At2g18840 MSF3.22	Arabidopsis thaliana (Mouse-ear cress)	281		AT2G18840;
O80434	reviewed	LAC4_ARATH	Laccase-4 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 4) (Diphenol oxidase 4) (Protein IRREGULAR XYLEM 12) (Urishiol oxidase 4)	IRX12 LAC4 At2g38080 F16M14.1	Arabidopsis thaliana (Mouse-ear cress)	558	LAC4	AT2G38080;
O80501	reviewed	RAH1B_ARATH	Ras-related protein RABH1b (AtRABH1b) (Ras-related protein Rab6A) (AtRab6A)	RABH1B RAB6A At2g44610 F16B22.10	Arabidopsis thaliana (Mouse-ear cress)	208	RAB6A	AT2G44610;
O80803	reviewed	XTH17_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 17 (At-XTH17) (XTH-17) (EC 2.4.1.207)	XTH17 XTR1 At1g65310 T8F5.9	Arabidopsis thaliana (Mouse-ear cress)	282	XTR1	AT1G65310;
O81417	reviewed	SRPP_ARATH	Protein SEED AND ROOT HAIR PROTECTIVE PROTEIN (Protein ROOT HAIR SPECIFIC 13)	SRPP RHS13 At4g02270 T2H3.4	Arabidopsis thaliana (Mouse-ear cress)	165	RHS13	AT4G02270;
P24806	reviewed	XTH24_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 24 (At-XTH24) (XTH-24) (EC 2.4.1.207) (Endo-xyloglucan transferase) (Meristem protein 5) (MERI-5 protein) (MERI5 protein) (Xyloglucan endo-1,4-beta-D-glucanase)	XTH24 MERI-5 MERI5B SEN4 At4g30270 F9N11.120	Arabidopsis thaliana (Mouse-ear cress)	269	MERI-5 MERI5B SEN4	AT4G30270;
P28185	reviewed	RAA1A_ARATH	Ras-related protein RABA1a (AtRABA1a) (Ras-related protein Ara-2) (Ras-related protein Rab11E) (AtRab11E)	RABA1A ARA-2 RAB11E At1g06400 T2D23.10 T2D23_5	Arabidopsis thaliana (Mouse-ear cress)	216	ARA-2 RAB11E	AT1G06400;
P42697	reviewed	DRP1A_ARATH	Phragmoplastin DRP1A (EC 3.6.5.-) (Dynamin-like protein 1) (Dynamin-like protein 1A) (Dynamin-related protein 1A) (AtDRP1A) (Protein RADIAL SWELLING 9)	DRP1A ADL1 ADL1A AG68 RSW9 At5g42080 MJC20.19	Arabidopsis thaliana (Mouse-ear cress)	610	ADL1 ADL1A AG68 RSW9	AT5G42080;
P93042	reviewed	RHD3_ARATH	Protein ROOT HAIR DEFECTIVE 3 (EC 3.6.5.-) (Protein FRAGILE FIBER 4) (Protein SEY1 homolog 1)	RHD3 FRA4 At3g13870 MCP4.11	Arabidopsis thaliana (Mouse-ear cress)	802	FRA4	AT3G13870;
