Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
A8MQY1	reviewed	NAC68_ARATH	NAC domain-containing protein 68 (ANAC068) (Protein NAC WITH TRANSMEMBRANE MOTIF 1) (Protein NTM1-like 12)	NAC68 NTL12 NTM1 At4g01540 F11O4.4	Arabidopsis thaliana (Mouse-ear cress)	473	NTL12 NTM1	AT4G01540;
F4IHY7	reviewed	PTA12_ARATH	Protein PLASTID TRANSCRIPTIONALLY ACTIVE 12, chloroplastic (pTAC12) (Plastid-encoded RNA polymerase-associated protein 5) (PEP-associated protein 5) (Protein HEMERA)	PTAC12 HMR PAP5 TAC12 At2g34640 T31E10.2	Arabidopsis thaliana (Mouse-ear cress)	527	HMR PAP5 TAC12	AT2G34640;
F4IVM7	unreviewed	F4IVM7_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	CIPK3 SnRK3.17 At2g26980 T20P8.3 T20P8_3	Arabidopsis thaliana (Mouse-ear cress)	451	SnRK3.17	AT2G26980;
O04492	reviewed	DRB1_ARATH	Double-stranded RNA-binding protein 1 (Protein HYPONASTIC LEAVES 1) (dsRNA-binding protein 1) (AtDRB1)	DRB1 HYL1 At1g09700 F21M12.9	Arabidopsis thaliana (Mouse-ear cress)	419	HYL1	AT1G09700;
O04714	reviewed	GCR1_ARATH	G-protein coupled receptor 1	GCR1 At1g48270 F11A17.17	Arabidopsis thaliana (Mouse-ear cress)	326		AT1G48270;
O22267	reviewed	CKI1_ARATH	Histidine kinase CKI1 (EC 2.7.13.3) (Protein CYTOKININ-INDEPENDENT 1)	CKI1 At2g47430 T30B22.27	Arabidopsis thaliana (Mouse-ear cress)	1122		AT2G47430;
O49397	reviewed	ARR10_ARATH	Two-component response regulator ARR10 (Receiver-like protein 4)	ARR10 ARP4 At4g31920 F10N7.270	Arabidopsis thaliana (Mouse-ear cress)	552	ARP4	AT4G31920;
O80366	reviewed	ARR9_ARATH	Two-component response regulator ARR9 (Response reactor 4)	ARR9 ATRR4 At3g57040 F24I3.120	Arabidopsis thaliana (Mouse-ear cress)	234	ATRR4	AT3G57040;
O80725	reviewed	AB4B_ARATH	ABC transporter B family member 4 (ABC transporter ABCB.4) (AtABCB4) (Multidrug resistance protein 4) (P-glycoprotein 4)	ABCB4 MDR4 PGP4 At2g47000 F14M4.17	Arabidopsis thaliana (Mouse-ear cress)	1286	MDR4 PGP4	AT2G47000;
O82330	reviewed	SOT10_ARATH	Cytosolic sulfotransferase 10 (AtSOT10) (EC 2.8.2.-) (Sulfotransferase 4a) (AtST4a)	SOT10 ST4A At2g14920 T26I20	Arabidopsis thaliana (Mouse-ear cress)	333	ST4A	AT2G14920;
