Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
F4J8C6	reviewed	VIP1L_ARATH	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase VIP1 (EC 2.7.4.24) (Probable protein QUANTITATIVE VITAMIN E-7) (Protein VIP HOMOLOG 2) (VIP1 homolog protein 1) (Arabidopsis homolog protein of yeast VIP1 1) (AtVIP1)	VIP1 QVE7 VIH2 At3g01310 T22N4.6 T4P13.1	Arabidopsis thaliana (Mouse-ear cress)	1050	QVE7 VIH2	AT3G01310;
F4JTE7	reviewed	GPP1_ARATH	(DL)-glycerol-3-phosphatase 1, mitochondrial (EC 3.1.3.21) (5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase) (AtGpp1/PyrP3) (EC 3.1.3.104) (5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione 5'-phosphate phosphatase) (ARPP phosphatase) (Glycerol-1-phosphatase 1) (AtGPP1) (Haloacid dehalogenase-like hydrolase domain-containing protein GPP1)	GPP1 PYRP3 At4g25840 F14M19.120	Arabidopsis thaliana (Mouse-ear cress)	298	PYRP3	AT4G25840;
F4KFT7	reviewed	TENAC_ARATH	Bifunctional TH2 protein, mitochondrial (THIAMINE REQUIRING 2) [Includes: Thiamine phosphate phosphatase (EC 3.1.3.100); Aminopyrimidine aminohydrolase (EC 3.5.99.2)]	TH2 TH-2 TNEA_C At5g32470 F18O9.80	Arabidopsis thaliana (Mouse-ear cress)	617	TH-2 TNEA_C	AT5G32470;
O80568	reviewed	ITPK4_ARATH	Inositol 1,3,4-trisphosphate 5/6-kinase 4 (AtItpk-4) (Inositol-triphosphate 5/6-kinase 4) (Ins(1,3,4)P(3) 5/6-kinase 4) (EC 2.7.1.159) (Inositol-tetrakisphosphate 1-kinase 4)	ITPK4 At2g43980 F6E13.11	Arabidopsis thaliana (Mouse-ear cress)	488		AT2G43980;
O82392	reviewed	THIC_ARATH	Phosphomethylpyrimidine synthase, chloroplastic (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Protein PYRIMIDINE REQUIRING) (Thiamine biosynthesis protein ThiC) (Protein THIAMINE C)	THIC PY At2g29630 T27A16.27	Arabidopsis thaliana (Mouse-ear cress)	644	PY	AT2G29630;
P42801	reviewed	INO1_ARATH	Inositol-3-phosphate synthase isozyme 1 (AtIPS1) (MIP synthase 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase 1) (AtMIPS 1) (MI-1-P synthase 1)	IPS1 MIPS1 At4g39800 T19P19.190	Arabidopsis thaliana (Mouse-ear cress)	511	MIPS1	AT4G39800;
Q08891	reviewed	FACR2_ARATH	Fatty acyl-CoA reductase 2, chloroplastic (AtFAR2) (EC 1.2.1.84) (Fatty acid reductase 2) (Male sterility protein 2)	FAR2 MS2 At3g11980 MEC18.11 T21B14.18 T21B14_123	Arabidopsis thaliana (Mouse-ear cress)	616	MS2	AT3G11980;
Q09152	reviewed	FPPS1_ARATH	Farnesyl pyrophosphate synthase 1, mitochondrial (FPP synthase 1) (FPS 1) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase 1) (Dimethylallyltranstransferase 1) (EC 2.5.1.1) (Farnesyl diphosphate synthase 1) (Geranyltranstransferase 1)	FPS1 At5g47770 MCA23.9	Arabidopsis thaliana (Mouse-ear cress)	384		AT5G47770;
Q38814	reviewed	THI4_ARATH	Thiamine thiazole synthase, chloroplastic (EC 2.4.2.60) (Thiazole biosynthetic enzyme)	THI1 ARA6 THI4 At5g54770 MBG8.3	Arabidopsis thaliana (Mouse-ear cress)	349	ARA6 THI4	AT5G54770;
Q38854	reviewed	DXS_ARATH	1-deoxy-D-xylulose-5-phosphate synthase, chloroplastic (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS) (EC 2.2.1.7) (Protein CLOROPLASTOS ALTERADOS 1)	DXS CLA1 DEF At4g15560 dl3821w	Arabidopsis thaliana (Mouse-ear cress)	717	CLA1 DEF	AT4G15560;
Q38862	reviewed	INO2_ARATH	Inositol-3-phosphate synthase isozyme 2 (AtIPS2) (MIP synthase 2) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase 2) (AtMIPS 2) (MI-1-P synthase 2)	IPS2 MIPS2 At2g22240 T26C19.10	Arabidopsis thaliana (Mouse-ear cress)	510	MIPS2	AT2G22240;
Q43315	reviewed	FPPS2_ARATH	Farnesyl pyrophosphate synthase 2 (FPP synthase 2) (FPS 2) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase 2) (Dimethylallyltranstransferase 2) (EC 2.5.1.1) (Farnesyl diphosphate synthase 2) (Geranyltranstransferase 2)	FPS2 At4g17190 dl4630c	Arabidopsis thaliana (Mouse-ear cress)	342		AT4G17190;
Q5M731	reviewed	TPS1L_ARATH	Thiamine biosynthetic bifunctional enzyme TH1, chloroplastic [Includes: Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase); Hydroxymethylpyrimidine kinase (HMP kinase) (EC 2.7.1.49)]	TH1 At1g22940 F19G10.10	Arabidopsis thaliana (Mouse-ear cress)	522		AT1G22940;
Q6NPM8	reviewed	HIS7_ARATH	Bifunctional phosphatase IMPL2, chloroplastic (Histidinol-phosphatase) (Histidinol-phosphate phosphatase) (HPP) (EC 3.1.3.15) (Inositol-phosphate phosphatase) (EC 3.1.3.25) (L-galactose 1-phosphate phosphatase) (EC 3.1.3.93) (Protein HISTIDINE BIOSYNTHESIS 7) (Protein MYO-INOSITOL MONOPHOSPHATASE-LIKE 2)	HISN7 IMPL2 At4g39120 T22F8.20	Arabidopsis thaliana (Mouse-ear cress)	346	IMPL2	AT4G39120;
