Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
O22788	reviewed	PXG3_ARATH	Probable peroxygenase 3 (AtPXG3) (EC 1.11.2.3) (Caleosin-3) (Protein RESPONSIVE TO DESICCATION 20)	PXG3 CLO3 RD20 At2g33380 F4P9.15	Arabidopsis thaliana (Mouse-ear cress)	236	CLO3 RD20	AT2G33380;
O81270	reviewed	PXG1_ARATH	Peroxygenase 1 (AtPXG1) (EC 1.11.2.3) (Caleosin-1) (Embryo-specific protein 1 (ATS1))	PXG1 ATS1 CLO1 At4g26740 F10M23.80	Arabidopsis thaliana (Mouse-ear cress)	245	ATS1 CLO1	AT4G26740;
Q9LY09	reviewed	GRP17_ARATH	Tapetal oleosin GRP-17 (T-oleosin GRP-17) (Glycine rich protein 17) (AtGRP-17) (Glycine rich protein 7) (AtGRP-7) (Oleopollenin GRP-17)	GRP17 GRP7 At5g07530 T2I1.240	Arabidopsis thaliana (Mouse-ear cress)	543	GRP7	AT5G07530;
Q9LZA6	reviewed	SDP1_ARATH	Triacylglycerol lipase SDP1 (EC 3.1.1.3) (Protein SUGAR-DEPENDENT 1)	SDP1 At5g04040 F8F6.10 F8F6_250	Arabidopsis thaliana (Mouse-ear cress)	825		AT5G04040;
Q9SGH6	reviewed	DOX1_ARATH	Alpha-dioxygenase 1 (Alpha DOX1) (EC 1.13.11.92) (Fatty acid dioxygenase AlphaDOX1) (Pathogen-induced oxygenase) (Plant alpha dioxygenase 1)	DOX1 DIOX1 PADOX-1 PIOX At3g01420 T13O15.6	Arabidopsis thaliana (Mouse-ear cress)	639	DIOX1 PADOX-1 PIOX	AT3G01420;
P29525	reviewed	OLEO1_ARATH	Oleosin 18.5 kDa	At4g25140 F13M23.280	Arabidopsis thaliana (Mouse-ear cress)	173		AT4G25140;
Q39165	reviewed	OLEO2_ARATH	Oleosin 21.2 kDa (Oleosin type 2)	At5g40420 MPO12.17	Arabidopsis thaliana (Mouse-ear cress)	199		AT5G40420;
Q42574	reviewed	GRP19_ARATH	Tapetal oleosin GRP-19 (T-oleosin GRP-19) (Glycine-rich protein 19) (AtGRP19) (Oleopollenin GRP-19) (Putative glycine-rich protein 1) (PutG-1)	GRP19 PUTG1 At5g07550 T2I1.260	Arabidopsis thaliana (Mouse-ear cress)	106	PUTG1	AT5G07550;
Q9LY08	reviewed	GRP16_ARATH	Tapetal oleosin GRP-16 (T-oleosin GRP-16) (Glycine-rich protein 16) (AtGRP-16) (Glycine-rich protein 6) (AtGRP-6) (Oleopollenin GRP-16)	GRP16 GRP6 At5g07540 T2I1.250	Arabidopsis thaliana (Mouse-ear cress)	244	GRP6	AT5G07540;
Q42431	reviewed	OLEO4_ARATH	Oleosin 20.3 kDa (Oleosin type 4)	OL2 At3g27660 MGF10.7	Arabidopsis thaliana (Mouse-ear cress)	191		AT3G27660;
