Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
F4IFM6	unreviewed	F4IFM6_ARATH	Synaptotagmin A	SYTA ATSYTA NTMC2T1.1 NTMC2TYPE1.1 SYNAPTOTAGMIN 1 synaptotagmin A SYT1 At2g20990 F26H11.25	Arabidopsis thaliana (Mouse-ear cress)	579	ATSYTA NTMC2T1.1 NTMC2TYPE1.1 SYNAPTOTAGMIN 1 synaptotagmin A SYT1	AT2G20990;
P25070	reviewed	CML24_ARATH	Calcium-binding protein CML24 (Calmodulin-like protein 24) (Touch-induced calmodulin-related protein 2)	CML24 TCH2 At5g37770 K22F20.1	Arabidopsis thaliana (Mouse-ear cress)	161	TCH2	AT5G37770;
P25071	reviewed	CML12_ARATH	Calmodulin-like protein 12 (Touch-induced calmodulin-related protein 3)	CML12 CAL4 TCH3 At2g41100 T3K9.13	Arabidopsis thaliana (Mouse-ear cress)	324	CAL4 TCH3	AT2G41100;
Q38857	reviewed	XTH22_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 22 (At-XTH22) (XTH-22) (EC 2.4.1.207) (Touch protein 4)	XTH22 TCH4 At5g57560 MUA2.13	Arabidopsis thaliana (Mouse-ear cress)	284	TCH4	AT5G57560;
Q39099	reviewed	XTH4_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 4 (At-XTH4) (XTH-4) (EC 2.4.1.207)	XTH4 EXGT-A1 EXT At2g06850 T9F8.4	Arabidopsis thaliana (Mouse-ear cress)	296	EXGT-A1 EXT	AT2G06850;
Q7XJ60	reviewed	EB1A_ARATH	Microtubule-associated protein RP/EB family member 1A (APC-binding protein EB1A) (End-binding protein 1A) (AtEB1A) (Protein ATEB1 homolog 2) (AtEB1H2)	EB1A At3g47690 T23J7.20	Arabidopsis thaliana (Mouse-ear cress)	276		AT3G47690;
Q8GXJ4	reviewed	GLR34_ARATH	Glutamate receptor 3.4 (AtGLR3.4) (Glutamate receptor-like protein 3.4) (Ligand-gated ion channel 3.4)	GLR3.4 GLR4 GLUR3 At1g05200 YUP8H12.19	Arabidopsis thaliana (Mouse-ear cress)	959	GLR4 GLUR3	AT1G05200;
Q8L7E9	reviewed	MCAC1_ARATH	Protein MID1-COMPLEMENTING ACTIVITY 1	MCA1 At4g35920 T19K4.50	Arabidopsis thaliana (Mouse-ear cress)	421		AT4G35920;
Q8L7S5	reviewed	IPGA1_ARATH	Protein INCREASED PETAL GROWTH ANISOTROPY 1	IPGA1 At4g18570 F28J12.220	Arabidopsis thaliana (Mouse-ear cress)	642		AT4G18570;
Q9FGQ6	reviewed	EB1C_ARATH	Microtubule-associated protein RP/EB family member 1C (APC-binding protein EB1C) (End-binding protein 1C) (AtEB1C) (Protein ATEB1 homolog 1) (AtEB1H1)	EB1C At5g67270 K3G17.3	Arabidopsis thaliana (Mouse-ear cress)	329		AT5G67270;
Q9FJJ5	reviewed	EB1B_ARATH	Microtubule-associated protein RP/EB family member 1B (APC-binding protein EB1B) (End-binding protein 1) (AtEB1) (End-binding protein 1B) (AtEB1B) (Protein ATEB1 homolog 2) (ATEB1H2)	EB1B At5g62500 K19B1.11	Arabidopsis thaliana (Mouse-ear cress)	293		AT5G62500;
Q9FZ33	reviewed	AXR4_ARATH	Protein AUXIN RESPONSE 4	AXR4 At1g54990 F14C21.51 T24C10.10	Arabidopsis thaliana (Mouse-ear cress)	473		AT1G54990;
Q9MA75	reviewed	VIP1_ARATH	Transcription factor VIP1 (Protein SULPHATE UTILIZATION EFFICIENCY 3) (VirE2-interacting protein 1) (AtVIP1) (bZIP transcription factor 51) (AtbZIP51) (bZIP protein 51)	VIP1 BZIP51 SUE3 At1g43700 F2J6.6	Arabidopsis thaliana (Mouse-ear cress)	341	BZIP51 SUE3	AT1G43700;
Q9S7P9	reviewed	SNP33_ARATH	SNAP25 homologous protein SNAP33 (AtSNAP33) (Snap25a) (Synaptosomal-associated protein SNAP25-like 1) (SNAP-25-like protein 1)	SNAP33 SNAP33B At5g61210 MAF19.21	Arabidopsis thaliana (Mouse-ear cress)	300	SNAP33B	AT5G61210;
