Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
A0A1P8AUY4	reviewed	MDN1_ARATH	Midasin (AtMDN1) (Dynein-related AAA-ATPase MDN1) (MIDAS-containing protein 1) (Protein DWARF AND SHORT ROOT 1)	MDN1 DSR1 At1g67120 F5A8.11	Arabidopsis thaliana (Mouse-ear cress)	5400	DSR1	AT1G67120;
A0MES8	reviewed	ABI4_ARATH	Ethylene-responsive transcription factor ABI4 (ERF ABI4) (Protein ABSCISIC ACID INSENSITIVE 4) (Protein GLUCOSE INSENSITIVE 6) (Protein IMPAIRED SUCROSE INDUCTION 3) (Protein SALOBRENO 5) (Protein SUCROSE UNCOUPLED 6) (Protein SUGAR INSENSITIVE 5)	ABI4 ERF052 GIN6 ISI3 SAN5 SIS5 SUN6 At2g40220 T7M7.16	Arabidopsis thaliana (Mouse-ear cress)	328	ERF052 GIN6 ISI3 SAN5 SIS5 SUN6	AT2G40220;
A0SVK0	reviewed	DOG1_ARATH	Protein DELAY OF GERMINATION 1 (GLUCOSE SENSING QTL 5)	DOG1 GSQ5 At5g45830 K15I22.3	Arabidopsis thaliana (Mouse-ear cress)	291	GSQ5	AT5G45830;
B9DGI8	reviewed	BZP63_ARATH	Basic leucine zipper 63 (AtbZIP63) (bZIP protein 63) (Basic leucine zipper OPAQUE 2 homolog 3) (Basic leucine zipper O2 homolog 3)	BZIP63 BZO2H3 At5g28770 T32B20.4	Arabidopsis thaliana (Mouse-ear cress)	314	BZO2H3	AT5G28770;
C0LGQ9	reviewed	GHR1_ARATH	LRR receptor-like serine/threonine-protein kinase GHR1 (EC 2.7.11.1) (Protein GUARD CELL HYDROGEN PEROXIDE-RESISTANT 1) (AtGHR1) (Protein RADICAL-INDUCED CELL DEATH 7)	GHR1 RCD7 At4g20940 T13K14.100	Arabidopsis thaliana (Mouse-ear cress)	1053	RCD7	AT4G20940;
F2Y4A3	reviewed	SPHK2_ARATH	Sphingosine kinase 2 (EC 2.7.1.91)	SPHK2 At4g21534 F18E5.160	Arabidopsis thaliana (Mouse-ear cress)	481		AT4G21534;
F4I1S7	reviewed	ELP2_ARATH	Elongator complex protein 2 (AtELP2) (Elongator component 2) (Protein GREEN NPR1 SEEDLING ON SA MEDIUM 1)	ELP2 GNS1 At1g49540 F13F21.2 F14J22.24	Arabidopsis thaliana (Mouse-ear cress)	838	GNS1	AT1G49540;
F4I240	reviewed	JMJ17_ARATH	Lysine-specific demethylase JMJ17 (EC 1.14.11.67) (Jumonji domain-containing protein 17) (AtJMJ17) (Protein JUMONJI 17) (Lysine-specific histone demethylase JMJ17) ([histone H3]-trimethyl-L-lysine(4) monodemethylase JMJ17)	JMJ17 At1g63490 F2K11.14	Arabidopsis thaliana (Mouse-ear cress)	1208		AT1G63490;
F4I3V6	reviewed	SHW1_ARATH	Protein SHORT HYPOCOTYL IN WHITE LIGHT 1	SHW1 At1g69935 T17F3	Arabidopsis thaliana (Mouse-ear cress)	192		AT1G69935;
F4IB81	reviewed	LYK3_ARATH	LysM domain receptor-like kinase 3 (LysM-containing receptor-like kinase 3) (EC 2.7.11.-)	LYK3 At1g51940 T14L22.13	Arabidopsis thaliana (Mouse-ear cress)	651		AT1G51940;
F4IEM5	reviewed	GCR2_ARATH	LanC-like protein GCR2 (G-protein coupled receptor 2)	GCR2 GPCR At1g52920 F14G24.19	Arabidopsis thaliana (Mouse-ear cress)	410	GPCR	AT1G52920;
F4ITM1	reviewed	RGSL1_ARATH	E3 ubiquitin-protein ligase RSL1 (EC 2.3.2.31) (Protein RING FINGER OF SEED LONGEVITY 1) (RING-type E3 ubiquitin transferase RSL1)	RSL1 At2g26130 T19L18.6	Arabidopsis thaliana (Mouse-ear cress)	398		AT2G26130;
F4IVM7	unreviewed	F4IVM7_ARATH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	CIPK3 SnRK3.17 At2g26980 T20P8.3 T20P8_3	Arabidopsis thaliana (Mouse-ear cress)	451	SnRK3.17	AT2G26980;
F4JCB2	reviewed	CPL5_ARATH	RNA polymerase II C-terminal domain phosphatase-like 5 (FCP-like 5) (EC 3.1.3.16) (Carboxyl-terminal phosphatase-like 5) (AtCPL5) (CTD phosphatase-like 5)	CPL5 At3g19600 MMB12.6 MMB12.7	Arabidopsis thaliana (Mouse-ear cress)	601		AT3G19600;
F4JGZ1	reviewed	MED16_ARATH	Mediator of RNA polymerase II transcription subunit 16 (Protein SENSITIVE TO FREEZING 6)	MED16 MED16_1 SFR6 At4g04920 T1J1.2	Arabidopsis thaliana (Mouse-ear cress)	1278	MED16_1 SFR6	AT4G04920;
F4JNX3	reviewed	CMKMT_ARATH	Calmodulin-lysine N-methyltransferase (CLNMT) (CaM KMT) (EC 2.1.1.60)	CaMKMT At4g35987 T19K4.120	Arabidopsis thaliana (Mouse-ear cress)	304		AT4G35987;
F4JZY1	reviewed	CIP1_ARATH	COP1-interactive protein 1	CIP1 At5g41790 K16L22.7	Arabidopsis thaliana (Mouse-ear cress)	1586		AT5G41790;
F4K2R6	reviewed	CB60G_ARATH	Calmodulin-binding protein 60 G	CBP60G At5g26920 F2P16.9	Arabidopsis thaliana (Mouse-ear cress)	563		AT5G26920;
