Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (synonym)	TAIR
A0A1I9LMX5	reviewed	PCEP9_ARATH	Precursor of CEP9 (PCEP9) [Cleaved into: C-terminally encoded peptide 9.1 (CEP9.1) (CEP9a); C-terminally encoded peptide 9.2 (CEP9.2) (CEP9b); C-terminally encoded peptide 9.3 (CEP9.3) (CEP9c); C-terminally encoded peptide 9.4 (CEP9.4) (CEP9d); C-terminally encoded peptide 9.5 (CEP9.5) (CEP9e)]	CEP9 At3g50610 T20E23.210	Arabidopsis thaliana (Mouse-ear cress)	243		AT3G50610;
C8KI33	reviewed	SUV2_ARATH	Protein SENSITIVE TO UV 2 (ATR interacting protein) (AtATRIP) (Protein HYDROXYUREA-SENSITIVE 2)	SUV2 ATRIP HUS2 At5g45610 MRA19.1	Arabidopsis thaliana (Mouse-ear cress)	646	ATRIP HUS2	AT5G45610;
F4HYF3	reviewed	DCYD1_ARATH	Bifunctional D-cysteine desulfhydrase/1-aminocyclopropane-1-carboxylate deaminase, mitochondrial (EC 3.5.99.7) (EC 4.4.1.15) (1-aminocyclopropane-1-carboxylic acid deaminase 1) (AtACD1) (AtD-CDes1) (D-CDes1) (D-CDES)	DCD ACD1 At1g48420 F11A17.2 T1N15.3	Arabidopsis thaliana (Mouse-ear cress)	401	ACD1	AT1G48420;
F4I7I0	reviewed	ALAT1_ARATH	Alanine aminotransferase 1, mitochondrial (AtAlaAT1) (AtAlaATc) (EC 2.6.1.2) (Alanine-2-oxoglutarate aminotransferase 4) (EC 2.6.1.-)	ALAAT1 AOAT4 At1g17290 T13M22.3	Arabidopsis thaliana (Mouse-ear cress)	543	AOAT4	AT1G17290;
F4I9A2	reviewed	TNO1_ARATH	Trans-Golgi network-localized SYP41-interacting protein 1 (TGN-localized SYP41-interacting protein 1)	TNO1 At1g24460 F21J9.12	Arabidopsis thaliana (Mouse-ear cress)	1767		AT1G24460;
F4IDY5	reviewed	BTSL1_ARATH	Zinc finger protein BRUTUS-like At1g18910	At1g18910 F14D16.3	Arabidopsis thaliana (Mouse-ear cress)	1254		AT1G18910;
F4IIM1	reviewed	CSI1_ARATH	Protein CELLULOSE SYNTHASE INTERACTIVE 1 (Protein POM-POM 2)	CSI1 POM2 At2g22125 T16B14.2	Arabidopsis thaliana (Mouse-ear cress)	2150	POM2	AT2G22125;
F4JAA5	reviewed	SKI2_ARATH	DExH-box ATP-dependent RNA helicase DExH11 (EC 3.6.4.13) (AtHELPS) (Protein SKI2 homolog) (AtSKI2)	SKI2 HELPS At3g46960 F13I12.10 T6H20.10	Arabidopsis thaliana (Mouse-ear cress)	1347	HELPS	AT3G46960;
F4JP52	reviewed	PQT3_ARATH	E3 ubiquitin ligase PARAQUAT TOLERANCE 3 (EC 2.3.2.27)	PQT3 At4g17410 dl4740w FCAALL.426	Arabidopsis thaliana (Mouse-ear cress)	826		AT4G17410;
F4K5T2	reviewed	CGL_ARATH	Bifunctional cystathionine gamma-lyase/cysteine synthase (EC 2.5.1.47) (EC 4.4.1.1) (Beta-substituted Ala synthase 4;3) (ARAth-Bsas4;3) (L-cysteine desulfhydrase 1) (DES1) (O-acetylserine (thiol)-lyase) (OASTL) (Protein CS-LIKE)	DES1 At5g28030 F15F15.100	Arabidopsis thaliana (Mouse-ear cress)	323		AT5G28030;
