Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	TAIR
A0A1I9LMX5	reviewed	PCEP9_ARATH	Precursor of CEP9 (PCEP9) [Cleaved into: C-terminally encoded peptide 9.1 (CEP9.1) (CEP9a); C-terminally encoded peptide 9.2 (CEP9.2) (CEP9b); C-terminally encoded peptide 9.3 (CEP9.3) (CEP9c); C-terminally encoded peptide 9.4 (CEP9.4) (CEP9d); C-terminally encoded peptide 9.5 (CEP9.5) (CEP9e)]	CEP9 At3g50610 T20E23.210	Arabidopsis thaliana (Mouse-ear cress)	243	AT3G50610;
A0A2H1ZEF6	unreviewed	A0A2H1ZEF6_ARATH	Auxin-responsive protein	IAA15 At1g80390 F5I6.14 F5I6_14	Arabidopsis thaliana (Mouse-ear cress)	129	AT1G80390;
F4IAX0	reviewed	CAOA2_ARATH	Amine oxidase [copper-containing] alpha 2, peroxisomal (AtCuAO8) (AtCuAOalpha2) (EC 1.4.3.21)	CuAOalpha2 CuAO8 At1g31690 F27M3.11 F27M3.12	Arabidopsis thaliana (Mouse-ear cress)	677	AT1G31690;
F4IAX1	reviewed	CAOA3_ARATH	Amine oxidase [copper-containing] alpha 3, peroxisomal (AtCuAO2) (AtCuAOalpha3) (Copper amine oxidase 2) (EC 1.4.3.21)	CuAOalpha3 CuAO2 At1g31710 F27M3.10 F27M3.9	Arabidopsis thaliana (Mouse-ear cress)	681	AT1G31710;
F4IIU4	reviewed	AIR9_ARATH	187-kDa microtubule-associated protein AIR9 (Auxin-induced in root cultures protein 9)	AIR9 At2g34680 T29F13	Arabidopsis thaliana (Mouse-ear cress)	1708	AT2G34680;
F4IXW2	reviewed	BIG5_ARATH	Brefeldin A-inhibited guanine nucleotide-exchange protein 5 (BIG5) (ARF guanine-nucleotide exchange factor BIG5) (Protein BFA-VISUALIZED ENDOCYTIC TRAFFICKING DEFECTIVE 1) (Protein BEN1) (Protein HOPM INTERACTOR 7) (AtMIN7)	BIG5 BEN1 MIN7 At3g43300 F7K15_150	Arabidopsis thaliana (Mouse-ear cress)	1739	AT3G43300;
F4JBX1	reviewed	RGF10_ARATH	Root meristem growth factor 10 (AtRGF10) (CLAVATA3/ESR (CLE)-related protein CLELn) (AtCLELn) (Nuclear CLE-Like protein) [Cleaved into: CLELn]	RGF10 CLELn At3g60650 T4C21.60	Arabidopsis thaliana (Mouse-ear cress)	143	AT3G60650;
F4JGZ1	reviewed	MED16_ARATH	Mediator of RNA polymerase II transcription subunit 16 (Protein SENSITIVE TO FREEZING 6)	MED16 MED16_1 SFR6 At4g04920 T1J1.2	Arabidopsis thaliana (Mouse-ear cress)	1278	AT4G04920;
F4JNX3	reviewed	CMKMT_ARATH	Calmodulin-lysine N-methyltransferase (CLNMT) (CaM KMT) (EC 2.1.1.60)	CaMKMT At4g35987 T19K4.120	Arabidopsis thaliana (Mouse-ear cress)	304	AT4G35987;
F4KG58	reviewed	E70A3_ARATH	Exocyst complex component EXO70A3 (AtExo70a3) (Exocyst subunit Exo70 family protein A3)	EXO70A3 At5g52350 K24M7.8	Arabidopsis thaliana (Mouse-ear cress)	586	AT5G52350;
O04331	reviewed	PHB3_ARATH	Prohibitin-3, mitochondrial (Atphb3) (Protein ENHANCED ETHYLENE RESPONSE 3)	PHB3 EER3 At5g40770 K1B16.2	Arabidopsis thaliana (Mouse-ear cress)	277	AT5G40770;
O04379	reviewed	AGO1_ARATH	Protein argonaute 1	AGO1 At1g48410 F11A17.3 T1N15.2	Arabidopsis thaliana (Mouse-ear cress)	1048	AT1G48410;
O04492	reviewed	DRB1_ARATH	Double-stranded RNA-binding protein 1 (Protein HYPONASTIC LEAVES 1) (dsRNA-binding protein 1) (AtDRB1)	DRB1 HYL1 At1g09700 F21M12.9	Arabidopsis thaliana (Mouse-ear cress)	419	AT1G09700;
O22264	reviewed	MYB12_ARATH	Transcription factor MYB12 (Myb-related protein 12) (AtMYB12) (Protein PRODUCTION OF FLAVONOL GLYCOSIDES 1)	MYB12 PFG1 At2g47460 T30B22.24	Arabidopsis thaliana (Mouse-ear cress)	371	AT2G47460;
O23299	reviewed	ECI2_ARATH	Enoyl-CoA delta isomerase 2, peroxisomal (EC 5.3.3.8) (Delta(3),Delta(2)-enoyl CoA isomerase 2) (AtECI2) (Indole-3-butyric acid response 10)	ECI2 IBR10 At4g14430 dl3255c	Arabidopsis thaliana (Mouse-ear cress)	240	AT4G14430;
